#
# Age1: log(age)_DB
# Age2: log(age)_asteca
# Age3: log(age)_literature
#
# E_BV1: E_BV_DB
# E_BV2: E_BV_asteca
# E_BV3: E_BV_lit
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age   Age3  e_age      Mass1   e_mass    Mass2   e_mass    E_BV1    E_BV2   e_E_BV    E_BV3   e_E_BV
H03   LMC   NGC1839   7.21   0.15   6.4   -1.0   8.10   0.20    1106.62       -1     5410     -1.0    -1.00     0.17     -1.0     0.15     0.03
H03   LMC   H88-269   8.39   0.09  6.65   -1.0   8.90   0.10    1485.94       -1     1210     -1.0    -1.00     0.24     -1.0     0.05     0.05
H03   LMC     SL218   7.22   0.15   8.9   -1.0   7.70   0.20     487.53       -1     1010     -1.0    -1.00        0     -1.0     0.15     0.03
H03   SMC       L34   8.26   0.15  8.55   -1.0   8.40   0.48   11694.99       -1     3210     -1.0    -1.00     0.04     -1.0     0.05     0.02
H03   LMC     HS247   7.94   0.15   6.6   -1.0   8.55   0.10     394.46       -1     1010     -1.0    -1.00     0.22     -1.0     0.13     0.05
H03   LMC  KMHK1055   8.92   0.09   6.9   -1.0   9.00   0.10    2208.00       -1      810     -1.0    -1.00     0.06     -1.0     0.06    -1.00
H03   LMC    H88-67   8.97   0.09   9.1   -1.0   9.23   0.06    1018.59       -1     1410     -1.0    -1.00     0.01     -1.0    -1.00    -1.00
H03   LMC   NGC1793   7.18   0.15  6.65   -1.0   8.05   0.10     765.60       -1      810     -1.0    -1.00     0.16     -1.0     0.11     0.05
H03   SMC       L35   7.57   0.24   6.5   -1.0   8.34   0.23     787.05       -1     1210     -1.0    -1.00     0.16     -1.0     0.02     0.02
H03   LMC  KMHK1023   9.48   0.09   9.5   -1.0   9.23   0.06    2051.16       -1     3610     -1.0    -1.00      0.3     -1.0    -1.00    -1.00
H03   LMC     SL244   9.48   0.09   9.4   -1.0   9.08   0.25   28575.91       -1     7410     -1.0    -1.00     0.14     -1.0     0.06     0.02
H03   LMC     SL290   8.06   0.54   8.8   -1.0   9.08   0.08    1215.26      491     1210     -1.0    -1.00      0.1     -1.0    -1.00    -1.00
H03   LMC   NGC1917   9.48   0.09  9.25   -1.0   9.11   0.15   59156.16       -1    17810     -1.0    -1.00     0.22     -1.0    -1.00    -1.00
H03   LMC   NGC1751   9.48   0.09   9.1   -1.0   9.11   0.15   97274.72       -1     5610     -1.0    -1.00     0.04     -1.0    -1.00    -1.00
H03   LMC   NGC1836   8.27   0.15  8.85   -1.0   8.60   0.25    6668.07       -1     7810     -1.0    -1.00      0.1     -1.0     0.06     0.02
H03   SMC    NGC294   8.55   0.12  8.65   -1.0   8.51   0.47   17701.09       -1     4410     -1.0    -1.00     0.07     -1.0     0.06     0.02
H03   LMC   NGC1863   7.76   0.54  6.15   -1.0   7.70   0.20    8016.78       -1     5410     -1.0    -1.00     0.19     -1.0     0.15     0.03
H03   SMC       L30   7.60   0.24  6.35   -1.0   8.20   0.44    3280.95       -1     2210     -1.0    -1.00     0.08     -1.0     0.05     0.02
H03   LMC   NGC1865   8.77   0.09  8.75   -1.0   8.70   0.20   12589.25       -1     5810     -1.0    -1.00     0.02     -1.0     0.06     0.02
H03   LMC   KMHK229   9.30   0.09  8.95   -1.0   9.00   0.10    7046.93       -1      210     -1.0    -1.00     0.22     -1.0     0.10    -1.00
H03   LMC   NGC1860   7.24   0.15     9   -1.0   8.40   0.20     610.71      162    23610     -1.0    -1.00     0.08     -1.0     0.08     0.02
H03   LMC   NGC2108   8.97   0.09     9   -1.0   9.10   0.16   15995.58       -1     6610     -1.0    -1.00     0.12     -1.0    -1.00    -1.00
H03   LMC     SL151   9.42   0.09     9   -1.0   9.18   0.07   15182.83     1371     2010     -1.0    -1.00     0.16     -1.0    -1.00    -1.00
H03   LMC   NGC2093   7.00   0.13  7.45   -1.0   8.40   0.40    1270.57       -1      610     -1.0    -1.00      0.3     -1.0     0.07    -1.00
H03   SMC       L91   9.11   0.12  9.15   -1.0   9.63   0.23    9120.11       -1     4210     -1.0    -1.00     0.18     -1.0     0.04     0.01
H03   LMC     SL397   7.30   0.15     8   -1.0   8.20   0.10    1322.72      368     1610     -1.0    -1.00     0.14     -1.0     0.08     0.05
H03   LMC     SL588   8.66   0.12  6.55   -1.0   8.60   0.25    3539.71      629     2810     -1.0    -1.00     0.32     -1.0     0.06    -1.00
H03   LMC     SL154   8.56   0.09  8.85   -1.0   8.70   0.20    1458.81       -1      810     -1.0    -1.00     0.05     -1.0     0.06    -1.00
H03   LMC     SL162   9.00   0.09  8.95   -1.0   9.18   0.07    3133.29       -1     3410     -1.0    -1.00     0.13     -1.0    -1.00    -1.00
H03   SMC       L27   9.28   0.12  9.45   -1.0   9.32   0.14   54954.09       -1    20210     -1.0    -1.00        0     -1.0     0.11     0.02
H03   LMC     SL551   7.20   0.15  8.15   -1.0   8.15   0.10     224.91       -1      610     -1.0    -1.00     0.04     -1.0     0.09     0.05
H03   LMC     SL132   9.00   0.09     9   -1.0   9.20   0.06    2128.14       -1     1410     -1.0    -1.00     0.11     -1.0    -1.00    -1.00
H03   SMC       L72   7.72   0.24   6.5   -1.0   7.40   0.40   19952.62       -1     2010     -1.0    -1.00     0.04     -1.0     0.14     0.02
H03   SMC       L63   6.94   0.15  6.35   -1.0   8.04   0.27     619.44       -1      810     -1.0    -1.00     0.16     -1.0     0.06     0.02
H03   LMC     SL579   7.57   0.54   7.7   -1.0   8.15   0.10    1028.02       -1      610     -1.0    -1.00     0.04     -1.0     0.07     0.05
H03   LMC      SL96   8.95   0.09   9.1   -1.0   9.20   0.06    2147.83       -1     3210     -1.0    -1.00     0.16     -1.0    -1.00    -1.00
H03   SMC    NGC419   9.31   0.12  8.95   -1.0   9.08   0.12  398107.17       -1    29210     -1.0    -1.00     0.04     -1.0     0.03     0.02
R05   SMC       B39   9.07   1.48   8.8   -1.0   9.18   0.10      -1.00       -1     1610     -1.0    -1.00     0.12     -1.0     0.01    -1.00
R05   SMC       L62   9.32   0.92  7.75   -1.0   8.10   0.24      -1.00       -1     1410     -1.0    -1.00     0.17     -1.0     0.06     0.02
R05   SMC       L50   7.94   2.28  7.55   -1.0   7.90   0.25      -1.00       -1      410     -1.0    -1.00     0.07     -1.0     0.07     0.02
R05   SMC      HW55   9.15   0.84  9.05   -1.0   9.40   0.28      -1.00       -1      810     -1.0    -1.00     0.12     -1.0     0.02    -1.00
R05   SMC      HW31   9.27   0.99   9.5   -1.0   9.68   0.21      -1.00       -1     4410     -1.0    -1.00      0.1     -1.0     0.03     0.01
R05   SMC      HW41   9.55   0.87  9.65   -1.0   9.78   0.17      -1.00       -1    12610     -1.0    -1.00    0.095     -1.0     0.06     0.01
R05   SMC    H86-70   9.72   0.64  8.85   -1.0   8.80   0.16      -1.00       -1     4410     -1.0    -1.00     0.08     -1.0     0.04    -1.00
R05   SMC       L34   8.61   1.10  8.55   -1.0   8.40   0.48      -1.00       -1     3210     -1.0    -1.00     0.04     -1.0     0.05     0.02
R05   SMC      HW22   9.64   0.76   9.5   -1.0   9.78   0.22      -1.00       -1     3210     -1.0    -1.00     0.11     -1.0     0.06    -1.00
R05   SMC       L58   9.02   0.86     9   -1.0   9.30   0.15      -1.00       -1     6610     -1.0    -1.00    0.135     -1.0     0.02    -1.00
R05   SMC      HW63   9.41   1.29   9.6   -1.0   9.73   0.19      -1.00       -1     3010     -1.0    -1.00        0     -1.0     0.04     0.02
R05   SMC       L19   9.85   0.79  9.45   -1.0   9.32   0.14      -1.00       -1    13410     -1.0    -1.00        0     -1.0     0.01     0.02
R05   SMC      HW40   9.74   0.64  9.55   -1.0   9.73   0.19      -1.00       -1     4610     -1.0    -1.00    0.075     -1.0     0.06     0.01
R05   SMC       L35   7.85   1.24   6.5   -1.0   8.34   0.23      -1.00       -1     1210     -1.0    -1.00     0.16     -1.0     0.02     0.02
R05   SMC       L45   7.35   0.76  6.25   -1.0   8.15   0.29      -1.00       -1     1410     -1.0    -1.00     0.16     -1.0     0.07     0.02
R05   SMC       L30   8.12   0.70  6.35   -1.0   8.20   0.44      -1.00       -1     2210     -1.0    -1.00     0.08     -1.0     0.05     0.02
R05   SMC      HW47   9.91   0.68  9.05   -1.0   9.45   0.18      -1.00       -1     2410     -1.0    -1.00    0.035     -1.0     0.05     0.02
R05   SMC       L49   7.63   0.68  7.65   -1.0   7.40   0.20      -1.00       -1      410     -1.0    -1.00     0.03     -1.0     0.07     0.02
R05   SMC       L91   9.58   0.80  9.15   -1.0   9.63   0.23      -1.00       -1     4210     -1.0    -1.00     0.18     -1.0     0.04     0.01
R05   SMC      HW67   9.10   1.10   8.9   -1.0   9.45   0.21      -1.00       -1      610     -1.0    -1.00    0.025     -1.0     0.02    -1.00
R05   SMC       L27   9.75   0.67  9.45   -1.0   9.32   0.14      -1.00       -1    20210     -1.0    -1.00        0     -1.0     0.11     0.02
R05   SMC       L72   7.72   3.13   6.5   -1.0   7.40   0.40      -1.00       -1     2010     -1.0    -1.00     0.04     -1.0     0.14     0.02
R05   SMC       L63   7.40   0.77  6.35   -1.0   8.04   0.27      -1.00       -1      810     -1.0    -1.00     0.16     -1.0     0.06     0.02
R05   SMC       L28   9.34   1.04   9.5   -1.0   9.00   0.30      -1.00       -1     2410     -1.0    -1.00     0.18     -1.0     0.08     0.02
C06   SMC       B34   8.80   0.30   9.8   -1.0   9.08   0.25      -1.00       -1     1810     -1.0     0.08     0.04     -1.0     0.03    -1.00
C06   SMC      BS35   8.80   0.30  6.85   -1.0   8.70   0.10      -1.00       -1      210     -1.0     0.06     0.16     -1.0     0.01    -1.00
C06   SMC     BS121   7.90   0.50  9.45   -1.0   9.36   0.17      -1.00       -1     3610     -1.0     0.03     0.04     -1.0     0.14     0.02
C06   SMC       B47   8.40   0.50  8.95   -1.0   9.15   0.14      -1.00       -1     1210     -1.0     0.06     0.12     -1.0     0.01    -1.00
C06   SMC       B39   8.60   0.30   8.8   -1.0   9.18   0.10      -1.00       -1     1610     -1.0     0.06     0.12     -1.0     0.01    -1.00
C06   SMC       L62   8.00   0.30  7.75   -1.0   8.10   0.24      -1.00       -1     1410     -1.0     0.06     0.17     -1.0     0.06     0.02
C06   SMC      BS88   8.90   0.30   9.4   -1.0   9.30   0.10      -1.00       -1      610     -1.0     0.06     0.05     -1.0     0.04    -1.00
C06   SMC    H86-70   8.80   0.30  8.85   -1.0   8.80   0.16      -1.00       -1     4410     -1.0     0.00     0.08     -1.0     0.04    -1.00
C06   SMC       L34   8.40   0.50  8.55   -1.0   8.40   0.48      -1.00       -1     3210     -1.0     0.06     0.04     -1.0     0.05     0.02
C06   SMC       L19   8.90   0.30  9.45   -1.0   9.32   0.14      -1.00       -1    13410     -1.0     0.03        0     -1.0     0.01     0.02
C06   SMC       L35   8.40   0.50   6.5   -1.0   8.34   0.23      -1.00       -1     1210     -1.0     0.06     0.16     -1.0     0.02     0.02
C06   SMC    NGC294   8.60   0.30  8.65   -1.0   8.51   0.47      -1.00       -1     4410     -1.0     0.10     0.07     -1.0     0.06     0.02
C06   SMC       L30   8.00   0.30  6.35   -1.0   8.20   0.44      -1.00       -1     2210     -1.0     0.16     0.08     -1.0     0.05     0.02
C06   SMC       L72   7.20   0.30   6.5   -1.0   7.40   0.40      -1.00       -1     2010     -1.0     0.06     0.04     -1.0     0.14     0.02
C06   SMC       L63   7.70   0.30  6.35   -1.0   8.04   0.27      -1.00       -1      810     -1.0     0.06     0.16     -1.0     0.06     0.02
C06   SMC    NGC419   8.60   0.50  8.95   -1.0   9.08   0.12      -1.00       -1    29210     -1.0     0.06     0.04     -1.0     0.03     0.02
G10   LMC    BRHT4B   7.95   0.30   8.5   -1.0   8.00   0.25      -1.00       -1      410     -1.0     0.03     0.01     -1.0     0.15     0.03
G10   SMC      B112   7.10   0.30     9   -1.0   9.20   0.09      -1.00       -1      610     -1.0     0.04     0.12     -1.0     0.05    -1.00
G10   LMC   BRHT45A   8.00   0.40   7.7   -1.0   8.10   0.10      -1.00       -1      810     -1.0     0.15     0.17     -1.0     0.08     0.05
G10   SMC       B34   8.70   0.30   9.8   -1.0   9.08   0.25      -1.00       -1     1810     -1.0     0.14     0.04     -1.0     0.03    -1.00
G10   SMC     BS265   8.80   0.30     9   -1.0   8.80   0.16      -1.00       -1      210     -1.0     0.05     0.11     -1.0     0.07    -1.00
G10   SMC      BS35   8.85   0.30  6.85   -1.0   8.70   0.10      -1.00       -1      210     -1.0     0.10     0.16     -1.0     0.01    -1.00
G10   SMC      HW42   8.70   0.40   9.5   -1.0   9.97   0.16      -1.00       -1      210     -1.0     0.10     0.07     -1.0     0.03     0.01
G10   LMC   BSDL268   7.50   0.30  6.95   -1.0   7.95   0.10      -1.00       -1      610     -1.0     0.10     0.14     -1.0     0.10     0.05
G10   LMC   H88-320   8.00   0.40  7.95   -1.0   8.20   0.10      -1.00       -1      410     -1.0     0.15     0.24     -1.0     0.17     0.05
G10   LMC   BSDL631   7.50   0.40  6.45   -1.0   8.35   0.10      -1.00       -1      410     -1.0     0.08     0.12     -1.0     0.00     0.05
G10   SMC       B39   8.65   0.30   8.8   -1.0   9.18   0.10      -1.00       -1     1610     -1.0     0.08     0.12     -1.0     0.01    -1.00
G10   LMC   H88-316   8.00   0.40   7.1   -1.0   8.25   0.10      -1.00       -1      610     -1.0     0.30     0.26     -1.0     0.15     0.05
G10   LMC   KMHK378   7.40   0.30  8.85   -1.0   8.45   0.10      -1.00       -1      410     -1.0     0.08     0.06     -1.0     0.07     0.05
G10   LMC      HS38   8.40   0.40   8.9   -1.0   8.60   0.25      -1.00       -1     1010     -1.0     0.05        0     -1.0     0.05    -1.00
G10   SMC       L62   8.00   0.30  7.75   -1.0   8.10   0.24      -1.00       -1     1410     -1.0     0.13     0.17     -1.0     0.06     0.02
G10   SMC       L50   7.70   0.30  7.55   -1.0   7.90   0.25      -1.00       -1      410     -1.0     0.04     0.07     -1.0     0.07     0.02
G10   SMC      HW55   9.00   0.50  9.05   -1.0   9.40   0.28      -1.00       -1      810     -1.0     0.08     0.12     -1.0     0.02    -1.00
G10   SMC      HW31   8.90   0.30   9.5   -1.0   9.68   0.21      -1.00       -1     4410     -1.0     0.03      0.1     -1.0     0.03     0.01
G10   LMC   KMHK112   8.80   0.50     9   -1.0   9.10   0.08      -1.00       -1     1410     -1.0     0.10     0.14     -1.0    -1.00    -1.00
G10   SMC      HW41   9.00   0.50  9.65   -1.0   9.78   0.17      -1.00       -1    12610     -1.0     0.10    0.095     -1.0     0.06     0.01
G10   LMC     HS264   8.60   0.40  8.95   -1.0   9.20   0.06      -1.00       -1     1010     -1.0     0.15     0.11     -1.0    -1.00    -1.00
G10   LMC   NGC1839   7.90   0.30   6.4   -1.0   8.10   0.20      -1.00       -1     5410     -1.0     0.10     0.17     -1.0     0.15     0.03
G10   LMC     SL218   7.60   0.30   8.9   -1.0   7.70   0.20      -1.00       -1     1010     -1.0     0.10        0     -1.0     0.15     0.03
G10   SMC       L34   8.35   0.40  8.55   -1.0   8.40   0.48      -1.00       -1     3210     -1.0     0.09     0.04     -1.0     0.05     0.02
G10   LMC     HS412   8.10   0.30     8   -1.0   8.10   0.10      -1.00       -1      210     -1.0     0.15     0.22     -1.0     0.17     0.05
G10   LMC  KMHK1055   8.80   0.50   6.9   -1.0   9.00   0.10      -1.00       -1      810     -1.0     0.05     0.06     -1.0     0.06    -1.00
G10   SMC      HW22   8.85   0.50   9.5   -1.0   9.78   0.22      -1.00       -1     3210     -1.0     0.08     0.11     -1.0     0.06    -1.00
G10   SMC       L58   9.00   0.50     9   -1.0   9.30   0.15      -1.00       -1     6610     -1.0     0.02    0.135     -1.0     0.02    -1.00
G10   SMC      HW63   8.65   0.40   9.6   -1.0   9.73   0.19      -1.00       -1     3010     -1.0     0.10        0     -1.0     0.04     0.02
G10   LMC   NGC1793   8.00   0.40  6.65   -1.0   8.05   0.10      -1.00       -1      810     -1.0     0.20     0.16     -1.0     0.11     0.05
G10   LMC   NGC1838   8.00   0.30  7.95   -1.0   8.00   0.25      -1.00       -1     1010     -1.0     0.15     0.12     -1.0     0.15     0.03
G10   SMC      HW40   9.00   0.50  9.55   -1.0   9.73   0.19      -1.00       -1     4610     -1.0     0.05    0.075     -1.0     0.06     0.01
G10   SMC       L35   8.35   0.30   6.5   -1.0   8.34   0.23      -1.00       -1     1210     -1.0     0.10     0.16     -1.0     0.02     0.02
G10   SMC       L45   8.20   0.50  6.25   -1.0   8.15   0.29      -1.00       -1     1410     -1.0     0.08     0.16     -1.0     0.07     0.02
G10   LMC     SL230   7.40   0.30  7.65   -1.0   7.90   0.10      -1.00       -1      810     -1.0     0.16     0.09     -1.0     0.08     0.05
G10   LMC   KMHK979   7.30   0.40  6.65   -1.0   7.90   0.10      -1.00       -1      410     -1.0     0.10     0.11     -1.0     0.09     0.05
G10   LMC     SL444   8.70   0.30   8.7   -1.0   8.70   0.20      -1.00       -1     1610     -1.0     0.08     0.08     -1.0     0.06     0.02
G10   LMC     SL290   8.30   0.40   8.8   -1.0   9.08   0.08      -1.00       -1     1210     -1.0     0.08      0.1     -1.0    -1.00    -1.00
G10   SMC    NGC294   8.45   0.30  8.65   -1.0   8.51   0.47      -1.00       -1     4410     -1.0     0.10     0.07     -1.0     0.06     0.02
G10   LMC   NGC1863   7.80   0.40  6.15   -1.0   7.70   0.20      -1.00       -1     5410     -1.0     0.15     0.19     -1.0     0.15     0.03
G10   LMC      LW54   8.60   0.30   8.5   -1.0   8.60   0.10      -1.00       -1      410     -1.0     0.03     0.02     -1.0     0.00     0.05
G10   SMC       L30   7.80   0.30  6.35   -1.0   8.20   0.44      -1.00       -1     2210     -1.0     0.20     0.08     -1.0     0.05     0.02
G10   LMC      SL35   8.80   0.30  9.05   -1.0   9.18   0.07      -1.00       -1     2010     -1.0     0.05     0.08     -1.0    -1.00    -1.00
G10   LMC   KMHK229   8.10   0.50  8.95   -1.0   9.00   0.10      -1.00       -1      210     -1.0     0.15     0.22     -1.0     0.10    -1.00
G10   LMC     SL555   8.80   0.50     9   -1.0   9.28   0.21      -1.00       -1     6010     -1.0     0.02     0.02     -1.0     0.07     0.02
G10   SMC       L49   7.40   0.30  7.65   -1.0   7.40   0.20      -1.00       -1      410     -1.0     0.10     0.03     -1.0     0.07     0.02
G10   LMC   NGC2093   7.70   0.40  7.45   -1.0   8.40   0.40      -1.00       -1      610     -1.0     0.10      0.3     -1.0     0.07    -1.00
G10   SMC       L91   8.90   0.40  9.15   -1.0   9.63   0.23      -1.00       -1     4210     -1.0     0.09     0.18     -1.0     0.04     0.01
G10   LMC     SL510   8.30   0.40  6.45   -1.0   8.11   0.77      -1.00       -1      410     -1.0     0.10     0.18     -1.0     0.08    -1.00
G10   LMC     SL397   7.80   0.30     8   -1.0   8.20   0.10      -1.00       -1     1610     -1.0     0.15     0.14     -1.0     0.08     0.05
