#
# Age1: log(age)_H03
# Age2: log(age)_P12
#
# Mass1: Mass_H03
# Mass2: Mass_P12
#
#GAL   RA        DEC         Age1   e_age  Age2   e_age   Mass1   e_m1  Mass2    e_m2     NAMES
LMC    74.53333  -70.40333   6.69   0.15   7.44   0.36      157  -1     2350     2100     KMHK376
LMC    74.19583  -70.84333   6.63   0.15   7.50   0.16       39  -1      525      300     BSDL309
LMC    76.15000  -70.16667   6.79   0.15   7.48   0.08       27  -1      800      100     KMHK514
LMC    78.77896  -68.97872   8.19   0.15   7.48   0.18     9036  -1     3700     2250     NGC1885, SL338
LMC    83.07500  -68.87500   7.19   0.15   7.74   0.27      724  -1     4100     2550     KMHK1047
LMC    80.14746  -69.52525   7.78   0.54   7.49   0.32    14191  -1     7000     5500     NGC1926, SL403
LMC    74.22083  -69.55667   7.00   0.15   7.42   0.20     1961  -1     9750     5250     NGC1772, SL128
LMC    72.74167  -67.61000   6.71   0.15   7.50   0.09       32  -1      225      125     BSDL87
LMC    77.32917  -70.45667   9.48   0.09   7.51   0.01    23550  -1      300      100     KMHK600
LMC    75.23750  -67.74500   7.17   0.15   7.52   0.07      565  -1     1050      375     H88-89, KMHK433
LMC    76.16287  -69.34058   7.86   1.06   7.51   0.07     2014  -1      800      225     NGC1830, SL207
LMC    76.30054  -69.20736   7.18   0.15   7.51   0.24     1138  -1     4000     3100     NGC1834, ESO56SC60
LMC    80.45596  -69.65167   7.98   0.17   7.52   0.18     2911  -1     1700      850     SL418
LMC    77.66667  -70.06333   9.00   0.09   8.28   0.75     8710  -1     8600     8400     SL294, KMHK627
LMC    72.57083  -68.63833   6.53   0.15   7.53   0.14       51  -1      750      600     BSDL73
LMC    75.92500  -70.70333   6.70   0.13   7.54   0.13       20  -1      200      125     BSDL499
LMC    80.14262  -69.63839   7.74   0.54   7.54   0.11     1690  -1     3000      650     HS241
LMC    73.49583  -70.18333   8.98   0.09   7.54   0.01     9550  -1      800      175     BSDL191
LMC    74.21250  -70.45500   6.72   0.15   7.55   0.17       12  -1      450      200     BSDL310
LMC    79.57808  -69.53744   7.16   0.15   7.55   0.10     1854  -1     7500     1500     NGC1913, SL373
LMC    79.68092  -69.29136   9.00   0.09   7.55   0.11     9550  -1      750      375     OGLE-LMC0339
LMC    77.22729  -68.75386   7.37   0.15   7.55   0.09     2535  -1     8000     1750     BRHT5, H88-159
LMC    75.93750  -70.41000   7.28   0.15   7.56   0.12      283  -1     1500      700     BSDL500
LMC    80.61367  -69.74528   6.79   0.15   7.57   0.04      167  -1     4000      500     BRHT50
LMC    79.52683  -69.52956   7.16   0.15   7.57   0.07      225  -1      900      200     BSDL1160
LMC    85.53333  -69.36667   7.28   0.15   7.57   0.09      125  -1      750      325     H88-321
LMC    72.75000  -70.02333   7.18   0.15   7.86   0.29      592  -1     3125     2375     KMHK156
LMC    76.02083  -71.11000   7.12   0.15   7.58   0.06       79  -1      600      250     BSDL524
LMC    81.65833  -67.65500   6.36   0.15   7.58   0.04       43  -1      850      350     HS299, KMHK905
LMC    77.77571  -69.17208   6.56   0.15   7.58   0.13       54  -1      700      500     KMK88-34, H88-191
LMC    80.35187  -69.94097   8.01   0.85   7.66   0.15     3770  -1     1050      400     NGC1938, SL413
LMC    72.31667  -69.87500   6.52   0.15   7.77   0.22       43  -1      725      600     HS33, KMHK119
LMC    77.66279  -69.04194   7.28   0.15   7.61   0.06     1731  -1     5750     1000     SL288
LMC    79.59167  -69.48833   7.50   0.54   7.60   0.10     1107  -1     1300      450     BSDL1181
LMC    83.53333  -67.42667   7.28   0.15   7.60   0.07      134  -1      800      350     BSDL2351
LMC    82.78333  -67.33667   6.54   0.15   7.60   0.10       35  -1      450      250     BSDL2085
LMC    74.37500  -68.36333   7.50   0.31   7.57   0.14     1590  -1     5350     2500     SL134, KMHK349
LMC    74.11667  -67.69500   7.18   0.15   7.74   0.17      578  -1     3850     1400     NGC1764, SL115
LMC    77.83958  -69.31044   7.72   0.54   7.61   0.04     1076  -1     2200      300     KMK88-33, H88-194
LMC    77.66612  -68.75361   7.24   0.15   7.80   0.27      611  -1     2650     2050     NGC1860, SL284
LMC    76.97917  -70.05667   7.20   0.15   7.73   0.18      431  -1     2850     1650     SL255, BRHT30A, KMHK573
LMC    75.43912  -67.56686   6.54   0.15   7.66   0.12       35  -1      500      225     KMHK451
LMC    82.72917  -69.36667   7.28   0.15   7.62   0.12      261  -1     1400      575     BSDL2093
LMC    74.62917  -69.16500   7.04   0.15   7.63   0.12      191  -1      950      400     H88-61, H80F1-41, KMHK379
LMC    77.93333  -70.06500   9.00   0.09   7.63   0.03     7311  -1      400      150     SL302, KMHK646
LMC    74.56250  -68.04833   7.28   0.15   7.64   0.09      105  -1      650      150     BSDL341
LMC    77.56758  -69.34136   6.95   0.15   7.85   0.23      325  -1     2750     1350     SL280
LMC    78.90492  -69.47347   7.18   0.15   7.68   0.09      319  -1     1500      300     SL341, BRHT8
LMC    80.49583  -68.74667   7.00   0.13   7.75   0.10      201  -1     1700      450     H88-291
LMC    75.31667  -68.14833   6.97   0.15   7.73   0.17      102  -1      975      600     BSDL433
LMC    79.45758  -69.69431   7.18   0.15   7.70   0.04      191  -1     1350      150     BSDL1142
LMC    77.58429  -68.87711   7.39   0.32   7.88   0.19      631  -1     1900     1025     KMK88-32, H88-178, BRHT48
LMC    79.48400  -69.58119   7.38   0.15   7.70   0.06      661  -1     2700      250     HS213
LMC    79.18596  -69.46192   7.43   0.15   7.70   0.09     1318  -1     4500      750     H88-247
LMC    79.38925  -69.51478   7.16   0.15   7.71   0.21      488  -1     1300      650     SL358
LMC    79.71354  -69.37058   9.00   0.09   7.71   0.08     4613  -1      500      150     HS223A
LMC    84.26667  -68.72167   9.48   0.09   7.71   0.15     9550  -1      500      175     SL615, KMHK1143
LMC    72.47917  -69.75500   7.19   0.15   7.58   0.24     1614  -1     6500     4000     NGC1704, SL50
LMC    75.77479  -69.03747   6.85   0.15   7.71   0.26      325  -1     5000     3150     SL191
LMC    75.62500  -70.63500   6.78   0.15   7.72   0.12      172  -1     4000      750     BSDL470
LMC    80.77500  -69.66833   7.01   0.15   7.72   0.04      161  -1     1300      150     BSDL1480
LMC    79.05133  -69.28453   9.48   0.09   8.60   0.88    10471  -1     4150     4150     H88-243
LMC    79.60300  -69.48494   7.18   0.15   7.73   0.12      299  -1     1800      600     H88-268
LMC    84.43750  -69.33500   8.02   0.15   7.73   0.33     2938  -1     2500     3100     HS371, BRHT54A
LMC    80.59583  -68.16000   7.89   1.06   7.73   0.10     1038  -1      650      175     SL424, KMHK831
LMC    80.60417  -68.78500   6.87   0.15   7.85   0.20      220  -1     3700     1650     SL425
LMC    77.65000  -70.48667   8.06   0.54   8.20   0.45     1215  -1     2800     1400     SL290, KMHK628
LMC    79.63750  -69.68667   7.48   0.54   7.75   0.09      453  -1     1600      500     BSDL1194
LMC    78.71308  -69.42967   9.48   0.09   7.75   0.03     6855  -1      400      100     HS191
LMC    78.12917  -69.75500   9.24   0.24   8.52   0.75     9417  -1    10750    10250     HS174
LMC    79.36533  -69.35619   7.60   0.54   7.77   0.14      895  -1     2500      650     H88-255
LMC    77.18162  -69.18294   6.89   0.15   7.77   0.05       46  -1      700       75     HS128
LMC    79.85000  -68.88167   9.48   0.09   8.61   0.83     5552  -1      900     1700     HS228
LMC    77.54646  -69.08750   7.23   0.15   7.81   0.26      337  -1     2100     1350     HS147, H88-174
LMC    76.39912  -68.62847   8.27   0.15   7.77   0.13     6668  -1     1600      450     BRHT4, NGC1836, SL223
LMC    80.51346  -70.04564   8.80   0.09   7.77   0.14     2858  -1      400      150     HS253
LMC    82.09583  -67.64167   7.37   0.15   7.78   0.10      429  -1      700      225     SL497, KMHK940
LMC    73.73333  -68.18833   7.25   0.71   7.84   0.28      949  -1     2400     2450     NGC1749, SL93
LMC    77.61612  -68.69856   7.23   0.15   7.78   0.23      198  -1     1200     1000     HS152
LMC    80.56112  -69.51131   7.64   0.54   7.79   0.17     1528  -1     4000     1150     SL423
LMC    79.53304  -69.31539   9.30   0.09   7.79   0.21     6368  -1      600      350     HS216
LMC    78.94375  -69.24422   7.64   0.54   7.79   0.15      879  -1     2200      800     H88-238
LMC    73.68750  -69.82333   7.31   0.15   7.82   0.07      157  -1      850      275     KMHK258
LMC    80.20062  -69.41533   6.88   0.15   7.81   0.17       42  -1      750      400     H88-284
LMC    74.46250  -69.39333   7.68   0.54   7.41   0.39    10487  -1    13750     8250     NGC1782, SL140
LMC    76.12679  -69.15606   9.00   0.09   7.80   0.10     5012  -1      650      175     KMK88-8, H88-106
LMC    76.48067  -68.95133   7.37   0.15   7.80   0.06      286  -1     1300      150     KMK88-14, H88-126
LMC    80.09821  -69.58419   7.73   0.54   7.81   0.17     2249  -1     4500     1250     SL402
LMC    77.42883  -68.80181   7.56   0.81   7.91   0.14      715  -1     1750      950     KMK88-29, H88-171, BRHT47
LMC    80.05000  -68.90500   7.30   0.15   7.71   0.20     1323  -1     6000     2750     SL397
LMC    74.58750  -67.48000   6.60   0.15   7.80   0.17      121  -1     1600     1325     H88-54, KMHK369
LMC    73.79583  -67.49833   6.54   0.15   7.92   0.18       25  -1      475      450     HS61, KMHK266
LMC    79.82912  -69.71419   7.96   0.17   7.94   0.18      817  -1     1400      775     KMK88-45
LMC    78.88896  -69.53236   7.18   0.15   7.84   0.08      111  -1      650      150     BSDL1047
LMC    78.26500  -69.04989   9.40   0.09   7.84   0.15     5297  -1      350      200     HS177
LMC    78.50646  -68.94975   7.20   0.15   7.84   0.28      129  -1      850      900     HS182
LMC    74.69167  -68.63833   7.21   0.15   7.95   0.17      172  -1      775      550     H88-69, H80F1-42, KMHK381W
LMC    72.35833  -69.85167   7.27   0.52   7.83   0.23      555  -1     2950     1350     NGC1702, SL46
LMC    77.22083  -69.00333   8.14   0.15   8.00   0.19     1019  -1     1325      725     KMK88-27
LMC    78.03662  -69.27903   7.39   0.15   7.85   0.12      360  -1     1800      500     HS169
LMC    78.11500  -69.55606   7.00   0.13   7.85   0.07      113  -1     1200      300     BSDL880
LMC    76.29050  -68.95661   7.27   0.15   7.85   0.11      147  -1      800      225     H88-119
LMC    80.12104  -69.74986   7.18   0.15   7.88   0.11      138  -1      925      150     BSDL1299
LMC    80.10762  -69.57019   7.19   0.15   7.86   0.17      185  -1     1600      650     H88-283
LMC    78.08817  -69.41147   6.88   0.15   7.86   0.09       33  -1      550      125     H88-210
LMC    77.57725  -69.07958   7.18   0.15   7.88   0.07      109  -1      925      150     KMK88-31, H88-179
LMC    82.10417  -68.20500   6.61   0.15   7.87   0.11       29  -1      425      225     HS313, KMHK942
LMC    75.92554  -68.96842   7.19   0.15   7.86   0.11      189  -1     1600      350     KMK88-2
LMC    79.60417  -69.87500   8.13   0.15   7.98   0.22     1500  -1     1850      900     HS220
