#
# Age1: log(age)_H03
# Age2: log(age)_P12
#
# Mass1: Mass_H03
# Mass2: Mass_P12
#
#GAL   RA        DEC         Age1   e_age  Age2   e_age   Mass1   e_m1  Mass2    e_m2     NAMES
LMC    84.13333  -68.74333   6.72   0.15   7.71   0.24       30  -1     1000      700     KMK88-86
LMC    84.57083  -67.09500   7.30   0.52   7.72   0.11      110  -1      400      150     HS373, KMHK1164
LMC    73.58333  -67.10000   7.28   0.15   7.72   0.22     5248  -1    12000     5750     NGC1735, SL86
LMC    73.77500  -69.67333   7.57   0.54   7.72   0.27     4920  -1     8500     5150     SL106, KMHK276
LMC    76.35294  -68.50114   7.22   0.15   7.73   0.09      488  -1     2700      750     SL218
LMC    73.86250  -70.89333   6.53   0.15   7.73   0.20       40  -1     1000      650     HS67, KMHK296
LMC    74.25833  -68.24833   6.68   0.15   7.74   0.03      170  -1     2200      400     NGC1768, SL127
LMC    74.52500  -67.24167   7.64   0.54   7.74   0.17     9120  -1    20000     5500     NGC1774, SL141
LMC    80.27083  -69.07167   7.66   0.38   7.75   0.03      333  -1     1700      150     SL408A
LMC    83.55417  -67.85667   7.57   0.54   7.75   0.07     1028  -1     3000      650     SL579, KMHK1085
LMC    85.24583  -68.46500   7.00   0.13   7.75   0.09      631  -1     4500     1250     NGC2088, SL652
LMC    73.68750  -68.96333   7.30   0.15   7.75   0.21     1343  -1     5000     1900     BRHT43B
LMC    78.06212  -68.93114   6.89   0.15   7.76   0.12       70  -1     1100      250     KMK88-39, H88-205
LMC    74.67083  -70.52833   6.53   0.15   7.76   0.41      126  -1     2700     2150     BSDL365
LMC    71.90833  -69.34333   7.18   0.15   7.77   0.03      466  -1     3500      250     NGC1693, SL39, LMC-S66
LMC    76.72729  -68.71883   6.60   0.15   7.77   0.18      258  -1     3000     1600     SL234
LMC    72.75417  -69.38667   7.31   0.15   7.78   0.03      179  -1      900      175     BSDL96
LMC    76.95292  -70.04417   7.19   0.15   7.79   0.04      136  -1     1100      150     BRHT30B, KMHK567
LMC    74.90833  -69.55667   7.18   0.15   7.79   0.20      766  -1     6500     2500     NGC1793, SL163
LMC    74.27083  -67.41333   6.56   0.15   7.80   0.21       48  -1     1000      750     HS73, KMHK330
LMC    84.80417  -68.50000   7.29   0.15   7.80   0.18       91  -1      750      400     HS378, KMHK1183
LMC    73.93333  -69.15667   8.27   0.15   7.81   0.23     1675  -1      650      500     SL110, KMHK294
LMC    73.52083  -69.68167   7.29   0.15   7.83   0.35       60  -1      450      350     BSDL192
LMC    81.85000  -68.93833   7.56   0.54   7.84   0.04      879  -1     3000      350     BSDL1793
LMC    73.29583  -68.65000   7.21   0.15   7.84   0.17      745  -1     5500     2250     NGC1732, SL77
LMC    84.13750  -68.56500   6.81   0.15   7.85   0.06       70  -1     1700      200     SL606, KMHK1136
LMC    73.68333  -68.98167   6.56   0.15   7.85   0.08       36  -1     1000      375     HS60, BRHT43A, KMHK252
LMC    72.01667  -68.79167   7.29   0.15   7.86   0.23      142  -1      900      650     HS28, KMHK104
LMC    85.38333  -68.83833   7.29   0.15   7.86   0.14      150  -1      800      400     H88-312, KMHK1238
LMC    76.51204  -68.62822   7.21   0.15   7.87   0.27     1107  -1     8000     3400     NGC1839, SL226
LMC    82.97500  -68.76833   6.53   0.15   7.87   0.20       17  -1      400      350     KMK88-68, KMHK1033
LMC    71.49167  -69.05333   8.08   0.15   7.88   0.25     1459  -1     1400     1475     KMHK74
LMC    82.99583  -67.36833   6.56   0.15   7.88   0.22       79  -1     2200     1025     HS341, KMHK1028
LMC    73.60833  -68.46167   6.88   0.15   7.89   0.05       77  -1     1400      100     KMHK245
LMC    72.33333  -69.12667   7.23   0.15   7.89   0.17      221  -1     2000      700     KMHK118
LMC    83.62917  -68.69667   6.76   0.15   7.90   0.23       20  -1      900      500     HS357, KMHK1097
LMC    73.80417  -70.19167   7.30   0.15   7.90   0.14      236  -1     1700      550     HS64, KMHK281
LMC    84.15000  -67.28667   7.28   0.15   7.91   0.09      121  -1      950       75     KMHK1134
LMC    76.03750  -71.07667   7.18   0.15   7.93   0.14       86  -1      600      275     KMHK508
LMC    73.25000  -69.62333   7.90   0.15   7.94   0.19     1009  -1     1700     1000     KMHK207
LMC    76.91096  -68.79608   7.23   0.15   7.94   0.04      247  -1     2500      250     HS122
LMC    75.63771  -68.82267   6.96   0.15   7.94   0.29      391  -1     3000     2000     SL188
LMC    73.68750  -70.38167   6.54   0.15   7.94   0.09       53  -1     1500      400     SL100, BH27C1, KMHK265
LMC    76.00833  -70.62667   7.28   0.15   7.94   0.28      263  -1     1600      900     HS104, KMHK499
LMC    75.01750  -67.80000   6.81   0.15   7.95   0.06       49  -1     1700      200     BRHT62A, H88-84, KMHK412
LMC    82.96250  -67.99167   7.20   0.15   7.95   0.10      225  -1     1800      550     SL551, BRHT38A, KMHK1027
LMC    85.16250  -69.25833   6.79   0.15   7.95   0.22       33  -1     1200      600     BSDL2768
LMC    72.38750  -70.04833   7.82   0.15   7.96   0.11      973  -1     2200      700     HS36, KMHK126
LMC    81.74583  -68.45167   7.72   0.54   7.97   0.11      787  -1     2500      600     KMHK914
LMC    73.93750  -68.55000   6.78   0.15   7.98   0.07       13  -1      700       50     H88-36, H80F1-28, KMHK293
LMC    73.65833  -70.81000   7.39   0.15   7.98   0.28      100  -1      700      450     KMHK262
LMC    84.57083  -68.56667   7.19   0.15   7.99   0.05       78  -1      750       75     HS374, KMHK1165
LMC    72.37917  -69.64500   7.28   0.15   7.99   0.20      198  -1     1500      675     BSDL58
LMC    78.23833  -68.94250   7.58   0.54   7.99   0.26      344  -1     1900      875     SL311
LMC    76.40392  -68.71844   7.21   0.15   8.00   0.23      402  -1     2500     1575     HS109
LMC    80.55833  -68.76500   7.56   0.54   8.00   0.17      194  -1      650      350     BSDL1400
LMC    85.87083  -69.16167   8.96   0.09   8.00   0.27     1690  -1      500      450     H88-326
LMC    79.88750  -68.27333   7.30   0.52   8.01   0.03      597  -1     3200      250     SL383, KMHK775
LMC    72.11250  -69.36833   7.56   0.54   8.01   0.17      384  -1     1600      775     HS30, KMHK109
LMC    75.09167  -70.94500   7.29   0.15   8.01   0.28      207  -1     1200      700     SL169, BRHT26A, KMHK430
LMC    85.49167  -69.04667   7.52   0.54   8.02   0.04      194  -1     1200      100     H88-320, KMHK1248
LMC    75.11187  -68.77283   8.05   0.15   8.02   0.21      565  -1      800      475     HS83, KMHK421
LMC    83.92500  -68.66833   6.80   0.15   8.03   0.29       33  -1     1700      900     SL596, KMHK1123
LMC    74.55833  -68.94167   7.53   0.54   8.04   0.04      161  -1      850      100     H88-57, H80F1-39
LMC    72.91667  -68.76667   6.82   0.15   8.05   0.10       33  -1     1000      275     HS43, H88-6, H80F1-5
LMC    82.82917  -68.81667   7.20   0.15   8.05   0.12      126  -1     1400      350     SL541, KMK88-63
LMC    73.22500  -69.25500   6.81   0.15   8.05   0.08       23  -1      600      125     H88-13, H80F1-12
LMC    72.76250  -70.01167   7.27   0.15   8.05   0.22       72  -1      350      375     BSDL103
LMC    74.48333  -70.33167   7.76   0.54   8.06   0.06      258  -1      850      100     KMHK368
LMC    83.92083  -67.70167   7.19   0.15   8.07   0.16      136  -1      950      450     BSDL2489
LMC    81.26250  -68.73333   8.31   0.09   8.08   0.19      982  -1     1500      850     KMHK876
LMC    84.27083  -67.87000   7.68   0.54   8.08   0.24      511  -1     1900      950     HS366, KMHK1142
LMC    75.43946  -67.09553   6.81   0.15   8.08   0.21       22  -1      500      450     SL179, KMHK449
LMC    84.41667  -67.41333   7.48   0.54   8.09   0.27     1585  -1     6500     3250     NGC2053, SL623
LMC    73.65417  -68.96000   9.48   0.09   8.09   0.36    31333  -1     2500     2250     BSDL210
LMC    82.97083  -68.78500   8.28   0.15   8.10   0.21     1127  -1     1200      750     KMK88-69
LMC    75.20833  -71.05444   7.23   0.15   8.10   0.17      113  -1     1200      525     SL175
LMC    74.16250  -68.66667   7.44   0.15   8.11   0.06      294  -1     1600      200     H88-45, H80F1-30, KMHK321
LMC    71.93333  -69.37333   8.16   0.15   8.12   0.20     5495  -1    10000     4000     NGC1695, SL40
LMC    73.17500  -68.78167   6.82   0.15   8.12   0.28       35  -1      750     1000     HS52, KMHK193
LMC    72.20417  -69.39833   7.21   0.15   8.13   0.12       37  -1      650      225     BSDL44
LMC    73.85000  -68.54167   7.68   0.54   8.14   0.05     2729  -1    10000     1000     SL105, KMHK280
LMC    72.73750  -69.12333   8.99   0.09   8.14   0.20     4875  -1      950      650     BSDL94
LMC    74.77500  -70.16833   7.64   0.64   8.15   0.22     1002  -1     4000     1500     NGC1791, SL155
LMC    76.11250  -70.66500   7.20   0.15   8.16   0.22      302  -1     3000     1300     BSDL547
LMC    75.37167  -68.71217   6.92   0.15   8.17   0.05      122  -1     2500      350     SL176, KMHK448
LMC    71.86250  -69.44333   7.28   0.15   8.17   0.19      117  -1     1000      500     HS27, KMHK99
LMC    72.23333  -68.90333   7.20   0.15   8.18   0.16       64  -1     1100      400     HS31, KMHK113
LMC    82.54583  -67.67500   7.21   0.15   8.19   0.06       44  -1      700      100     KMHK980
LMC    73.78750  -68.69667   8.08   0.15   8.19   0.11      655  -1     1000      350     H88-28, H80F1-22
LMC    73.22500  -68.91833   7.19   0.15   8.20   0.30      592  -1     8000     3900     SL75, KMHK199
LMC    83.02500  -67.19333   7.38   0.15   8.22   0.07      122  -1     1000      150     HS344
LMC    75.25417  -67.91667   7.73   0.54   8.27   0.14      211  -1     1000      275     HS86, KMHK435
LMC    83.85417  -68.69167   8.94   0.09   8.27   0.18     2535  -1     1400      550     SL594, KMHK1117
LMC    84.62500  -67.33167   6.95   0.15   8.30   0.15      363  -1     8000     3250     SL628, KMHK1166
LMC    81.36250  -68.83833   8.40   0.09   8.30   0.21     9817  -1    16000     8250     NGC1953, SL459
LMC    73.38750  -68.76833   7.60   0.54   8.33   0.17      643  -1     3000     1050     NGC1734, SL83
LMC    84.83333  -67.05000   8.49   0.09   8.33   0.21     1213  -1     2500     1300     HS377, KMHK1182
LMC    83.54583  -68.59167   8.44   0.09   8.34   0.17     1556  -1     3000     1050     SL580, KMHK1086
LMC    76.85000  -70.81000   8.38   0.09   8.34   0.18     1528  -1     3000     1050     SL246, KMHK561
LMC    72.74583  -69.63667   7.89   1.06   8.37   0.15     2377  -1     7500     2500     SL58, KMHK153
LMC    71.92083  -70.96167   7.89   1.06   8.39   0.17      185  -1      850      325     KMHK103
LMC    74.09167  -68.96667   8.29   0.15   8.39   0.26    10093  -1    20000    11500     SL117, KMHK314
LMC    74.16250  -68.63500   8.47   0.09   8.39   0.25     1191  -1     1600      750     H88-46, H80F1-31, KMHK319
LMC    75.13750  -70.94833   8.41   0.09   8.40   0.04     1028  -1     1700      225     SL171, BRHT26B, KMHK434
LMC    79.99829  -70.66517   8.77   0.09   8.41   0.29     2291  -1     2000     1100     SL395, KMHK793
LMC    72.17083  -69.23000   8.50   0.09   8.45   0.11      692  -1     1600      425     HS32, KMHK111
LMC    74.27917  -67.83000   8.00   0.20   8.46   0.09      288  -1     1000      250     H88-48, KMHK333
LMC    84.34583  -67.34667   8.80   0.09   8.53   0.32      745  -1      450      450     KMHK1147
LMC    73.40000  -67.63833   8.64   0.09   8.57   0.12      667  -1     1100      350     BSDL167
LMC    74.65000  -69.81500   8.92   0.09   8.57   0.06     1570  -1     1400      200     KMHK382
LMC    73.50000  -68.63167   8.53   0.09   8.63   0.21      377  -1      750      350     H88-17, H80F1-14, KMHK230
LMC    72.91250  -70.65500   8.89   0.09   8.65   0.12     2032  -1     2000      650     KMHK170
LMC    81.62083  -68.37500   8.94   0.09   8.68   0.36     3048  -1     2700     2450     SL473, KMHK904
LMC    83.25417  -67.84833   8.92   0.09   8.75   0.14     2208  -1     3000     1000     KMHK1055
LMC    71.19167  -69.64167   8.60   0.09   8.85   0.08      912  -1     2200      450     LW46, KMHK63
LMC    73.46250  -69.57167   9.30   0.09   9.05   0.30     7047  -1     8500     4750     KMHK229
LMC    73.91250  -70.54667   9.00   0.09   9.06   0.28     3251  -1     6500     5250     KMHK300
LMC    82.11667  -68.65000   9.00   0.09   9.08   0.25     5598  -1    11000     5750     KMHK945
LMC    72.61667  -68.71000   9.00   0.09   9.25   0.23     3162  -1    10000     3500     HS37, KMHK139
LMC    74.28333  -70.11167   9.48   0.09   9.43   0.13     1445  -1     3200     1200     BSDL320
