LMC-NGC2019 1.868 0.156 0.156 K  5.47 0.05 0.05 50.99 0.10 0.10 4.68 0.08 0.08  4.60 0.12 0.11  3.93 0.05  0.05  9.30  0.57 0.54 38.29   2.47  2.33  8.82 0.03 0.03  0.473 0.094 0.085 
LMC-NGC2019 1.868 0.156 0.156 W  5.53 0.05 0.05 51.04 0.10 0.10 4.63 0.07 0.06  4.48 0.11 0.09  3.90 0.06  0.06  9.58  0.59 0.55 38.53   2.46  2.24  8.91 0.05 0.04  0.298 0.080 0.072 
LMC-NGC2019 1.868 0.156 0.156 PL 5.61 0.06 0.06 51.05 0.10 0.10 4.58 0.07 0.06  4.37 0.10 0.09  3.71 0.11  0.18  9.58  0.58 0.55 38.05   2.35  2.21  9.15 0.18 0.11  0.189 0.088 0.078 
LMC-NGC2031 0.105 0.010 0.010 K  4.48 0.06 0.05 48.43 0.11 0.11 2.39 0.06 0.06  1.61 0.07 0.07  1.80 0.07  0.07  1.49  0.10 0.09  5.99   0.38  0.36  9.27 0.06 0.05 -0.137 0.063 0.068 
LMC-NGC2031 0.105 0.010 0.010 W  4.55 0.06 0.06 48.46 0.11 0.11 2.38 0.05 0.06  1.57 0.06 0.07  1.68 0.11  0.13  1.50  0.10 0.09  6.03   0.39  0.36  9.43 0.13 0.12 -0.194 0.051 0.068 
LMC-NGC2031 0.105 0.010 0.010 PL 4.72 0.11 0.10 48.48 0.11 0.11 2.38 0.05 0.06  1.58 0.06 0.07  1.12 0.37  0.54  1.50  0.10 0.09  6.05   0.39  0.37 10.04 0.52 0.38 -0.184 0.059 0.075 
LMC-NGC2100 0.033 0.007 0.007 K  4.36 0.11 0.11 48.49 0.22 0.23 3.09 0.16 0.15  2.79 0.22 0.21  2.27 0.11  0.11  1.91  0.27 0.24  7.93   1.16  1.01  8.77 0.06 0.06  0.724 0.162 0.151 
LMC-NGC2100 0.033 0.007 0.007 W  4.43 0.12 0.11 48.57 0.22 0.22 3.11 0.14 0.13  2.78 0.19 0.16  2.24 0.12  0.15  2.04  0.29 0.25  8.29   1.19  1.03  8.88 0.12 0.07  0.616 0.140 0.101 
LMC-NGC2100 0.033 0.007 0.007 PL 4.59 0.15 0.13 48.58 0.22 0.22 3.10 0.13 0.14  2.74 0.16 0.18  1.62 0.33  0.77  2.04  0.28 0.25  8.27   1.16  1.03  9.52 0.71 0.31  0.585 0.125 0.128 
LMC-NGC2121 0.861 0.114 0.114 K  5.00 0.08 0.07 49.39 0.15 0.15 2.35 0.08 0.07  1.10 0.08 0.08  2.12 0.08  0.08  2.42  0.22 0.20  8.72   0.77  0.71  9.62 0.06 0.05 -1.328 0.077 0.075 
LMC-NGC2121 0.861 0.114 0.114 W  5.01 0.08 0.08 49.41 0.15 0.15 2.35 0.08 0.07  1.10 0.08 0.08  2.12 0.08  0.08  2.44  0.22 0.20  8.77   0.78  0.71  9.64 0.08 0.05 -1.352 0.085 0.063 
