#
# Hierarchical structures in the Large and Small Magellanic clouds, Bonatto & Bica (2010)
#
# Table 2: # http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J%2FMNRAS%2F403%2F996
#
# Refs in Table 1
#
#MC   Name                                         r     Age1
#
LMC  BSDL1340,LOGLE388                            R11   9.00
LMC  LOGLE390                                     R11   9.00
LMC  BSDL1355,LOGLE391                            R11   9.00
LMC  NGC1939,SL414,ESO56SC108e,BRHT11b,LOGLE395   R41  10.09
LMC  OHSC12,KMHK830                               R55     --
LMC  SL433,LW197,KMHK843                          R55     --
LMC  LW195,ESO119SC61,KMHK821                     R6    9.32
LMC  LOGLE414                                     R38     --
LMC  IC2134,SL437,LW198,ESO33SC19,KMHK864         R41   9.00
LMC  LW201,KMHK865                                R55     --
LMC  HS268,LOGLE420                               R11   8.90
LMC  OHSC14,KMHK868                               R55     --
LMC  LOGLE423                                     R11   9.00
LMC  LOGLE426                                     R11   9.10
LMC  LOGLE428                                     R11   9.00
LMC  OHSC15,KMHK870                               R55     --
LMC  LW204,KMHK873                                R55     --
LMC  SL451,LW206,KMHK883                          R41   9.34
LMC  LOGLE430                                     R11   8.80
LMC  SL455,LW207,KMHK891                          R6    9.23
LMC  OHSC16,KMHK881                               R55     --
LMC  LOGLE433                                     R11   9.00
LMC  LOGLE434                                     R11   9.00
LMC  SL446A,KMHK858                               R41   9.34
LMC  NGC1950,SL450,ESO56SC116,LOGLE436            R50     --
LMC  KMHK854                                      R55     --
LMC  NGC1942,SL445,LW203,ESO85SC81,KMHK856        R5      --
LMC  SL446,KMHK869                                R5      --
LMC  SL448,LW205,ESO85SC82,KMHK859                R55     --
LMC  BSDL1608,LOGLE452                            R11   8.90
LMC  BSDL1614,LOGLE454                            R11   8.80
LMC  LW211,KMHK901                                R55     --
LMC  LW209,KMHK877                                R55     --
LMC  LOGLE465                                     R11   8.80
LMC  BSDL1707,LOGLE470                            R11   8.90
LMC  LOGLE471                                     R11   8.85
LMC  LOGLE474                                     R11   8.90
LMC  SL473,KMHK904                                R38     --
LMC  BSDL1768,LOGLE482                            R11   8.90
LMC  BSDL1784,LOGLE488                            R11   8.90
LMC  NGC1987,SL486,ESO56SC131,KMHK926             R28   9.03
LMC  SL490,LW217,KMHK939                          R5      --
LMC  BSDL1805,LOGLE493                            R11   9.20
LMC  HS320,LOGLE508                               R11   8.90
LMC  H14,SL506,LW220,KMHK967                      R21   9.35
LMC  SL504A,LOGLE511                              R11   9.00
LMC  NGC1978,SL501,ESO85SC90,KMHK944              R28   9.30
LMC  HS323,LOGLE515                               R11   9.15
LMC  SL505,KMHK960                                R41   8.95
LMC  LOGLE513                                     R11   8.95
LMC  OHSC17,KMHK946                               R55     --
LMC  SL509,LW221,ESO85SC91,KMHK957                R41   9.08
LMC  LW224                                        R41   8.85
LMC  LOGLE530                                     R11   9.00
LMC  LOGLE531                                     R11   9.10
LMC  BSDL2010,LOGLE535                            R11   9.20
LMC  LOGLE534                                     R11   8.90
LMC  SL515,LW223,ESO85SC92,KMHK965                R41   9.20
LMC  NGC2005,SL518,ESO56SC138,LOGLE538            R9   10.20
LMC  SL525,LW225,KMHK973                          R55     --
LMC  LW231,KMHK1031                               R55     --
LMC  NGC1997,SL520,LW226,ESO86SC1,KMHK978         R41   9.41
LMC  LOGLE545                                     R11   8.90
LMC  SL528,LOGLE546                               R11   8.90
LMC  LW234,KMHK1042                               R55     --
LMC  SL529,LW229,ESO86SC5,KMHK992                 R5      --
LMC  OHSC20                                       R55     --
LMC  LW230                                        R55     --
LMC  HS340,LOGLE558                               R11   8.80
LMC  SL540,LW232,KMHK1003                         R55     --
LMC  SL555,LW236,KMHK1046                         R41   9.28
LMC  KMHK1023                                     R38     --
LMC  NGC2019,SL554,ESO56SC145,LOGLE565            R9   10.20
LMC  SL549,KMHK1013                               R41   9.23
LMC  KMHK1045                                     R38     --
LMC  H4,SL556,LW237,ESO86SC9,KMHK1034             R5      --
LMC  BSDL2214                                     R55     --
LMC  BSDL2271,LOGLE575                            R11   9.00
LMC  BSDL2284,LOGLE576                            R11   8.90
LMC  OHSC21,KMHK1070                              R55     --
LMC  LW238,KMHK1044                               R55     --
LMC  BSDL2286,LOGLE580                            R11   8.90
LMC  SL576,LW239,KMHK1092                         R55     --
LMC  H3,SL569,KMHK1065                            R5      --
LMC  IC2140,SL581,LW241,ESO33SC24,KMHK1106        R5      --
LMC  BSDL2260                                     R55     --
LMC  BSDL2333,LOGLE590                            R11   9.05
LMC  BSDL2356,LOGLE592                            R11   8.90
LMC  SL573,LW240,ESO86SC11,KMHK1066               R5      --
LMC  LOGLE597                                     R11   8.90
LMC  BSDL2405                                     R38     --
LMC  LOGLE606                                     R11   9.00
