# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Wed Jul 13 19:43:23 CEST 2016
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.03000		Age = 	3.162e+06 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	C/O	M_hec	period	pmode	logMdot	int_IMF
	6.50	6.3960366249	6.3960	3.1019	4.2790	4.2040	-2.985	-2.215	-1.417	-1.221	-1.131	-1.009	-0.733	-0.649	-0.579	0.4787	0.0000	0.1	1	-13.187	3.3293414116
	6.50	7.0000000000	7.0000	3.2452	4.3024	4.1933	-3.343	-2.488	-1.649	-1.443	-1.348	-1.218	-0.929	-0.839	-0.765	0.4787	0.0000	0.1	1	-13.148	3.3306136131
	6.50	9.0000000000	9.0000	3.6274	4.3714	4.1963	-4.298	-3.183	-2.232	-2.003	-1.894	-1.746	-1.415	-1.310	-1.223	0.4787	0.0000	0.1	1	-13.038	3.3331298828
	6.50	12.0000000000	12.0000	4.0538	4.4334	4.1431	-5.364	-4.018	-2.981	-2.729	-2.607	-2.443	-2.080	-1.963	-1.864	0.4787	0.0000	0.1	1	-12.913	3.3347461224
	6.50	15.0000000000	14.9661	4.3732	4.4759	4.0894	-6.163	-4.675	-3.586	-3.317	-3.184	-3.010	-2.623	-2.498	-2.392	0.4787	0.0000	0.1	1	-12.818	3.3354415894
	6.50	20.0000000000	19.9159	4.7646	4.5201	3.9991	-7.142	-5.486	-4.353	-4.069	-3.933	-3.755	-3.356	-3.226	-3.115	0.4787	0.0000	0.2	1	-12.693	3.3359301090
	6.50	23.7631626129	23.4745	4.9680	4.5382	3.9393	-7.650	-5.899	-4.755	-4.466	-4.331	-4.153	-3.753	-3.623	-3.511	0.4787	0.0000	0.2	1	-12.622	3.3360917568
	6.50	30.0000000000	29.0572	5.2461	4.5524	3.8106	-8.345	-6.514	-5.362	-5.070	-4.935	-4.758	-4.357	-4.227	-4.116	0.4787	0.0000	0.3	1	-12.529	3.3362209797
	6.50	31.4709739685	30.3077	5.2946	4.5532	3.7836	-8.467	-6.630	-5.478	-5.186	-5.050	-4.873	-4.473	-4.343	-4.231	0.4787	0.0000	0.3	1	-12.511	3.3362388611
	6.50	40.0000000000	36.7811	5.5371	4.5339	3.5480	-9.073	-7.346	-6.204	-5.916	-5.781	-5.603	-5.203	-5.072	-4.961	0.4787	0.0000	0.4	1	-12.427	3.3362998962
	6.50	40.5855216980	37.2122	5.5503	4.5320	3.5325	-9.106	-7.389	-6.248	-5.961	-5.826	-5.648	-5.248	-5.117	-5.006	0.4787	0.0000	0.4	1	-12.422	3.3363022804
	6.50	47.3456802368	41.6780	5.6902	4.4831	3.2460	-9.456	-8.004	-6.882	-6.613	-6.487	-6.318	-5.930	-5.804	-5.697	0.4787	0.0000	0.7	1	-12.373	3.3363234997
	6.50	53.0975418091	44.3270	5.7923	4.3916	2.8049	-9.711	-8.678	-7.610	-7.381	-7.279	-7.134	-6.786	-6.679	-6.586	0.4787	0.0000	1.6	1	-12.346	3.3363339901
	6.50	55.6394538879	45.1034	5.8323	4.3405	2.5679	-9.811	-8.951	-7.963	-7.748	-7.655	-7.521	-7.200	-7.102	-7.017	0.4787	0.0000	0.5	0	-12.338	3.3363373280
	6.50	56.2918701172	44.4475	5.8368	4.2987	2.3900	-9.822	-9.103	-8.186	-7.983	-7.897	-7.773	-7.476	-7.387	-7.310	0.4787	0.0000	0.8	0	-12.345	3.3363382816
	6.50	60.0000000000	43.3756	5.8887	4.3762	2.6375	-9.952	-8.971	-7.926	-7.700	-7.600	-7.459	-7.119	-7.015	-6.925	0.4787	0.0000	2.2	1	-12.355	3.3363418579
	6.50	62.9020614624	42.4783	5.9207	4.4093	2.7287	-10.032	-8.920	-7.838	-7.602	-7.495	-7.345	-6.989	-6.877	-6.782	0.4787	0.0000	1.8	1	-12.365	3.3363442421
	6.50	69.8469696045	42.6466	5.9899	4.4673	2.8932	-10.205	-8.827	-7.715	-7.451	-7.328	-7.161	-6.779	-6.656	-6.551	0.4787	0.0000	1.4	1	-12.363	3.3363482952
