#ID x y mag e_mag col1 e_col1 memb_prob sel
4692     431.985000 4679.860000  21.3540   0.0610   0.4980   0.0650   0.1870      0
4683     360.239000 4678.961000  20.2920   0.0150   0.4890   0.0240   0.1850      0
5104     435.890000 4718.078000  18.5280   0.0060  -0.0790   0.0180   0.1830      0
5023     383.375000 4711.243000  21.6460   0.0540   0.8580   0.0690   0.1800      0
4987     385.197000 4707.431000  20.5550   0.0180   0.1360   0.0280   0.1780      0
4383     372.701000 4650.645000  20.6320   0.0210   0.5850   0.0490   0.1780      0
4852     352.883000 4694.605000  21.3550   0.0240   1.9260   0.1480   0.1780      0
4566     411.657000 4667.612000  21.7120   0.0390   0.8640   0.0670   0.1780      0
5032     388.640000 4712.066000  21.1360   0.0250   0.7110   0.0390   0.1750      0
4606     449.679000 4672.057000  20.5260   0.0150   0.0600   0.0180   0.1740      0
4628     459.272000 4674.000000  20.9400   0.0240   0.1220   0.0380   0.1740      0
5026     374.685000 4711.424000  21.6690   0.0370   0.8300   0.0530   0.1740      0
4163     430.569000 4631.088000  22.9120   0.1010   0.2590   0.1260   0.1740      0
5234     381.240000 4730.318000  18.6510   0.0070   1.2130   0.0110   0.1730      0
4964     381.530000 4705.533000  21.3490   0.0310   0.3530   0.0390   0.1730      0
4626     392.756000 4674.016000  22.0700   0.0730   1.0990   0.1110   0.1730      0
4611     359.598000 4672.611000  19.1470   0.0070   1.6250   0.0140   0.1720      0
4842     423.109000 4693.965000  20.1760   0.0110   0.2960   0.0180   0.1710      0
4398     394.080000 4652.114000  19.7130   0.0130   1.4640   0.0310   0.1710      0
5003     447.665000 4709.979000  20.6800   0.0210   0.0210   0.0330   0.1710      0
4209     410.693000 4635.302000  20.0430   0.0270   0.1670   0.0590   0.1710      0
4624     431.734000 4673.857000  21.3900   0.0330   1.1310   0.0540   0.1710      0
4049     413.553000 4621.374000  21.3300   0.0360   0.3990   0.0580   0.1710      0
4919     401.906000 4701.420000  21.2730   0.0210   0.5610   0.0280   0.1700      0
4224     380.196000 4636.340000  20.2820   0.0320  -0.0000   0.0340   0.1680      0
4678     417.521000 4678.489000  18.7670   0.0050   1.3130   0.0100   0.1620      0
4588     417.296000 4669.550000  20.9750   0.0210   0.4670   0.0280   0.1610      0
4382     420.532000 4650.585000  20.7970   0.0300   0.4640   0.0370   0.1610      0
4759     462.357000 4685.229000  21.3150   0.0310   0.4960   0.0850   0.1600      0
4469     360.162000 4657.747000  18.9520   0.0110   1.6720   0.0350   0.1590      0
4738     394.074000 4684.138000  20.8910   0.0200   0.1880   0.0260   0.1590      0
4486     362.346000 4660.272000  20.2670   0.0340  -0.0000   0.0380   0.1570      0
4679     401.265000 4678.502000  21.1420   0.0220   1.1760   0.0630   0.1560      0
4752     379.793000 4684.895000  21.6470   0.0640   0.4890   0.0670   0.1560      0
4942     427.478000 4703.722000  21.5910   0.0350   0.5540   0.0520   0.1550      0
4164     403.762000 4631.166000  19.9230   0.0070   0.2440   0.0170   0.1540      0
4496     406.136000 4661.271000  21.2720   0.0280   0.4470   0.0340   0.1540      0
4993     429.839000 4708.067000  20.4610   0.0160   0.2940   0.0380   0.1510      0
5093     384.084000 4716.603000  20.7240   0.0180   0.7780   0.0270   0.1510      0
