#
# centeralpha, centerdelta: coords of the MCEV region.
# ra_deg, dec_deg: coords of the cluster.
#
# centeralpha   centerdelta   ev_i   sig_ev_i   ra_deg         dec_deg        
  78.2219       -69.1706      0.11   0.119      78.104166667   -68.771944444  
  78.4713       -69.1324      0.1    0.123      78.104166667   -68.771944444  
  77.9369       -69.3233      0.09   0.1015     78.104166667   -68.771944444  
  77.7944       -69.3233      0.08   0.1045     78.104166667   -68.771944444  
  77.6519       -69.3233      0.08   0.113      78.104166667   -68.771944444  
  78.0794       -69.1706      0.09   0.114      78.104166667   -68.771944444  
  77.9369       -69.1706      0.08   0.118      78.104166667   -68.771944444  
  77.7944       -69.1706      0.09   0.1295     78.104166667   -68.771944444  
  77.6519       -69.1706      0.11   0.1255     78.104166667   -68.771944444  
  77.7944       -69.0179      0.08   0.1275     78.104166667   -68.771944444  
  77.6519       -69.0179      0.07   0.1305     78.104166667   -68.771944444  
  77.159        -69.1726      0.07   0.0935     78.104166667   -68.771944444  
  77.0161       -69.1726      0.08   0.104      78.104166667   -68.771944444  
  77.5095       -69.1706      0.1    0.137      78.104166667   -68.771944444  
  77.367        -69.1706      0.09   0.136      78.104166667   -68.771944444  
  77.3019       -69.1726      0.07   0.1105     78.104166667   -68.771944444  
  77.5095       -69.0179      0.07   0.123      78.104166667   -68.771944444  
  77.367        -69.0179      0.07   0.105      78.104166667   -68.771944444  
  77.3019       -69.0195      0.08   0.1105     78.104166667   -68.771944444  
  77.159        -69.0195      0.08   0.13       78.104166667   -68.771944444  
  77.0161       -69.0195      0.11   0.129      78.104166667   -68.771944444  
  76.8731       -69.0195      0.11   0.1235     78.104166667   -68.771944444  
  76.7302       -69.0195      0.09   0.108      78.104166667   -68.771944444  
  79.304        -69.0584      0.05   0.0955     78.104166667   -68.771944444  
  79.2325       -69.0584      0.04   0.093      78.104166667   -68.771944444  
  79.1609       -69.0584      0.07   0.094      78.104166667   -68.771944444  
  79.3755       -68.9816      0.09   0.1235     78.104166667   -68.771944444  
  79.304        -68.9816      0.07   0.1055     78.104166667   -68.771944444  
  79.1609       -68.9816      0.08   0.0965     78.104166667   -68.771944444  
  79.2325       -68.9816      0.08   0.102      78.104166667   -68.771944444  
  79.0894       -69.0584      0.09   0.1035     78.104166667   -68.771944444  
  79.0179       -69.0584      0.05   0.1135     78.104166667   -68.771944444  
  78.97         -69.0561      0.06   0.1055     78.104166667   -68.771944444  
  78.9464       -69.0584      0.06   0.104      78.104166667   -68.771944444  
  78.8988       -69.0561      0.06   0.1135     78.104166667   -68.771944444  
  78.8275       -69.0561      0.06   0.1105     78.104166667   -68.771944444  
  79.0894       -68.9816      0.06   0.1005     78.104166667   -68.771944444  
  79.0179       -68.9816      0.04   0.0995     78.104166667   -68.771944444  
  78.97         -68.9797      0.04   0.1065     78.104166667   -68.771944444  
  78.9464       -68.9816      0.05   0.112      78.104166667   -68.771944444  
  78.8988       -68.9797      0.06   0.12       78.104166667   -68.771944444  
  79.425        -68.8851      0.05   0.1045     78.104166667   -68.771944444  
  79.2858       -68.8851      0.07   0.1135     78.104166667   -68.771944444  
  79.425        -68.7312      0.11   0.102      78.104166667   -68.771944444  
  79.1467       -68.8851      0.08   0.103      78.104166667   -68.771944444  
  79.0075       -68.8851      0.06   0.1005     78.104166667   -68.771944444  
  78.9605       -68.8876      0.06   0.1035     78.104166667   -68.771944444  
  79.2858       -68.7312      0.13   0.1035     78.104166667   -68.771944444  
  79.1467       -68.7312      0.12   0.103      78.104166667   -68.771944444  
  78.7563       -69.0561      0.06   0.1085     78.104166667   -68.771944444  
  78.6851       -69.0561      0.06   0.101      78.104166667   -68.771944444  
  78.7563       -68.9797      0.08   0.127      78.104166667   -68.771944444  
  78.6138       -69.0561      0.07   0.1185     78.104166667   -68.771944444  
  78.5426       -69.0561      0.08   0.1115     78.104166667   -68.771944444  
  78.6851       -68.9797      0.08   0.113      78.104166667   -68.771944444  
  78.6138       -68.9797      0.1    0.1165     78.104166667   -68.771944444  
  78.8275       -68.9797      0.06   0.1105     78.104166667   -68.771944444  
  78.8217       -68.8876      0.07   0.1105     78.104166667   -68.771944444  
  78.6829       -68.8876      0.07   0.1105     78.104166667   -68.771944444  
  78.4713       -69.0561      0.09   0.1075     78.104166667   -68.771944444  
  78.5426       -68.9797      0.12   0.121      78.104166667   -68.771944444  
  78.4713       -68.9797      0.11   0.11       78.104166667   -68.771944444  
  78.3644       -69.0179      0.11   0.105      78.104166667   -68.771944444  
  78.5441       -68.8876      0.09   0.1005     78.104166667   -68.771944444  
  78.4053       -68.8876      0.07   0.103      78.104166667   -68.771944444  
  79.0075       -68.7312      0.11   0.1025     78.104166667   -68.771944444  
  78.9605       -68.7346      0.1    0.101      78.104166667   -68.771944444  
  78.8217       -68.7346      0.09   0.1        78.104166667   -68.771944444  
  78.6829       -68.7346      0.07   0.0935     78.104166667   -68.771944444  
  78.5441       -68.7346      0.07   0.102      78.104166667   -68.771944444  
  79.425        -68.5773      0.1    0.0915     78.104166667   -68.771944444  
  79.2858       -68.5773      0.1    0.0855     78.104166667   -68.771944444  
  79.1467       -68.5773      0.09   0.0815     78.104166667   -68.771944444  
  79.2858       -68.4234      0.09   0.0895     78.104166667   -68.771944444  
  79.0075       -68.5773      0.08   0.084      78.104166667   -68.771944444  
  78.9605       -68.5816      0.07   0.087      78.104166667   -68.771944444  
  78.8217       -68.5816      0.07   0.083      78.104166667   -68.771944444  
  78.6829       -68.5816      0.08   0.0835     78.104166667   -68.771944444  
  78.5441       -68.5816      0.07   0.08       78.104166667   -68.771944444  
  79.1467       -68.4234      0.1    0.0855     78.104166667   -68.771944444  
  79.0075       -68.4234      0.09   0.087      78.104166667   -68.771944444  
  78.9605       -68.4286      0.1    0.092      78.104166667   -68.771944444  
  78.8217       -68.4286      0.09   0.0875     78.104166667   -68.771944444  
  78.6829       -68.4286      0.1    0.0985     78.104166667   -68.771944444  
  78.8356       -68.2971      0.13   0.107      78.104166667   -68.771944444  
  78.7001       -68.2971      0.11   0.1015     78.104166667   -68.771944444  
  78.9711       -68.2971      0.15   0.122      78.104166667   -68.771944444  
  78.2219       -69.0179      0.11   0.1095     78.104166667   -68.771944444  
  78.0794       -69.0179      0.09   0.1255     78.104166667   -68.771944444  
  78.2665       -68.8876      0.06   0.103      78.104166667   -68.771944444  
  78.1277       -68.8876      0.06   0.1015     78.104166667   -68.771944444  
  77.9369       -69.0179      0.07   0.134      78.104166667   -68.771944444  
  77.9889       -68.8876      0.06   0.1135     78.104166667   -68.771944444  
  77.8501       -68.8876      0.06   0.121      78.104166667   -68.771944444  
  78.4053       -68.7346      0.06   0.098      78.104166667   -68.771944444  
  78.2665       -68.7346      0.06   0.0925     78.104166667   -68.771944444  
  78.1277       -68.7346      0.06   0.1045     78.104166667   -68.771944444  
  77.9889       -68.7346      0.07   0.102      78.104166667   -68.771944444  
  77.8501       -68.7346      0.06   0.098      78.104166667   -68.771944444  
  77.7114       -68.8876      0.06   0.125      78.104166667   -68.771944444  
  77.5726       -68.8876      0.05   0.125      78.104166667   -68.771944444  
  77.4338       -68.8876      0.05   0.1355     78.104166667   -68.771944444  
  77.3645       -68.8867      0.07   0.14       78.104166667   -68.771944444  
  77.2253       -68.8867      0.09   0.1255     78.104166667   -68.771944444  
  77.7114       -68.7346      0.08   0.11       78.104166667   -68.771944444  
  77.5726       -68.7346      0.08   0.114      78.104166667   -68.771944444  
  77.4338       -68.7346      0.08   0.1255     78.104166667   -68.771944444  
  77.3645       -68.7329      0.1    0.1295     78.104166667   -68.771944444  
  78.4053       -68.5816      0.06   0.0835     78.104166667   -68.771944444  
  78.2665       -68.5816      0.05   0.086      78.104166667   -68.771944444  
  78.1277       -68.5816      0.07   0.1005     78.104166667   -68.771944444  
  77.9889       -68.5816      0.09   0.1085     78.104166667   -68.771944444  
  78.5441       -68.4286      0.08   0.0835     78.104166667   -68.771944444  
  78.4053       -68.4286      0.07   0.0805     78.104166667   -68.771944444  
  78.5646       -68.2971      0.1    0.0945     78.104166667   -68.771944444  
  78.4291       -68.2971      0.09   0.0915     78.104166667   -68.771944444  
  78.2665       -68.4286      0.08   0.0865     78.104166667   -68.771944444  
  78.1277       -68.4286      0.09   0.088      78.104166667   -68.771944444  
  78.2935       -68.2971      0.1    0.0875     78.104166667   -68.771944444  
  78.158        -68.2971      0.11   0.0975     78.104166667   -68.771944444  
  77.8501       -68.5816      0.09   0.1075     78.104166667   -68.771944444  
  77.7114       -68.5816      0.1    0.097      78.104166667   -68.771944444  
  77.9889       -68.4286      0.09   0.094      78.104166667   -68.771944444  
  77.8501       -68.4286      0.08   0.1        78.104166667   -68.771944444  
  77.5726       -68.5816      0.1    0.097      78.104166667   -68.771944444  
  77.4338       -68.5816      0.1    0.102      78.104166667   -68.771944444  
