#\Rows = 210
#\Cols = 17
#\Coordinate system = equ
#\Equinox = J2000
#\Coordinate format = degree
#\Cutout size unit = degree
#\E_B_V is E(B-V), unit = mag
#\AV is A(V), unit = mag
#\Statistics radius = 5.0 arcmin
#\stdev is the standard deviation of the quantity
#\A(V)/E(B-V) = 3.1 is assumed
#\SandF: Schlafly and Finkbeiner 2011 (ApJ 737, 103)
#\SFD: Schlegel et al. 1998 (ApJ 500, 525)
#|ra             |dec            |cutout_size     |E_B_V_SandF       |mean_E_B_V_SandF  |stdev_E_B_V_SandF |max_E_B_V_SandF   |min_E_B_V_SandF   |AV_SandF          |E_B_V_SFD         |mean_E_B_V_SFD    |stdev_E_B_V_SFD   |max_E_B_V_SFD     |min_E_B_V_SFD     |AV_SFD
#|double         |double         |float           |float             |float             |float             |float             |float             |float             |float             |float             |float             |float             |float             |float
#|deg            |deg            |deg             |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags
76.125000       -68.349720      2                0.3219             0.3408             0.0796             0.4891             0.2165             0.9980             0.3743             0.3963             0.0926             0.5688             0.2518             1.1605         
76.604170       -68.375000      2                0.4990             0.4926             0.0507             0.6042             0.3977             1.5468             0.5802             0.5728             0.0589             0.7025             0.4624             1.7986         
77.220830       -68.083610      2                0.2896             0.2952             0.0327             0.3514             0.2341             0.8977             0.3367             0.3432             0.0380             0.4086             0.2722             1.0438         
77.625000       -68.400560      2                0.5532             0.5358             0.0680             0.7178             0.4348             1.7150             0.6433             0.6230             0.0791             0.8347             0.5056             1.9942         
77.720830       -67.471110      2                0.2006             0.2223             0.0430             0.3004             0.1581             0.6219             0.2333             0.2584             0.0500             0.3493             0.1839             0.7231         
77.733330       -67.626670      2                0.2488             0.2667             0.0497             0.3569             0.1787             0.7714             0.2893             0.3102             0.0577             0.4150             0.2078             0.8969         
77.787500       -67.682500      2                0.3287             0.3177             0.0427             0.3732             0.2258             1.0190             0.3822             0.3694             0.0496             0.4340             0.2625             1.1849         
77.920830       -67.565560      2                0.2977             0.3207             0.0566             0.4467             0.2098             0.9229             0.3462             0.3729             0.0659             0.5194             0.2440             1.0732         
78.812500       -68.882500      2                0.6026             0.6033             0.0366             0.6916             0.5350             1.8682             0.7007             0.7015             0.0425             0.8042             0.6221             2.1723         
78.854170       -68.681110      2                0.5398             0.5237             0.1151             0.7432             0.3352             1.6734             0.6277             0.6089             0.1338             0.8642             0.3898             1.9459         
79.112500       -69.080280      2                0.6486             0.7067             0.1082             0.9568             0.5407             2.0105             0.7541             0.8217             0.1259             1.1126             0.6287             2.3378         
79.233330       -68.682780      2                0.6331             0.5952             0.1292             0.7931             0.3689             1.9625             0.7361             0.6920             0.1502             0.9222             0.4289             2.2820         
82.333330       -70.579440      2                0.1658             0.1737             0.0301             0.2445             0.1369             0.5139             0.1927             0.2020             0.0350             0.2843             0.1592             0.5975         
83.095830       -67.996940      2                0.4046             0.4655             0.0946             0.6657             0.3166             1.2542             0.4704             0.5412             0.1100             0.7740             0.3681             1.4583         
83.254170       -67.849170      2                0.3814             0.5123             0.2206             1.1592             0.3149             1.1822             0.4434             0.5957             0.2565             1.3479             0.3661             1.3746         
83.662500       -68.305560      2                0.7075             0.6901             0.1467             1.0143             0.4288             2.1932             0.8226             0.8024             0.1706             1.1794             0.4986             2.5502         
85.454170       -68.920830      2                2.1510             2.0544             0.3154             2.4926             1.3063             6.6680             2.5011             2.3889             0.3667             2.8984             1.5190             7.7535         
86.362500       -69.345280      2                1.2877             1.3088             0.1677             1.8289             1.0373             3.9918             1.4973             1.5219             0.1950             2.1266             1.2062             4.6416         
86.712500       -69.419720      2                1.3191             1.2425             0.0624             1.3191             1.0101             4.0891             1.5338             1.4448             0.0726             1.5338             1.1745             4.7548         
95.391670       -72.790000      2                0.0675             0.0682             0.0010             0.0709             0.0669             0.2092             0.0785             0.0793             0.0011             0.0824             0.0778             0.2432         
10.933330       -72.976670      2                0.1925             0.1916             0.0371             0.2750             0.1251             0.5969             0.2239             0.2228             0.0431             0.3198             0.1455             0.6940         
11.958330       -73.478330      2                0.3376             0.3283             0.0713             0.4905             0.2125             1.0465             0.3925             0.3818             0.0829             0.5703             0.2471             1.2168         
14.341670       -71.891390      2                0.1680             0.1704             0.0263             0.2277             0.1283             0.5209             0.1954             0.1981             0.0306             0.2647             0.1492             0.6057         
18.875000       -71.178890      2                0.0407             0.0391             0.0022             0.0423             0.0342             0.1261             0.0473             0.0455             0.0025             0.0492             0.0398             0.1466         
11.216670       -73.001940      2                0.2621             0.2754             0.0953             0.5222             0.1457             0.8124             0.3047             0.3202             0.1109             0.6073             0.1694             0.9446         
11.358330       -73.481390      2                0.2844             0.2990             0.1008             0.5439             0.1670             0.8818             0.3308             0.3477             0.1172             0.6324             0.1941             1.0253         
11.683330       -72.063060      2                0.0528             0.0545             0.0050             0.0635             0.0460             0.1635             0.0613             0.0633             0.0058             0.0738             0.0535             0.1902         
12.137500       -73.306940      2                0.7658             0.7100             0.2054             1.0889             0.4222             2.3739             0.8904             0.8255             0.2388             1.2662             0.4910             2.7603         
14.445830       -74.326670      2                0.0389             0.0393             0.0010             0.0412             0.0375             0.1207             0.0453             0.0458             0.0011             0.0479             0.0436             0.1403         
14.450000       -73.421670      2                0.0958             0.0955             0.0079             0.1102             0.0812             0.2971             0.1115             0.1111             0.0092             0.1281             0.0944             0.3455         
14.458330       -72.943610      2                0.1893             0.1949             0.0267             0.2629             0.1544             0.5868             0.2201             0.2266             0.0311             0.3057             0.1796             0.6823         
15.595830       -72.003060      2                0.3940             0.4339             0.1104             0.6321             0.2497             1.2213             0.4581             0.5045             0.1283             0.7349             0.2904             1.4201         
16.833330       -73.377500      2                0.0620             0.0647             0.0050             0.0744             0.0566             0.1923             0.0721             0.0752             0.0058             0.0865             0.0658             0.2236         
17.079170       -72.884170      2                0.0850             0.0887             0.0088             0.1073             0.0745             0.2635             0.0988             0.1031             0.0102             0.1248             0.0867             0.3064         
18.258330       -70.962780      2                0.0292             0.0298             0.0008             0.0317             0.0285             0.0904             0.0339             0.0346             0.0009             0.0368             0.0331             0.1051         
13.887500       -74.063610      2                0.0461             0.0468             0.0032             0.0533             0.0408             0.1428             0.0535             0.0545             0.0037             0.0620             0.0474             0.1660         
14.425000       -74.472780      2                0.0422             0.0424             0.0007             0.0438             0.0410             0.1309             0.0491             0.0493             0.0008             0.0509             0.0477             0.1522         
15.104170       -71.294720      2                0.0614             0.0647             0.0119             0.0947             0.0476             0.1904             0.0714             0.0753             0.0139             0.1102             0.0553             0.2214         
15.145830       -71.460830      2                0.1328             0.1264             0.0211             0.1701             0.0944             0.4118             0.1545             0.1470             0.0245             0.1978             0.1098             0.4788         
15.283330       -74.073610      2                0.0375             0.0378             0.0010             0.0399             0.0362             0.1162             0.0436             0.0439             0.0011             0.0464             0.0421             0.1351         
17.225000       -73.241670      2                0.1087             0.1073             0.0263             0.1557             0.0642             0.3371             0.1264             0.1248             0.0306             0.1810             0.0746             0.3920         
17.554170       -73.209170      2                0.1075             0.1089             0.0204             0.1557             0.0774             0.3331             0.1250             0.1267             0.0237             0.1810             0.0900             0.3874         
18.212500       -73.119440      2                0.0988             0.1204             0.0420             0.2548             0.0699             0.3063             0.1149             0.1400             0.0489             0.2963             0.0812             0.3562         
357.245830      -72.945280      2                0.0296             0.0288             0.0011             0.0304             0.0265             0.0917             0.0344             0.0335             0.0013             0.0353             0.0308             0.1066         
