#ID x   y   F555W   E_555   F555-F814   E_555-814
12996   1794.57 3043.21 18.858  0.008   0.163   0.018
13883   1901.28 3157.59 18.859  0.019   1.259   0.029
7294    1438.23 1973.76 18.863  0.02    1.147   0.034
14783   2009.23 3283.94 18.864  0.021   1.295   0.03
10861   2998.85 2742.38 18.875  0.013   1.288   0.021
18807   1675.49 4057.07 18.905  0.02    1.333   0.033
336 3140.61 35.79   18.915  0.016   0.102   0.027
16447   3905.9  3538.43 18.918  0.01    1.381   0.017
12125   3462.36 2923.9  18.921  0.007   0.16    0.018
17469   2375.79 3733.47 18.921  0.012   1.36    0.021
13949   2095.85 3166.45 18.922  0.032   1.291   0.048
10655   2142.88 2712.16 18.924  0.01    1.331   0.02
16062   1757.54 3472.78 18.926  0.013   1.323   0.022
5788    2910.4  1566.65 18.928  0.011   1.323   0.022
4585    2326.91 1242.98 18.929  0.007   0.133   0.051
10938   1985.2  2753.85 18.929  0.011   1.301   0.025
10806   1379.68 2734.81 18.936  0.011   0.047   0.022
3320    2295.58 886.31  18.939  0.01    0.054   0.021
5543    3461.28 1498.46 18.941  0.01    0.795   0.019
17955   2195.51 3835.28 18.942  0.01    1.409   0.017
9085    597.12  2420.25 18.943  0.011   0.125   0.02
11864   1893.38 2887.89 18.953  0.018   1.293   0.03
17321   2570.49 3703.01 18.961  0.01    1.392   0.018
10002   2411.83 2599.92 18.965  0.007   0.999   0.016
15319   1704.17 3358.05 18.965  0.011   1.331   0.021
14020   2589.99 3177.02 18.97   0.016   1.251   0.026
12880   2539.61 3028.46 18.971  0.009   1.052   0.017
9742    3431.68 2556.25 18.974  0.012   1.279   0.022
7931    2368.78 2152.38 18.982  0.013   1.297   0.024
7106    1471.9  1921.68 18.984  0.006   0.028   0.018
15456   2817.83 3380.28 18.986  0.012   1.336   0.021
8080    3350.79 2189.81 18.988  0.021   1.324   0.036
17906   2520.46 3824.67 19.005  0.007   0.288   0.015
143 1561.53 -38.7   19.015  0.01    0.087   0.022
6380    2555.97 1731.32 19.015  0.013   1.29    0.027
12458   3673.04 2970.42 19.023  0.009   0.145   0.019
13190   2036.18 3066.08 19.04   0.016   1.304   0.03
10644   2331.02 2709.82 19.043  0.008   0.171   0.021
13222   2537.63 3071.08 19.044  0.018   1.14    0.034
9698    2602.8  2547.51 19.053  0.011   0.871   0.021
8944    2044.56 2389.14 19.056  0.01    0.155   0.02
3251    982.79  861.28  19.06   0.012   1.211   0.022
14088   3056.29 3188.08 19.06   0.007   0.116   0.017
253 2928.84 8.66    19.063  0.02    1.3 0.039
9481    2012.07 2503.05 19.063  0.012   0.968   0.019
14471   2093.34 3240.59 19.063  0.015   1.317   0.026
17646   2540.11 3765.91 19.064  0.011   1.347   0.019
911 2091.75 201.57  19.065  0.012   0.238   0.021
11918   1778.59 2895.69 19.067  0.019   1.313   0.033
12082   2297.86 2917.37 19.067  0.019   1.248   0.033
16204   2849.7  3495.51 19.07   0.01    1.328   0.018
12934   1994.13 3034.58 19.073  0.014   1.084   0.026
12560   2070.06 2985.67 19.075  0.013   1.293   0.023
16147   3236.11 3487.42 19.075  0.015   1.193   0.023
16541   1326.15 3553.88 19.085  0.011   1.199   0.021
10247   1587.81 2640.03 19.086  0.012   1.103   0.019
5479    2597.15 1477.25 19.089  0.012   1.241   0.02
6997    780.99  1890.92 19.09   0.019   0.033   0.033
2317    3259.34 597.46  19.098  0.013   1.287   0.021
6157    638.43  1664.6  19.099  0.01    0.033   0.021
7946    3473.12 2156.82 19.104  0.017   1.246   0.029
1926    2685.05 488.47  19.105  0.009   0.096   0.02
920 3196.25 202.58  19.108  0.011   1.109   0.018
9314    1633.11 2469.44 19.11   0.014   1.261   0.023
18019   196.17  3849.35 19.11   0.014   0.141   0.027
6567    2179.03 1780.25 19.111  0.013   0.093   0.026
11660   2611.37 2860.27 19.111  0.012   1.239   0.021
18076   3694.4  3863.99 19.111  0.016   1.128   0.025
6125    2516.25 1657.03 19.113  0.018   1.074   0.028
934 4048.41 207.27  19.116  0.009   0.153   0.021
12389   2412.87 2961.58 19.116  0.038   0.164   0.079
8042    1568.66 2179.47 19.122  0.014   1.178   0.023
9324    2008.33 2471.02 19.13   0.012   1.102   0.021
14408   792.15  3232.1  19.131  0.013   0.174   0.025
3853    816.44  1035.4  19.132  0.012   1.168   0.02
3448    1737.09 924.34  19.134  0.014   1.053   0.022
14735   2263.79 3277.32 19.136  0.013   1.297   0.021
3101    128.85  821.39  19.14   0.013   1.392   0.024
3549    2640.5  954.56  19.142  0.009   1.166   0.015
7087    2247.48 1916.81 19.144  0.011   0.013   0.022
6738    3589.11 1826.72 19.154  0.014   1.265   0.023
5484    3286.09 1479.38 19.156  0.01    0.077   0.024
11262   2627.06 2801.5  19.156  0.013   1.254   0.027
7825    1454.12 2124.46 19.159  0.011   1.234   0.024
13880   1633.03 3157.43 19.169  0.015   1.331   0.025
11253   3335.44 2799.52 19.173  0.01    0.126   0.021
2545    760 664.68  19.175  0.013   1.32    0.022
9360    2075.8  2479.53 19.179  0.01    1.068   0.017
7435    1774.61 2015.93 19.185  0.025   1.226   0.037
1565    116.58  385.77  19.198  0.015   1.278   0.027
14217   1893.29 3205.96 19.2    0.012   1.244   0.021
8049    1069.13 2182.08 19.203  0.012   0.149   0.022
4133    2652.03 1115.03 19.205  0.008   0.144   0.017
19050   3876.71 4198.86 19.208  0.022   1.297   0.043
15188   2866.32 3340.93 19.219  0.008   0.193   0.022
4502    1954.75 1221.53 19.221  0.008   0.149   0.018
2116    2940.32 539.38  19.223  0.014   2.168   0.037
4809    701.12  1300.42 19.226  0.011   0.172   0.023
1608    3235.89 397.59  19.231  0.01    0.099   0.023
1099    1273.09 250.88  19.233  0.01    0.207   0.02
16077   2560.24 3474.51 19.238  0.011   0.376   0.022
3032    1819.72 805.09  19.239  0.007   0.054   0.017
17257   2627.55 3689.57 19.24   0.015   1.375   0.023
4231    2070.58 1145.51 19.245  0.025   1.269   0.035
14364   2113.5  3226.78 19.247  0.011   1.072   0.019
6654    411.89  1803.71 19.252  0.015   1.264   0.024
10237   1675.76 2638.64 19.253  0.015   1.232   0.025
10670   3797.49 2714.33 19.253  0.01    0.117   0.022
13770   2591.35 3144.76 19.253  0.008   1.184   0.015
14977   883.92  3311.02 19.258  0.014   0.221   0.026
17880   1433.32 3818.83 19.258  0.008   0.228   0.019
6577    456.6   1782.85 19.259  0.012   1.131   0.019
9539    2271.41 2516.21 19.26   0.015   1.327   0.024
10  368.14  -164.28 19.272  0.019   0.083   0.047
17155   2665.43 3669.97 19.281  0.015   1.322   0.026
8308    2709.44 2246.88 19.284  0.016   1.146   0.022
17830   204.61  3804.47 19.284  0.014   0.462   0.026
12001   2009.04 2905.86 19.286  0.013   1.229   0.026
10044   1259.88 2607.77 19.29   0.026   0.211   0.078
14524   2189.09 3246.55 19.29   0.009   1.074   0.018
7557    2841.34 2050.57 19.291  0.019   0.085   0.039
2693    3097.05 707.6   19.296  0.014   1.195   0.021
15210   4040.31 3342.89 19.304  0.023   1.108   0.034
18171   2670.94 3886.32 19.304  0.012   1.117   0.023
5666    3240.11 1533.9  19.306  0.009   0.069   0.023
12379   2030.02 2958.7  19.307  0.01    1.171   0.022
8075    286.98  2187.32 19.309  0.017   1.141   0.028
12825   2193.03 3021.53 19.31   0.012   1.171   0.019
17239   2341.69 3685.39 19.313  0.015   1.323   0.024
9718    3478.59 2552.31 19.318  0.014   1.291   0.021
7748    3716.57 2101.96 19.319  0.011   1.121   0.019
10939   2164.9  2754.2  19.324  0.013   1.163   0.022
7772    1573.78 2108.07 19.326  0.013   1.237   0.022
3994    475.84  1074.24 19.328  0.015   1.27    0.025
5233    224.35  1408.78 19.331  0.04    1.019   0.066
11783   3408.51 2877.07 19.342  0.015   1.244   0.023
10910   305.44  2749.35 19.344  0.013   0.347   0.025
11771   2403.8  2875.49 19.344  0.023   0.15    0.072
14841   3025.43 3291.18 19.351  0.016   1.153   0.024
9847    906.66  2573.46 19.354  0.015   1.219   0.024
16724   424.15  3583.7  19.354  0.012   1.143   0.022
3574    2245.91 959.59  19.356  0.008   0.044   0.018
11083   1142.28 2775.89 19.356  0.012   1.123   0.022
7576    2558.81 2057.26 19.361  0.019   1.103   0.026
699 166.54  140.07  19.364  0.014   0.387   0.031
1417    2258.36 342.73  19.364  0.014   1.088   0.021
4291    1206.18 1163.02 19.366  0.011   0.131   0.024
2936    3435.81 773.08  19.37   0.009   0.151   0.023
11976   2129.83 2902.48 19.37   0.012   1.14    0.021
4004    3065.82 1077.9  19.374  0.01    0.073   0.022
3134    2659.76 830.09  19.377  0.01    0.191   0.02
18938   4005.95 4110.83 19.377  0.014   0.175   0.031
14163   2045.94 3198.61 19.378  0.012   1.103   0.022
7812    2181.45 2120.76 19.384  0.016   1.325   0.024
8327    3278.32 2250.73 19.385  0.01    0.122   0.02
9319    1033.16 2470.41 19.385  0.015   1.303   0.022
10521   1899.86 2690.52 19.385  0.015   1.129   0.023
6538    1325.85 1772.25 19.386  0.019   1.094   0.034
12429   73.48   2966.89 19.389  0.018   1.083   0.031
9609    2260.16 2530.5  19.39   0.011   1.173   0.018
8016    504.99  2172.76 19.391  0.012   0.367   0.024
13981   2196.79 3171.39 19.393  0.017   1.178   0.029
18253   455.32  3905.22 19.393  0.017   0.105   0.034
6200    976.27  1676.94 19.394  0.026   0.138   0.071
18899   2443.16 4094.13 19.395  0.015   1.216   0.028
15221   2076.59 3344.12 19.396  0.026   1.178   0.035
7771    3689.01 2107.86 19.398  0.018   1.156   0.027
7646    2470.68 2073.17 19.399  0.018   1.123   0.028
7193    965.36  1946.71 19.4    0.028   1.081   0.045
3511    791.34  942.88  19.406  0.012   0.091   0.022
1161    3286.48 270.6   19.407  0.015   1.116   0.023
8101    1618.46 2194.3  19.407  0.016   1.14    0.023
4354    528.15  1179.29 19.409  0.012   0.961   0.019
17786   2405.38 3796.14 19.409  0.017   1.137   0.028
19022   3365.11 4167.12 19.409  0.018   0.306   0.044
4851    3378.59 1311.09 19.411  0.012   0.2 0.026
13511   2192.85 3110.01 19.412  0.009   0.434   0.015
5187    3734.89 1395.29 19.414  0.022   1.108   0.038
2020    1642.17 513.97  19.415  0.016   1.242   0.023
2694    2546.34 707.63  19.416  0.011   0.149   0.023
9265    1157.94 2457.21 19.417  0.013   1.115   0.022
13163   2045.07 3063.29 19.417  0.034   1.163   0.063
8565    3339.29 2308.73 19.419  0.013   0.168   0.025
10312   1973.7  2651.41 19.421  0.017   1.132   0.028
11146   3868.72 2786    19.421  0.016   1.133   0.026
2534    3112.49 656.78  19.424  0.01    1.125   0.016
9633    2125.21 2534.4  19.425  0.013   1.133   0.02
18754   1751.97 4033.94 19.427  0.016   1.128   0.029
3109    1147.22 824.11  19.428  0.016   1.096   0.024
14809   420.41  3286.85 19.428  0.013   0.448   0.025
12424   3015.36 2966.2  19.43   0.017   1.118   0.025
13714   3989.08 3136.5  19.432  0.012   1.139   0.022
15974   3738.88 3458.34 19.433  0.013   1.005   0.023
13417   1865.02 3096.8  19.434  0.019   1.144   0.029
16290   2796.35 3509.78 19.435  0.012   1.193   0.023
18446   3746.3  3947.24 19.437  0.021   1.148   0.03
4027    3924.57 1084.05 19.438  0.01    0.212   0.021
7554    1822.63 2049.77 19.439  0.019   1.094   0.035
11806   2209.24 2880.58 19.44   0.012   1.119   0.019
6296    3394.03 1703.85 19.443  0.012   0.16    0.024
13988   2255.7  3171.97 19.443  0.018   1.046   0.034
7014    1965.38 1895.11 19.445  0.017   1.039   0.03
14049   2048.46 3182    19.445  0.013   1.172   0.021
9523    807.58  2513.58 19.447  0.015   1.038   0.024
11423   2243.97 2824.73 19.448  0.016   1.129   0.025
14956   2438.55 3307.85 19.449  0.011   1.264   0.021
15820   2251.71 3434.09 19.451  0.017   1.197   0.028
13061   2219.75 3050.42 19.452  0.046   1.153   0.094
9485    3200.09 2503.91 19.453  0.01    0.174   0.02
13958   2057    3167.38 19.453  0.011   0.999   0.021
