#ID x   y   F555    E_555   F555-F814   e_ff-14 F814    E_814
12598   1683.67 2361.83 21.704  0.043   0.542   0.305   21.162  0.262
14436   1684.06 2521.35 21.654  0.03    0.25    0.126   21.404  0.096
9383    1684.13 2061.09 22.699  0.039   0.713   0.182   21.986  0.143
8648    1684.19 1978.01 22.332  0.015   0.442   0.039   21.89   0.024
9439    1684.32 2066.37 20.765  0.01    0.385   0.02    20.38   0.01
16831   1684.79 2730.34 20.116  0.027   0.689   0.19    19.427  0.163
15425   1684.79 2605.59 22.005  0.036   0.533   0.084   21.472  0.048
5644    1684.8  1555.26 22.133  0.01    0.386   0.021   21.747  0.011
11923   1684.81 2301.46 21.386  0.014   0.282   0.039   21.104  0.025
6010    1684.89 1612.03 17.983  0.008   -0.029  0.017   18.012  0.009
8902    1684.91 2007.66 20.906  0.035   0.285   0.075   20.621  0.04
16559   1684.97 2704.8  21.238  0.046   0.292   0.115   20.946  0.069
14727   1684.97 2544.74 21.668  0.011   0.428   0.024   21.24   0.013
4745    1685.04 1371.16 22.149  0.012   0.395   0.026   21.754  0.014
20013   1685.14 3046.15 21.716  0.016   0.272   0.042   21.444  0.026
20381   1685.19 3087.19 22.953  0.016   0.537   0.035   22.416  0.019
9085    1685.31 2030.55 20.702  0.023   0.264   0.044   20.438  0.021
19738   1685.33 3015.65 17.236  0.009   1.439   0.022   15.797  0.013
36344   1685.33 2582.7  21.092  0.012   0.314   0.025   20.778  0.013
12505   1685.47 2353.63 18.183  0.01    1.237   0.022   16.946  0.012
18765   1685.56 2910.29 21.351  0.047   0.327   0.118   21.024  0.071
19297   1685.71 2964.5  20.901  0.01    0.36    0.02    20.541  0.01
16022   1685.8  2657.31 19.478  0.009   0.989   0.019   18.489  0.01
21840   1685.9  3285.49 21.056  0.01    0.299   0.021   20.757  0.011
14227   1685.94 2503.18 19.559  0.01    1.059   0.023   18.5    0.013
11188   1686.09 2234.86 21.881  0.022   0.289   0.055   21.592  0.033
9280    1686.14 2049.99 20.729  0.01    0.271   0.026   20.458  0.016
11276   1686.25 2242.93 21.034  0.01    0.264   0.021   20.77   0.011
10665   1686.4  2186.66 22.154  0.01    0.412   0.021   21.742  0.011
5360    1686.55 1505.03 18.645  0.008   1.149   0.016   17.496  0.008
23456   1686.63 3580.62 22.935  0.016   0.552   0.03    22.383  0.014
11841   1686.73 2293.39 19.625  0.009   1.001   0.018   18.624  0.009
7152    1686.85 1792.79 21.817  0.01    0.4 0.021   21.417  0.011
15052   1687.05 2574.12 21.331  0.014   0.254   0.039   21.077  0.025
21270   1687.51 3204.61 22.649  0.013   0.48    0.026   22.169  0.013
20705   1687.53 3129.54 22.888  0.015   0.54    0.029   22.348  0.014
18679   1687.58 2903.08 21.427  0.042   0.531   0.096   20.896  0.054
13375   1687.58 2429.48 22.073  0.011   0.378   0.024   21.695  0.013
17534   1687.96 2791.29 21.293  0.012   0.306   0.034   20.987  0.022
16101   1688.25 2664.13 21.072  0.042   0.234   0.113   20.838  0.071
16640   1688.25 2712.08 21.975  0.024   0.363   0.063   21.612  0.039
8207    1688.3  1928.62 19.606  0.008   1.019   0.017   18.587  0.009
23937   1688.33 3683.23 22.109  0.01    0.369   0.021   21.74   0.011
9692    1688.37 2093.23 21.034  0.01    0.325   0.02    20.709  0.01
19168   1688.43 2951.82 21.953  0.011   0.377   0.021   21.576  0.01
7990    1688.48 1904.57 20.841  0.011   0.228   0.021   20.613  0.01
19953   1688.86 3041.37 22.239  0.042   0.421   0.091   21.818  0.049
9992    1689.1  2123.97 21.043  0.026   0.289   0.079   20.754  0.053
7778    1689.21 1876.9  21.254  0.01    0.389   0.02    20.865  0.01
15467   1689.41 2609.58 20.693  0.035   0.308   0.075   20.385  0.04
18737   1689.74 2907.95 20.829  0.019   0.397   0.043   20.432  0.024
19840   1689.87 3027.54 21.14   0.013   0.496   0.05    20.644  0.037
34626   1690.17 2130.19 21.469  0.018   0.243   0.25    21.226  0.232
17802   1690.53 2817.75 22.507  0.035   0.396   0.308   22.111  0.273
16331   1690.58 2686    22.737  0.018   0.588   0.06    22.149  0.042
15653   1690.63 2624.74 20.797  0.027   0.301   0.06    20.496  0.033
15970   1690.7  2653.11 19.695  0.01    0.93    0.021   18.765  0.011
7645    1690.76 1858    19.352  0.009   -0.021  0.019   19.373  0.01
21542   1690.8  3240.88 19.573  0.009   0.981   0.018   18.592  0.009
18272   1690.92 2864.42 21.031  0.01    0.237   0.02    20.794  0.01
13912   1690.96 2476.7  21.929  0.017   0.3 0.056   21.629  0.039
21908   1691.11 3295.44 22.39   0.028   0.457   0.077   21.933  0.049
3715    1691.13 1128.92 21.195  0.01    0.309   0.021   20.886  0.011
13545   1691.19 2443.06 19.412  0.009   0.969   0.017   18.443  0.008
12447   1691.26 2347.69 19.484  0.012   0.984   0.022   18.5    0.01
35103   1691.37 2254.94 21.047  0.013   0.289   0.023   20.758  0.01
9265    1691.63 2048.74 20.758  0.01    0.313   0.024   20.445  0.014
13841   1691.63 2471.11 21.955  0.026   0.349   0.07    21.606  0.044
15120   1691.66 2579.88 21.086  0.01    0.311   0.02    20.775  0.01
17978   1691.7  2834.47 20.056  0.016   0.419   0.191   19.637  0.175
14295   1691.95 2509.59 17.849  0.011   1.322   0.024   16.527  0.013
16437   1692    2694.64 22.388  0.031   0.436   0.091   21.952  0.06
17239   1692.07 2764.76 20.935  0.04    0.321   0.084   20.614  0.044
8527    1692.16 1964.66 21.127  0.01    0.222   0.022   20.905  0.012
24161   1692.34 3733.72 22.529  0.044   0.638   0.124   21.891  0.08
3749    1692.42 1138.81 21.744  0.01    0.335   0.02    21.409  0.01
12913   1692.67 2389.84 22.222  0.021   0.548   0.076   21.674  0.055
11653   1693.48 2276.56 19.966  0.01    0.944   0.019   19.022  0.009
36293   1694.08 2569.3  22.393  0.015   0.414   0.034   21.979  0.019
6200    1694.3  1643.44 19.054  0.008   1.132   0.016   17.922  0.008
22088   1694.36 3324.41 21.787  0.01    0.297   0.021   21.49   0.011
16186   1694.38 2672.65 19.48   0.013   1.01    0.022   18.47   0.009
4877    1694.5  1400.87 22.004  0.01    0.33    0.023   21.674  0.013
12340   1694.55 2339.72 20.697  0.01    0.348   0.024   20.349  0.014
1307    1694.58 398.19  20.223  0.009   -0.008  0.019   20.231  0.01
10404   1694.62 2162.23 19.732  0.009   0.968   0.018   18.764  0.009
37331   1694.68 2845.29 21.002  0.01    0.402   0.026   20.6    0.016
14059   1694.85 2490.23 19.44   0.008   0.973   0.016   18.467  0.008
19580   1694.86 3000.14 19.875  0.009   1.005   0.018   18.87   0.009
4658    1695    1352.99 22.274  0.018   0.413   0.035   21.861  0.017
22873   1695.06 3467.61 22.239  0.012   0.415   0.023   21.824  0.011
20947   1695.1  3159.87 22.665  0.012   0.496   0.025   22.169  0.013
16507   1695.16 2700.21 22.549  0.061   0.544   0.206   22.005  0.145
14803   1695.54 2551.65 20.285  0.034   0.248   0.071   20.037  0.037
11455   1695.57 2259.65 21.268  0.025   0.322   0.058   20.946  0.033
11902   1695.63 2299.28 20.776  0.026   0.306   0.064   20.47   0.038
10780   1695.92 2196.94 21.683  0.013   0.471   0.03    21.212  0.017
6925    1696.28 1757.75 21.858  0.037   0.472   0.085   21.386  0.048
9670    1696.36 2091.57 22.075  0.012   0.504   0.029   21.571  0.017
12657   1696.49 2367.41 19.332  0.009   0.988   0.018   18.344  0.009
9337    1696.53 2056.15 21.297  0.01    0.266   0.02    21.031  0.01
5964    1696.53 1606.13 21.667  0.017   0.299   0.029   21.368  0.012
8857    1696.65 2002.85 21.054  0.01    0.377   0.025   20.677  0.015
18676   1696.75 2902.88 20.378  0.01    0.213   0.02    20.165  0.01
9587    1696.76 2082.88 22.931  0.034   0.599   0.068   22.332  0.034
17059   1696.93 2751.1  21.487  0.014   0.378   0.044   21.109  0.03
12011   1696.95 2309.62 21.65   0.016   0.408   0.039   21.242  0.023
9779    1697.11 2103.12 22.985  0.025   0.679   0.057   22.306  0.032
15616   1697.14 2621.7  21.059  0.022   0.38    0.062   20.679  0.04
13866   1697.37 2472.41 21.451  0.033   0.343   0.07    21.108  0.037
4283    1697.7  1267.46 22.58   0.012   0.468   0.029   22.112  0.017
24230   1698.01 3748.05 21.189  0.01    0.436   0.021   20.753  0.011
15899   1698.2  2647.16 19.101  0.008   1.118   0.016   17.983  0.008
18241   1698.44 2861.16 22.349  0.012   0.386   0.042   21.963  0.03
22236   1698.66 3351.97 22.692  0.019   0.51    0.037   22.182  0.018
8947    1698.78 2013.32 19.644  0.009   0.993   0.018   18.651  0.009
16971   1698.79 2742.52 19.465  0.009   1.054   0.018   18.411  0.009
20306   1698.88 3078.68 22.757  0.019   0.485   0.039   22.272  0.02
21609   1699.04 3250.11 21.635  0.012   0.272   0.024   21.363  0.012
17498   1699.14 2788.66 18.73   0.008   1.111   0.016   17.619  0.008
11218   1699.2  2237.61 20.342  0.014   0.316   0.061   20.026  0.047
20242   1699.44 3072.27 21.579  0.01    0.418   0.02    21.161  0.01
17930   1699.55 2830.2  17.037  0.012   1.502   0.025   15.535  0.013
18801   1699.68 2913.86 21.159  0.01    0.219   0.021   20.94   0.011
10323   1699.72 2155.65 22.861  0.063   0.505   0.128   22.356  0.065
9953    1699.74 2119.65 21.037  0.016   0.465   0.122   20.572  0.106
18863   1700.19 2919.75 21.366  0.011   0.301   0.027   21.065  0.016
891 1700.34 253.42  20.799  0.01    0.274   0.02    20.525  0.01
35779   1700.48 2441.04 20.763  0.013   0.297   0.036   20.466  0.023
24664   1700.57 3858.23 21.298  0.01    0.379   0.021   20.919  0.011
5557    1700.68 1539.51 22.214  0.01    0.365   0.023   21.849  0.013
11663   1700.76 2276.81 19.329  0.009   1.003   0.017   18.326  0.008
14043   1701.19 2488.9  21.426  0.027   0.3 0.305   21.126  0.278
8405    1701.2  1950.67 21.853  0.01    0.304   0.021   21.549  0.011
14865   1701.44 2558.42 22.256  0.03    0.457   0.074   21.799  0.044
20365   1701.51 3085.72 22.628  0.013   0.504   0.027   22.124  0.014
1615    1701.7  504.34  22.621  0.011   0.482   0.024   22.139  0.013
9565    1701.88 2080.98 22.752  0.02    0.547   0.042   22.205  0.022
10948   1701.9  2211.97 21.895  0.012   0.311   0.028   21.584  0.016
18480   1701.98 2883.73 18.91   0.008   1.065   0.016   17.845  0.008
35905   1702.06 2472.9  21.965  0.02    0.349   0.065   21.616  0.045
15748   1702.11 2633.47 19.385  0.009   0.987   0.018   18.398  0.009
10546   1702.13 2174.33 21.24   0.025   0.263   0.065   20.977  0.04
8262    1702.3  1933.86 22.854  0.012   0.612   0.026   22.242  0.014
10048   1702.48 2131.09 17.023  0.009   1.619   0.022   15.404  0.013
11157   1702.49 2231.47 21.067  0.013   0.37    0.047   20.697  0.034
15377   1702.82 2601.31 21.038  0.015   0.189   0.037   20.849  0.022
14481   1702.89 2525.52 22.009  0.027   0.554   0.111   21.455  0.084
12973   1703.04 2395.1  17.914  0.009   1.297   0.02    16.617  0.011
13133   1703.26 2407.48 18.864  0.011   1.091   0.02    17.773  0.009
20422   1703.65 3092.29 22.021  0.012   0.34    0.024   21.681  0.012
13616   1703.77 2448.94 21.907  0.026   0.39    0.063   21.517  0.037
36000   1703.8  2500.27 18.235  0.01    1.244   0.023   16.991  0.013
2228    1703.8  701.16  22.534  0.013   0.486   0.026   22.048  0.013
8990    1703.97 2017.96 22.249  0.03    0.501   0.269   21.748  0.239
17141   1704.06 2757.24 22.374  0.052   0.519   0.149   21.855  0.097
11547   1704.08 2267.82 20.659  0.01    0.249   0.024   20.41   0.014
17086   1704.59 2752.94 22.011  0.027   0.319   0.058   21.692  0.031
24421   1704.65 3797.69 22.808  0.011   0.469   0.024   22.339  0.013
20632   1704.82 3119.37 21.619  0.01    0.434   0.02    21.185  0.01
9084    1704.91 2030.49 21.395  0.046   0.362   0.11    21.033  0.064
10863   1705.17 2202.46 21.656  0.012   0.406   0.027   21.25   0.015
17014   1705.2  2746.7  22.461  0.038   0.359   0.125   22.102  0.087
13307   1705.41 2423.95 21.587  0.012   0.398   0.031   21.189  0.019
15243   1705.71 2590.2  19.633  0.009   0.96    0.018   18.673  0.009
21223   1705.91 3198.98 21.715  0.01    0.458   0.023   21.257  0.013
17785   1706.07 2815.94 22.368  0.015   0.44    0.052   21.928  0.037
16069   1706.11 2661.43 20.118  0.009   0.275   0.019   19.843  0.01
23435   1706.12 3575.93 20.708  0.01    0.312   0.02    20.396  0.01
36319   1706.31 2574.81 19.54   0.009   0.965   0.018   18.575  0.009
16900   1706.4  2736.45 19.373  0.009   0.949   0.018   18.424  0.009
18683   1706.54 2903.55 22.55   0.013   0.459   0.029   22.091  0.016
17245   1706.56 2765.25 22.406  0.023   0.428   0.044   21.978  0.021
12418   1706.62 2345.06 21.674  0.011   0.344   0.021   21.33   0.01
20754   1706.64 3135.11 21.718  0.01    0.301   0.02    21.417  0.01
14301   1706.68 2510.4  20.215  0.016   0.286   0.038   19.929  0.022
24125   1706.86 3726.8  17.225  0.009   1.175   0.02    16.05   0.011
11299   1706.91 2245.09 17.338  0.008   1.517   0.02    15.821  0.012
4384    1706.92 1292.15 19.487  0.011   0.925   0.02    18.562  0.009
1082    1706.99 323.38  22.51   0.016   0.396   0.029   22.114  0.013
9262    1707.06 2047.98 22.561  0.046   0.506   0.1 22.055  0.054
18964   1707.14 2930.93 21.247  0.031   0.25    0.123   20.997  0.092
7329    1707.17 1815.96 22.22   0.011   0.422   0.021   21.798  0.01
14952   1707.21 2564.38 21.631  0.017   0.166   0.04    21.465  0.023
7433    1707.31 1829.27 20.216  0.009   0.275   0.019   19.941  0.01
6137    1707.42 1633.16 21.462  0.016   0.313   0.035   21.149  0.019
16672   1707.66 2714.88 20.791  0.01    0.418   0.022   20.373  0.012
2583    1707.76 812.72  22.153  0.012   0.345   0.028   21.808  0.016
16369   1707.8  2689.11 21.806  0.014   0.47    0.026   21.336  0.012
9623    1707.92 2086.47 22.515  0.017   0.638   0.041   21.877  0.024
6064    1707.96 1619.86 19.526  0.009   0.047   0.019   19.479  0.01
8588    1708.02 1970.56 20.369  0.01    0.282   0.02    20.087  0.01
18103   1708.08 2847.3  21.684  0.013   0.229   0.033   21.455  0.02
12486   1708.18 2351.84 22.602  0.054   0.452   0.09    22.15   0.036
22002   1708.34 3309.28 21.682  0.036   0.36    0.091   21.322  0.055
6282    1708.45 1657.61 21.68   0.012   0.339   0.026   21.341  0.014
17557   1708.53 2793.33 19.7    0.027   0.924   0.046   18.776  0.019
15152   1708.55 2582.48 21.122  0.019   0.435   0.042   20.687  0.023
17314   1708.62 2771.21 21.015  0.01    0.216   0.024   20.799  0.014
14497   1708.63 2526.91 21.907  0.03    0.482   0.081   21.425  0.051
14642   1708.82 2538.3  21.697  0.014   0.277   0.035   21.42   0.021
7501    1709.16 1838.56 20.601  0.01    0.299   0.02    20.302  0.01
21002   1709.16 3168.32 20.902  0.01    0.255   0.02    20.647  0.01
35621   1709.76 2396.91 19.891  0.018   0.456   0.051   19.435  0.033
35804   1709.93 2447.38 21.389  0.011   0.2 0.04    21.189  0.029
23592   1710.04 3605.35 21.816  0.011   0.334   0.023   21.482  0.012
21881   1710.61 3292.05 21.791  0.011   0.325   0.022   21.466  0.011
3719    1710.64 1129.94 21.194  0.01    0.313   0.02    20.881  0.01
18223   1710.73 2860.06 19.295  0.008   0.843   0.017   18.452  0.009
16535   1710.99 2702.8  19.491  0.009   0.938   0.018   18.553  0.009
11995   1711.31 2308.47 18.626  0.008   0.996   0.016   17.63   0.008
15812   1711.96 2638.61 17.67   0.008   1.363   0.02    16.307  0.012
15356   1712.19 2599.58 20.143  0.009   0.269   0.019   19.874  0.01
24679   1712.22 3861.98 19.708  0.009   -0.046  0.019   19.754  0.01
448 1712.29 88.87   21.295  0.01    0.102   0.02    21.193  0.01
22931   1712.42 3478.41 22.87   0.015   0.634   0.028   22.236  0.013
6900    1712.47 1754.85 18.532  0.008   1.157   0.016   17.375  0.008
13820   1712.52 2468.91 19.769  0.018   0.951   0.032   18.818  0.014
24466   1712.63 3809.94 21.21   0.01    0.272   0.02    20.938  0.01
14828   1712.96 2554.3  20.184  0.01    0.313   0.02    19.871  0.01
16450   1712.98 2695.58 21.822  0.017   0.368   0.049   21.454  0.032
15429   1713.21 2605.88 21.428  0.019   0.37    0.047   21.058  0.028
17417   1713.27 2781.45 21.226  0.023   0.312   0.056   20.914  0.033
12135   1713.45 2319.85 19.384  0.008   1.011   0.016   18.373  0.008
3017    1713.5  945.07  22.691  0.015   0.513   0.043   22.178  0.028
9394    1713.52 2062.12 22.983  0.024   0.57    0.054   22.413  0.03
11005   1713.57 2216.49 21.56   0.012   0.324   0.032   21.236  0.02
10468   1713.59 2167.3  22.578  0.038   0.564   0.09    22.014  0.052
35387   1713.66 2333.69 21.829  0.01    0.362   0.021   21.467  0.011
5879    1713.88 1595.52 22.462  0.015   0.429   0.028   22.033  0.013
12937   1714.02 2391.61 21.187  0.034   0.221   0.306   20.966  0.272
21557   1714.06 3242.71 22.44   0.028   0.581   0.062   21.859  0.034
8887    1714.08 2006.29 19.514  0.009   1.001   0.018   18.513  0.009
14895   1714.14 2560.77 21.235  0.017   0.218   0.042   21.017  0.025
19527   1714.26 2994.93 22.948  0.034   0.633   0.249   22.315  0.215
7695    1714.49 1865.52 20.897  0.012   0.478   0.026   20.419  0.014
3741    1714.53 1137.41 21.811  0.011   0.228   0.021   21.583  0.01
8975    1714.59 2015.93 20.53   0.022   0.349   0.043   20.181  0.021
11907   1714.61 2299.71 20.766  0.01    0.346   0.029   20.42   0.019
18294   1714.62 2866.67 20.65   0.01    0.286   0.023   20.364  0.013
11444   1714.71 2258.41 22.105  0.035   0.507   0.202   21.598  0.167
17040   1714.83 2749.24 21.326  0.01    0.23    0.023   21.096  0.013
19439   1714.89 2984.48 21.348  0.01    0.272   0.024   21.076  0.014
36037   1715.09 2507.44 19.533  0.025   0.95    0.038   18.583  0.013
35501   1715.28 2366.61 21.156  0.039   0.305   0.09    20.851  0.051
4501    1715.33 1317.66 20.907  0.01    0.407   0.02    20.5    0.01
20305   1715.39 3078.55 22.638  0.012   0.467   0.027   22.171  0.015
16170   1715.49 2671.38 21.024  0.014   0.231   0.032   20.793  0.018
11662   1715.73 2276.81 19.6    0.01    0.988   0.019   18.612  0.009
568 1715.89 131.51  22.08   0.011   0.866   0.022   21.214  0.011
19874   1715.91 3030.79 22.969  0.02    0.687   0.089   22.282  0.069
37795   1716.28 2960.52 22.582  0.046   0.53    0.097   22.052  0.051
15162   1716.3  2583.8  22.979  0.063   0.577   0.133   22.402  0.07
260 1716.37 24.43   22.529  0.011   0.686   0.022   21.843  0.011
19751   1716.46 3016.48 18.464  0.008   1.237   0.019   17.227  0.011
14433   1716.47 2521.15 22.437  0.027   0.411   0.069   22.026  0.042
10891   1716.68 2206.58 21.863  0.011   0.305   0.024   21.558  0.013
18658   1716.89 2900.36 21.734  0.012   0.326   0.03    21.408  0.018
18586   1716.95 2894.59 21.824  0.016   0.415   0.036   21.409  0.02
20987   1717.04 3165.91 22.874  0.018   0.515   0.032   22.359  0.014
9102    1717.2  2033.01 22.505  0.017   0.429   0.032   22.076  0.015
6705    1717.32 1727.19 22.367  0.011   0.414   0.024   21.953  0.013
19950   1717.34 3041.08 19.36   0.008   0.986   0.017   18.374  0.009
15073   1717.42 2576.44 22.124  0.016   0.397   0.041   21.727  0.025
21859   1718    3288.53 20.727  0.01    0.255   0.02    20.472  0.01
15561   1718.02 2616.94 19.318  0.009   0.967   0.018   18.351  0.009
19633   1718.04 3006.29 18.398  0.017   1.418   0.074   16.98   0.057
23381   1718.06 3565.16 22.179  0.01    0.392   0.023   21.787  0.013
3418    1718.14 1053.03 22.061  0.01    0.382   0.021   21.679  0.011
20519   1718.47 3106.93 21.892  0.01    0.307   0.02    21.585  0.01
16540   1718.53 2703.12 20.784  0.02    0.458   0.044   20.326  0.024
2128    1718.71 668.05  22.474  0.01    0.465   0.023   22.009  0.013
33230   1718.75 1795.74 22.769  0.015   0.553   0.032   22.216  0.017
14980   1718.79 2567.86 21.145  0.039   0.322   0.085   20.823  0.046
24478   1719    3812.87 22.183  0.013   0.308   0.035   21.875  0.022
10255   1719.48 2151    21.802  0.027   0.415   0.07    21.387  0.043
5578    1719.55 1542.61 21.919  0.012   0.371   0.025   21.548  0.013
37632   1720.07 2921.06 21.162  0.022   0.416   0.047   20.746  0.025
20744   1720.13 3133.89 21.23   0.029   0.276   0.064   20.954  0.035
13845   1720.22 2471.38 21.524  0.014   0.28    0.038   21.244  0.024
14547   1720.24 2531.26 20.169  0.023   0.208   0.054   19.961  0.031
35962   1720.27 2491.9  19.47   0.012   0.923   0.025   18.547  0.013
12991   1720.56 2396.35 21.22   0.028   0.387   0.065   20.833  0.037
10518   1720.78 2172    22.486  0.022   0.548   0.056   21.938  0.034
13168   1720.96 2411.49 21.582  0.024   0.389   0.053   21.193  0.029
14377   1720.99 2517.38 22.078  0.017   0.358   0.04    21.72   0.023
6307    1721.18 1662.1  20.601  0.011   0.405   0.021   20.196  0.01
9758    1721.24 2100.82 19.29   0.009   1.014   0.018   18.276  0.009
18548   1721.28 2889.86 22.089  0.029   0.443   0.074   21.646  0.045
10659   1721.35 2185.47 18.579  0.008   0.147   0.016   18.432  0.008
16222   1721.51 2675.87 22.059  0.013   0.35    0.033   21.709  0.02
8773    1721.6  1992.82 22.231  0.014   0.527   0.034   21.704  0.02
16894   1721.71 2736.17 21.654  0.011   0.382   0.033   21.272  0.022
36193   1721.81 2549.24 19.459  0.009   0.967   0.018   18.492  0.009
13114   1721.93 2406.08 21.8    0.041   0.428   0.083   21.372  0.042
745 1721.93 188.72  22.908  0.014   0.538   0.027   22.37   0.013
21196   1721.98 3193.75 20.871  0.01    0.944   0.02    19.927  0.01
21680   1722.63 3260.7  22.61   0.013   0.499   0.03    22.111  0.017
22572   1722.69 3410.47 20.297  0.01    0.118   0.02    20.179  0.01
9980    1722.91 2123.36 19.035  0.009   1.173   0.018   17.862  0.009
42190   1723.04 4172.88 21.137  0.011   0.118   0.021   21.019  0.01
13935   1723.19 2479.05 20.509  0.01    0.146   0.023   20.363  0.013
8348    1723.23 1943.77 19.963  0.01    0.323   0.02    19.64   0.01
17124   1723.37 2755.75 22.592  0.013   0.574   0.057   22.018  0.044
24427   1723.38 3798.56 22.598  0.012   0.464   0.027   22.134  0.015
12283   1723.41 2333.74 21.59   0.016   0.378   0.035   21.212  0.019
34437   1723.73 2083.51 20.809  0.017   0.372   0.041   20.437  0.024
18928   1723.84 2927.64 20.868  0.01    0.248   0.022   20.62   0.012
24692   1723.9  3864.27 22.979  0.022   0.591   0.043   22.388  0.021
17477   1724.06 2787.16 21.706  0.014   0.698   0.028   21.008  0.014
18282   1724.18 2865.33 22.921  0.029   0.556   0.075   22.365  0.046
17359   1724.34 2775.29 20.603  0.01    0.261   0.02    20.342  0.01
1311    1724.55 399.17  22.953  0.013   0.544   0.026   22.409  0.013
14691   1724.77 2541.71 20.706  0.011   0.302   0.035   20.404  0.024
20251   1724.99 3073.06 21.615  0.01    0.371   0.02    21.244  0.01
15800   1725.19 2637.79 20.87   0.029   0.317   0.059   20.553  0.03
19448   1725.43 2986.22 21.649  0.012   0.354   0.027   21.295  0.015
13576   1725.54 2445.61 19.571  0.029   0.936   0.053   18.635  0.024
11416   1725.62 2255.69 19.667  0.009   0.97    0.018   18.697  0.009
5172    1725.71 1465.86 22.093  0.011   0.412   0.022   21.681  0.011
22671   1725.75 3428.29 22.605  0.011   0.481   0.024   22.124  0.013
20033   1725.85 3048.29 22.112  0.039   0.46    0.139   21.652  0.1
2331    1726.03 738.17  22.086  0.01    0.381   0.022   21.705  0.012
12512   1726.23 2353.89 20.631  0.031   0.284   0.066   20.347  0.035
4106    1726.25 1229.38 21.861  0.018   0.36    0.048   21.501  0.03
7976    1726.52 1902.52 21.775  0.01    0.293   0.021   21.482  0.011
9350    1726.72 2056.93 21.274  0.019   0.302   0.042   20.972  0.023
17699   1726.74 2807.77 21.146  0.01    0.37    0.02    20.776  0.01
5195    1726.75 1472.09 22.829  0.028   0.591   0.044   22.238  0.016
10122   1726.83 2137.54 22.618  0.024   0.581   0.078   22.037  0.054
2027    1726.93 636.51  22.719  0.011   0.495   0.025   22.224  0.014
13700   1726.96 2457.75 20.748  0.034   0.416   0.218   20.332  0.184
22985   1727.05 3488.93 22.735  0.013   0.503   0.027   22.232  0.014
18469   1727.08 2882.76 21.694  0.047   0.331   0.304   21.363  0.257
19318   1727.16 2967.31 21.185  0.011   0.229   0.025   20.956  0.014
16362   1727.22 2688.75 19.287  0.01    0.883   0.019   18.404  0.009
23907   1727.26 3676.85 19.58   0.009   0.996   0.018   18.584  0.009
17889   1727.39 2826.09 18.468  0.016   0.911   0.027   17.557  0.011
19860   1727.43 3029.8  20.99   0.01    0.28    0.023   20.71   0.013
24016   1727.5  3702.41 21.297  0.011   0.241   0.021   21.056  0.01
315 1727.62 42.72   22.205  0.013   0.471   0.049   21.734  0.036
13164   1727.78 2410.96 21.097  0.015   0.069   0.045   21.028  0.03
11731   1727.81 2283.01 22.695  0.019   0.533   0.056   22.162  0.037
15721   1727.99 2630.82 20.633  0.01    0.273   0.022   20.36   0.012
6583    1728.02 1707.37 22.317  0.011   0.404   0.022   21.913  0.011
34752   1728.27 2167.38 21.714  0.018   0.379   0.044   21.335  0.026
9630    1728.34 2087.33 20.838  0.018   0.327   0.038   20.511  0.02
13075   1728.41 2403.04 22.323  0.039   0.452   0.323   21.871  0.284
14877   1728.5  2559.12 20.4    0.01    0.977   0.02    19.423  0.01
3306    1728.57 1026.63 21.184  0.01    0.329   0.02    20.855  0.01
4305    1728.6  1273.16 19.564  0.009   0.992   0.017   18.572  0.008
17002   1728.74 2745.51 21.148  0.01    0.446   0.027   20.702  0.017
2270    1728.81 716.28  21.964  0.01    0.328   0.024   21.636  0.014
1350    1728.85 413.22  21.42   0.01    0.223   0.02    21.197  0.01
35583   1729.24 2386.3  21.704  0.014   0.327   0.031   21.377  0.017
20902   1729.28 3155.1  21.892  0.01    0.314   0.023   21.578  0.013
5315    1729.33 1496.22 19.838  0.009   0.948   0.018   18.89   0.009
20736   1729.42 3132.57 21.702  0.02    0.324   0.053   21.378  0.033
23041   1729.58 3501.32 22.09   0.01    0.569   0.02    21.521  0.01
14454   1729.69 2522.89 22.953  0.072   0.554   0.139   22.399  0.067
4406    1729.82 1295.93 22.037  0.011   0.386   0.025   21.651  0.014
14683   1729.86 2541.02 22.26   0.049   -0.141  1.736   22.401  1.687
14000   1729.88 2485.22 21.678  0.026   0.368   0.07    21.31   0.044
17410   1729.93 2780.66 20.521  0.02    0.809   0.093   19.712  0.073
18575   1730.49 2893.85 19.441  0.009   0.97    0.017   18.471  0.008
12308   1730.64 2336.59 22.18   0.013   0.409   0.035   21.771  0.022
36663   1730.98 2662.09 22.155  0.018   0.398   0.047   21.757  0.029
12698   1731    2371.64 19.921  0.01    0.526   0.021   19.395  0.011
10549   1731.4  2174.56 20.298  0.009   1.003   0.019   19.295  0.01
9005    1731.41 2020.29 21.019  0.01    0.265   0.02    20.754  0.01
8289    1731.56 1937.43 22.071  0.013   0.365   0.027   21.706  0.014
6305    1731.59 1661.92 19.401  0.021   0.961   0.033   18.44   0.012
19210   1731.8  2956.56 21.728  0.01    0.434   0.026   21.294  0.016
14569   1732.03 2533.25 21.06   0.01    0.266   0.029   20.794  0.019
9505    1732.04 2074.51 21.073  0.01    0.314   0.02    20.759  0.01
9724    1732.09 2096.96 20.497  0.024   0.342   0.054   20.155  0.03
18716   1732.28 2906.26 19.433  0.009   0.975   0.018   18.458  0.009
13015   1732.37 2398.45 21.495  0.016   0.277   0.041   21.218  0.025
