#ID x   y   F555    E_555   F555-F814   e_ff-14 F814    E_814
13469   225.17  2435.9  22.283  0.01    0.407   0.021   21.876  0.011
9180    225.69  2040.13 22.092  0.011   0.391   0.021   21.701  0.01
16113   225.7   2664.88 22.908  0.012   0.639   0.025   22.269  0.013
7039    227.94  1774.5  19.383  0.009   0.99    0.018   18.393  0.009
6384    229.29  1675.15 21.416  0.021   0.394   0.241   21.022  0.22
6450    232.91  1685.44 16.88   0.012   1.027   0.024   15.853  0.012
19548   233.41  2996.38 21.568  0.01    2.171   0.019   19.397  0.009
23901   234.15  3675.42 22.931  0.038   0.628   0.085   22.303  0.047
2314    234.26  729.55  19.661  0.009   0.504   0.018   19.157  0.009
20457   234.63  3097.24 22.995  0.013   0.553   0.026   22.442  0.013
22576   236.25  3411.32 21.614  0.012   0.26    0.022   21.354  0.01
1964    236.4   617.72  21.882  0.01    0.47    0.021   21.412  0.011
1252    236.56  382.47  22.985  0.017   0.646   0.029   22.339  0.012
25367   237.14  4046.31 22.695  0.013   0.461   0.024   22.234  0.011
23449   237.44  3579.85 21.703  0.032   0.29    0.348   21.413  0.316
10876   237.45  2204.42 21.966  0.011   0.591   0.021   21.375  0.01
14305   237.62  2510.69 22.205  0.011   0.304   0.022   21.901  0.011
19026   238.71  2937.34 21.229  0.01    0.414   0.02    20.815  0.01
24383   239.09  3786.46 22.629  0.013   0.484   0.026   22.145  0.013
23632   239.25  3615.81 20.948  0.01    0.284   0.02    20.664  0.01
18607   239.57  2896.71 21.879  0.011   0.314   0.022   21.565  0.011
8671    239.85  1982.01 21.71   0.011   0.259   0.021   21.451  0.01
22962   241.02  3484.12 19.536  0.009   0.961   0.017   18.575  0.008
3803    241.08  1154.48 22.731  0.012   0.592   0.023   22.139  0.011
17933   241.12  2830.28 21.364  0.01    0.362   0.02    21.002  0.01
14493   242.09  2526.62 20.713  0.009   0.253   0.019   20.46   0.01
7373    242.66  1822.43 21.919  0.013   0.338   0.023   21.581  0.01
15172   243.31  2584.21 21.759  0.014   0.354   0.024   21.405  0.01
8185    243.38  1926.21 20.925  0.01    0.225   0.02    20.7    0.01
6342    243.44  1668.41 19.438  0.009   0.967   0.018   18.471  0.009
23447   243.58  3579.09 19.511  0.009   0.961   0.017   18.55   0.008
16735   244.06  2721.23 22.941  0.012   0.55    0.027   22.391  0.015
4704    244.18  1362.05 22.47   0.012   0.663   0.022   21.807  0.01
13214   244.64  2415.37 20.936  0.01    0.411   0.02    20.525  0.01
1669    245.3   519.2   22.798  0.012   0.59    0.025   22.208  0.013
19626   245.4   3005.55 22.788  0.012   0.519   0.025   22.269  0.013
21670   246.36  3259.44 22.707  0.018   0.491   0.048   22.216  0.03
18687   246.8   2903.87 20.607  0.01    0.981   0.02    19.626  0.01
22317   246.98  3364.53 21.058  0.01    0.393   0.02    20.665  0.01
12759   247.03  2376.76 21.717  0.011   0.272   0.021   21.445  0.01
20979   247.72  3164.55 19.453  0.009   1.043   0.018   18.41   0.009
5428    247.89  1516.95 21.797  0.01    0.301   0.02    21.496  0.01
8087    247.96  1915.58 21.881  0.01    0.854   0.02    21.027  0.01
17554   248.07  2793    21.432  0.01    0.242   0.02    21.19   0.01
11900   248.28  2299.23 22.693  0.011   0.536   0.029   22.157  0.018
