#ID	x	y	T1	e_T1	CT1	e_CT1
236067	5550.592	2826.839	20.682	0.029	0.188	0.03
97550	5550.616	1675.503	22.064	0.044	0.674	0.074
97551	5550.643	767.547	23.153	0.137	0.714	0.166
97552	5550.649	1449.722	23.935	0.191	0.522	0.247
236069	5550.717	2635.339	22.398	0.043	0.566	0.076
97554	5550.788	1489.784	21.963	0.036	0.555	0.048
236075	5550.975	2664.022	22.917	0.068	0.521	0.1
97556	5550.976	1506.978	22.299	0.04	0.733	0.062
97557	5551.051	1122.545	20.163	0.013	-0.206	0.014
97558	5551.108	1962.716	22.294	0.047	0.367	0.057
236077	5551.222	2206.693	19.407	0.008	1.336	0.011
97559	5551.35	949.659	20.62	0.012	0.196	0.015
97560	5551.403	759.315	19.864	0.008	-0.092	0.01
236081	5551.431	2265.961	20.823	0.022	-0.007	0.037
97561	5551.489	705.824	22.426	0.071	0.444	0.097
97562	5551.56	642.765	22.882	0.082	-0.17	0.095
97563	5551.592	1861.915	21.174	0.021	0.839	0.037
236086	5551.595	2262.647	21.721	0.049	1.293	0.23
236087	5551.625	2608.481	22.088	0.029	0.465	0.052
97564	5551.716	747.74	22.717	0.067	0.708	0.097
97565	5551.741	825.997	22.882	0.066	0.609	0.115
236089	5551.741	2504.851	22.547	0.045	0.891	0.094
236090	5551.754	2086.063	22.487	0.084	0.646	0.112
97567	5551.813	2005.767	20.999	0.105	-0.053	0.106
97568	5551.864	1995.194	21.8	0.06	0.558	0.076
236092	5551.876	2949.787	20.971	0.023	0.077	0.029
97569	5551.896	1258.602	21.785	0.064	0.048	0.089
97570	5551.902	1792.234	22.858	0.074	0.403	0.093
236094	5551.924	2150.02	21.386	0.033	0.526	0.039
236095	5552.015	2499.341	23.045	0.082	0.835	0.128
97572	5552.02	925.915	21.422	0.023	0.162	0.029
97573	5552.04	1971.057	18.601	0.018	1.314	0.019
97574	5552.098	1170.203	22.603	0.057	0.773	0.083
97575	5552.177	805.363	18.785	0.008	-0.35	0.009
236099	5552.188	2937.462	21.758	0.033	0.332	0.049
97576	5552.19	1466.87	21.181	0.02	0.052	0.026
97577	5552.216	697.897	22.342	0.04	0.75	0.075
97578	5552.323	1557.218	21.213	0.026	0.542	0.034
236103	5552.4	2225.44	20.631	0.011	0.557	0.016
97580	5552.44	731.172	22.642	0.047	0.709	0.077
236105	5552.475	3001.183	21.484	0.02	0.386	0.029
97581	5552.492	1857.419	20.017	0.027	-0.284	0.028
97582	5552.508	1330.834	23.773	0.144	0.535	0.215
97583	5552.532	1063.295	22.051	0.027	0.489	0.04
97584	5552.553	647.755	22.717	0.063	0.643	0.091
236106	5552.559	3065.601	20.954	0.014	0.111	0.019
97585	5552.567	1665.83	21.961	0.028	0.701	0.042
97586	5552.582	1415.781	22.859	0.077	0.583	0.098
236108	5552.69	2156.912	19.448	0.008	1.306	0.011
236109	5552.745	2188.907	19.472	0.009	0.917	0.011
236110	5552.774	2741.88	19.088	0.01	1.434	0.013
97588	5552.856	1816.642	21.889	0.025	0.573	0.036
236112	5552.866	3069.254	21.346	0.025	0.108	0.039
97589	5552.878	1941.467	20.81	0.01	2.923	0.077
97590	5552.894	1324.811	23.156	0.072	0.577	0.11
236113	5552.9	2125.885	20.696	0.014	0.134	0.02
97591	5552.903	714.414	23.359	0.104	0.247	0.138
97593	5552.923	1480.708	20.772	0.013	0.486	0.017
97594	5552.967	1809.517	21.389	0.02	0.463	0.027
97595	5552.972	741.519	21.491	0.047	0.386	0.09
236115	5552.991	2524.229	22.645	0.053	0.497	0.072
236116	5553.099	3005.462	24.644	0.351	0.506	0.484
97598	5553.1	1915.558	22.489	0.044	0.64	0.07
236118	5553.248	2573.001	22.45	0.055	-0.06	0.072
236119	5553.5	3157.065	21.235	0.017	0.541	0.031
236120	5553.538	2083.229	21.645	0.041	0.349	0.079
97599	5553.563	908.491	21.982	0.033	0.619	0.054
97600	5553.623	1050.184	19.066	0.03	-0.512	0.03
97601	5553.642	676.712	22.336	0.043	0.562	0.071
236121	5553.708	2335.127	22.11	0.028	0.621	0.046
236122	5553.714	2107.335	19.332	0.009	1.529	0.014
97602	5553.73	1311.409	22.23	0.038	0.628	0.061
97604	5553.789	1095.732	21.912	0.035	0.354	0.066
97605	5553.827	560.173	22.183	0.03	0.572	0.046
97606	5553.854	1216.838	19.457	0.007	1.249	0.011
97607	5553.891	2057.955	22.129	0.036	1.621	0.383
97608	5553.892	788.986	20.892	0.019	0.481	0.022
236126	5553.96	2373.05	22.891	0.06	0.651	0.107
97610	5554.074	1686.56	22.541	0.112	0.083	0.136
97612	5554.114	1256.485	22.3	0.111	1.058	0.244
97613	5554.166	2052.643	21.85	0.034	0.54	0.042
