#ID	x	y	F555	E_555	F555-F814	e_ff-14	F814	E_814	x_moved	y_moved
33970	112.48	1977.18	25.847	0.112	0.99	0.175	24.857	0.063	413.48	2977.18
11698	112.69	2280.04	20.625	0.01	0.28	0.02	20.345	0.01	413.69	3280.04
38896	112.92	3239.1	26.142	0.17	1.047	0.241	25.095	0.071	413.92	4239.1
30261	112.97	907.85	26.558	0.458	1.3	0.564	25.258	0.106	413.97	1907.85
29819	113.16	754.22	25.746	0.118	1.023	0.189	24.723	0.071	414.16	1754.22
40025	113.18	3557.65	25.327	0.1	1.063	0.157	24.264	0.057	414.18	4557.65
2086	113.54	654.16	24.817	0.051	0.877	0.088	23.94	0.037	414.54	1654.16
4066	113.67	1218.58	20.767	0.01	0.131	0.02	20.636	0.01	414.67	2218.58
41583	113.74	4057.84	23.788	0.035	0.639	0.056	23.149	0.021	414.74	5057.84
17518	113.75	2790.18	22.4	0.01	0.573	0.02	21.827	0.01	414.75	3790.18
15846	114	2641.94	21.593	0.01	0.248	0.02	21.345	0.01	415	3641.94
16212	114.17	2675.34	24.515	0.043	0.97	0.077	23.545	0.034	415.17	3675.34
9518	114.36	2075.77	24.163	0.044	0.774	0.093	23.389	0.049	415.36	3075.77
39855	114.37	3502.72	25.479	0.087	0.987	0.151	24.492	0.064	415.37	4502.72
28014	114.4	47.04	26.034	0.213	1.003	0.286	25.031	0.073	415.4	1047.04
41539	114.65	4044.1	26.293	0.192	1.311	0.253	24.982	0.061	415.65	5044.1
29234	114.74	530.81	25.018	0.056	0.893	0.093	24.125	0.037	415.74	1530.81
35700	114.75	2418.46	25.399	0.074	0.903	0.141	24.496	0.067	415.75	3418.46
8161	114.84	1924.1	23.921	0.028	0.722	0.05	23.199	0.022	415.84	2924.1
3955	114.95	1190.39	21.055	0.012	0.296	0.031	20.759	0.019	415.95	2190.39
41044	115.2	3882.11	22.586	0.016	0.472	0.033	22.114	0.017	416.2	4882.11
40239	115.31	3624.4	25.8	0.164	1.068	0.234	24.732	0.07	416.31	4624.4
34580	115.49	2118.72	25.454	0.084	0.968	0.143	24.486	0.059	416.49	3118.72
41494	115.59	4030.5	23.896	0.024	0.685	0.04	23.211	0.016	416.59	5030.5
39060	116.07	3282.27	24.578	0.042	0.997	0.074	23.581	0.032	417.07	4282.27
33169	116.08	1779.69	25.795	0.166	1.022	0.239	24.773	0.073	417.08	2779.69
15678	116.09	2627.41	21.494	0.01	0.279	0.02	21.215	0.01	417.09	3627.41
40128	116.18	3592.82	25.057	0.066	0.941	0.105	24.116	0.039	417.18	4592.82
717	116.2	179.44	23.452	0.018	0.681	0.038	22.771	0.02	417.2	1179.44
41068	116.25	3890.74	21.71	0.011	0.284	0.021	21.426	0.01	417.25	4890.74
1349	116.36	412.71	23.322	0.026	0.637	0.061	22.685	0.035	417.36	1412.71
8906	116.48	2008.23	23.194	0.016	0.58	0.032	22.614	0.016	417.48	3008.23
373	116.56	64.82	23.595	0.021	0.652	0.036	22.943	0.015	417.56	1064.82
10903	116.95	2208.33	22.968	0.015	0.558	0.034	22.41	0.019	417.95	3208.33
