#ID x   y   F555W   E_555   F555-F814   E_555-814
69  1027.18 -86.98  22.572  0.07    0.694   0.119
70  1406.61 -85.55  24.19   0.218   0.831   0.331
71  463.32  -81.26  20.877  0.025   0.399   0.054
72  732.68  -81.22  24.84   0.483   1.395   0.635
73  439.11  -79.65  24.934  0.235   0.902   0.434
74  298.23  -79.11  23.682  0.126   0.803   0.195
75  1573.87 -78.87  21.17   0.028   0.585   0.061
76  1778.13 -78.68  20.889  0.028   0.179   0.057
77  1351    -77.8   23.705  0.139   0.856   0.208
78  370.68  -75.93  24.049  0.133   0.918   0.196
79  1030.75 -75.53  22.459  0.044   0.66    0.068
80  959.29  -75.09  23.152  0.072   0.791   0.112
81  414.49  -74.79  20.777  0.017   0.598   0.035
82  480.82  -73.93  24.423  0.325   0.937   0.428
83  1567.5  -72.35  23.891  0.173   0.871   0.25
84  1292.25 -71.98  24.714  0.345   0.916   0.508
85  896.32  -71.23  22.213  0.036   0.703   0.061
86  198.95  -70.94  22.555  0.052   0.713   0.078
87  1751.4  -70.71  24.632  0.364   1.032   0.458
88  1171.94 -69.43  23.753  0.102   0.916   0.162
89  1122.94 -68.58  19.603  0.015   2.058   0.026
90  967.4   -68.51  22.513  0.04    0.736   0.083
91  173.91  -68.08  22.903  0.083   0.898   0.139
92  360.69  -68.06  24.856  0.415   1.013   0.537
93  391.49  -67.81  22.165  0.035   0.62    0.064
94  1146.88 -67.73  24.212  0.163   0.927   0.254
95  916.16  -62.73  23.152  0.063   0.775   0.106
96  255.23  -62.64  23.905  0.134   0.844   0.209
97  686.97  -61.86  25.059  0.423   1.076   0.543
98  833.22  -61.32  24.767  0.273   1.086   0.386
99  83.14   -60.97  24.94   0.39    1.221   0.627
100 1935.04 -59.8   24.428  0.238   0.885   0.347
101 546.93  -59.31  21.544  0.018   0.489   0.038
102 588.74  -59.29  24.364  0.168   1.118   0.248
103 1274.48 -59.17  23.61   0.076   0.822   0.132
104 2124.2  -58.67  23.749  0.13    0.862   0.213
105 695.28  -58.62  21.877  0.03    0.443   0.06
106 1843.87 -58.49  19.939  0.035   0.085   0.056
107 1969.12 -58.23  22.518  0.046   0.665   0.093
108 1666.24 -58.02  23.628  0.129   0.817   0.204
109 2222.32 -57.84  23.803  0.203   0.899   0.263
110 1414.87 -57.47  22.667  0.071   0.711   0.121
111 838.22  -56.49  24.279  0.17    0.96    0.252
112 785.82  -55.15  24.856  0.425   1.072   0.596
113 642.48  -55.14  22.907  0.062   0.746   0.102
114 452.72  -54.59  24.111  0.123   0.956   0.229
115 344.85  -54.51  23.827  0.118   0.996   0.187
116 629.53  -53.56  23.239  0.077   0.886   0.115
117 2279.69 -53.22  23.34   0.138   0.832   0.178
118 1223.6  -52.42  24.746  0.303   1.053   0.442
119 530.87  -52.21  24.972  0.423   1.249   0.513
120 2032.48 -52.13  21.768  0.041   0.432   0.073
121 1595.7  -52.12  22.231  0.067   0.698   0.096
122 1321.07 -51.93  23.106  0.07    0.867   0.113
123 960.46  -50.35  24.523  0.31    0.937   0.426
124 1879.81 -50.21  23.353  0.121   0.828   0.171
125 623.6   -49.92  23.157  0.077   0.83    0.121
126 1863.3  -48.01  21.363  0.048   0.486   0.078
127 139.33  -47.46  23.699  0.107   0.852   0.162
128 1101.6  -47.44  22.892  0.112   0.902   0.22
129 2084.39 -47.27  24.917  0.418   0.894   0.54
130 1076.73 -47.25  24.174  0.131   0.873   0.203
131 217.37  -47.01  23.182  0.064   0.929   0.105
132 732.16  -45.82  23.808  0.175   0.883   0.231
133 94.69   -45.76  23.217  0.075   0.874   0.118
134 1291.79 -45.27  24.489  0.271   0.945   0.376
135 1884.19 -44.81  23.851  0.113   1.044   0.177
136 1434.37 -42.14  23.317  0.084   0.783   0.142
137 66.63   -41.29  24.806  0.399   1.099   0.517
138 2313.15 -41.25  22.099  0.05    0.551   0.088
139 773.93  -41.14  23.736  0.208   0.88    0.26
140 1849.06 -40.94  22.169  0.066   0.58    0.099
141 2453.96 -40.91  21.394  0.036   0.622   0.069
142 1631.79 -39.58  22.88   0.053   0.77    0.098
143 1561.53 -38.7   19.015  0.01    0.087   0.022
144 1033.55 -38.53  22.444  0.034   0.686   0.06
145 2176.59 -38.35  21.09   0.031   0.385   0.061
146 2536.9  -38.32  21.177  0.051   2.746   0.071
147 1504.68 -37.7   23.226  0.066   0.771   0.115
148 1319.13 -37.62  24.913  0.344   1.045   0.478
149 469.32  -36.69  24.726  0.402   0.943   0.525
150 335.19  -35.07  24.578  0.386   1.139   0.512
151 2638.75 -35.07  24.168  0.255   0.919   0.366
152 335.13  -34.72  24.607  0.3 1.118   0.394
153 1363.08 -34.3   22.786  0.056   0.722   0.099
154 1873.99 -33.95  24.582  0.281   0.983   0.514
155 1435.19 -33.38  23.161  0.076   0.881   0.117
156 2651    -32.15  22.345  0.088   0.64    0.14
157 899.96  -31.78  23.161  0.094   0.815   0.132
158 970.28  -31.28  22.88   0.053   0.707   0.095
159 1752.74 -31.07  24.388  0.25    1.017   0.31
160 1019.83 -30.66  22.827  0.047   0.815   0.079
161 2462.73 -30.44  24.092  0.184   0.827   0.288
162 2335.93 -30.33  24.069  0.164   0.92    0.242
163 2209.47 -30.28  23.285  0.121   0.748   0.184
164 2183.54 -29.01  22.688  0.099   0.793   0.137
165 475.75  -28.95  24.829  0.461   0.926   0.591
166 2140    -28.35  23.664  0.165   0.857   0.255
167 597.04  -27.39  21.154  0.021   0.648   0.043
168 909.63  -27.04  23.765  0.109   0.903   0.212
169 2713.92 -26.52  23.447  0.18    0.955   0.273
170 411.48  -26.43  21.902  0.033   0.687   0.057
171 587 -25.67  24.966  0.403   1.103   0.506
172 347.05  -25.58  24.159  0.166   0.971   0.242
173 1781.93 -25.01  24.37   0.178   1.018   0.26
174 974.47  -24.71  22.062  0.032   0.533   0.074
175 1509.4  -24.58  21.489  0.032   0.344   0.081
176 2256.81 -24.15  23.451  0.114   0.803   0.191
177 937.56  -23.02  24.268  0.212   1.05    0.353
178 1870.18 -22.06  24.818  0.38    1.164   0.488
179 1099.96 -20.94  24.923  0.469   0.993   0.605
180 1795.53 -20.88  24.684  0.309   1.111   0.417
181 2449.84 -19.95  24.861  0.494   0.953   0.648
182 580.46  -19.33  23.228  0.074   0.871   0.137
183 1664.26 -19.21  24.959  0.482   1.078   0.694
184 1050.85 -18.91  23.822  0.112   0.893   0.176
185 1482.58 -18.67  23.047  0.083   0.794   0.122
186 147.62  -18.37  24.441  0.191   1.019   0.285
187 2064.13 -18.16  23.059  0.069   0.781   0.118
188 58.25   -17.19  24.246  0.188   0.864   0.283
189 222.56  -16.6   25.442  0.393   1.314   0.611
190 2685.84 -16.3   23.859  0.19    0.857   0.297
191 401.23  -16.13  21.406  0.024   0.315   0.045
192 888.55  -15.7   20.418  0.013   0.26    0.029
193 777.31  -15.67  17.644  0.012   -0.045  0.026
194 1539.88 -15.53  24.1    0.174   0.926   0.233
195 1846.8  -15.04  22.206  0.03    0.728   0.058
196 118.5   -14.55  23.117  0.074   0.815   0.119
197 269.47  -13.71  22.611  0.06    0.77    0.113
198 137.13  -13.53  24.016  0.18    0.939   0.247
199 1992.11 -13.43  22.671  0.053   0.758   0.085
200 3005.42 -11.94  22.061  0.037   0.659   0.076
201 2798.84 -11.45  23.039  0.1 0.762   0.143
202 2898.15 -10.7   22.166  0.056   0.555   0.091
203 1865.85 -10.45  23.524  0.119   0.795   0.182
204 1309.95 -10.44  23.509  0.133   0.862   0.189
205 1495.21 -10.38  23.696  0.095   0.955   0.16
206 2678.49 -10.08  23.986  0.202   0.836   0.312
207 1107.21 -9.38   21.635  0.03    0.414   0.06
208 2391.81 -8.12   24.746  0.364   0.887   0.511
209 1769.28 -8.1    22.389  0.052   0.804   0.081
210 663.35  -7.93   25.123  0.477   1.073   0.616
211 2905.19 -7.87   24.03   0.207   0.861   0.304
212 2606.23 -7.47   23.382  0.086   0.82    0.139
213 842.13  -7.16   19.507  0.016   0.093   0.032
214 2962.13 -7  24.507  0.331   0.876   0.512
215 90.57   -6.85   21.454  0.04    1.186   0.068
216 2404.77 -6.23   21.28   0.039   0.43    0.061
217 2138.49 -5.98   23.73   0.093   0.836   0.161
218 1280.05 -5.85   21.961  0.037   0.569   0.062
219 1035.77 -5.28   22.957  0.085   0.825   0.137
220 2047.73 -3.8    23.348  0.089   0.955   0.121
221 701.84  -3.46   23.917  0.124   0.835   0.188
222 2892.73 -3.4    21.71   0.042   0.634   0.078
223 483.4   -3.29   23.929  0.159   0.883   0.226
224 2091.36 -2.19   23.838  0.105   0.878   0.154
225 2192.05 -1.32   21.459  0.026   0.517   0.043
226 1334.33 -1.23   21.651  0.032   0.44    0.054
227 2676.12 -1.18   21.35   0.03    0.413   0.061
228 3056.81 -0.94   20.785  0.042   0.572   0.082
229 2479.01 -0.38   23.717  0.195   0.915   0.237
230 697.57  -0.19   24.45   0.204   1.149   0.291
231 945.21  -0.05   23.304  0.076   0.757   0.123
232 1726.09 0.14    24.977  0.23    0.986   0.34
233 1790.1  0.62    22.723  0.047   0.672   0.083
234 1100.3  0.93    21.71   0.027   0.682   0.052
235 445.23  1.69    24.905  0.274   1.13    0.394
236 781.9   2.45    24.951  0.325   1.077   0.445
237 476.43  2.7 24.945  0.478   1.065   0.611
238 160.94  3   21.446  0.019   0.345   0.045
239 1059.43 4.34    23.995  0.164   0.861   0.27
240 1319.89 4.39    24.206  0.135   1.001   0.214
241 599.09  5.05    24.977  0.377   1.014   0.527
242 2542.06 5.49    21.596  0.029   0.557   0.063
243 1860.96 5.77    23.942  0.151   0.87    0.215
244 78.02   5.82    23.412  0.098   0.909   0.151
245 1742.57 5.87    21.628  0.036   0.448   0.056
246 2777.16 6.69    24.03   0.195   0.898   0.303
247 2492.03 6.77    22.459  0.106   0.771   0.137
248 1459.46 7.04    19.584  0.012   0.403   0.025
249 1877.04 7.11    20.997  0.017   0.28    0.037
250 956.47  7.38    23.728  0.096   0.77    0.163
251 2698.96 7.48    24.813  0.395   0.97    0.526
252 549.28  8.5 24.007  0.118   0.851   0.193
253 2928.84 8.66    19.063  0.02    1.3 0.039
254 2514.65 8.72    20.26   0.077   0.39    0.098
255 1261.03 8.84    21.468  0.024   0.674   0.041
256 1268.83 9.04    23.707  0.095   0.804   0.161
257 2741    9.2 23.138  0.071   0.763   0.123
258 2589.07 9.24    22.353  0.073   0.58    0.108
259 2437.67 9.55    23.294  0.068   0.804   0.133
260 2358.79 9.8 21.152  0.015   0.526   0.035
261 1838.75 9.91    24.233  0.182   1.096   0.286
262 982.31  10.53   24.282  0.207   1   0.284
263 1421.83 10.74   24.194  0.156   0.993   0.225
264 1846.03 10.75   24.941  0.384   0.887   0.612
265 1818.02 10.86   23.171  0.067   0.811   0.102
266 1392.08 10.89   24.279  0.123   0.914   0.186
267 1392.38 10.95   24.279  0.153   0.914   0.216
268 843.16  11.03   25.12   0.365   1.131   0.497
269 617.77  11.12   22.984  0.07    0.863   0.11
270 2656.05 11.19   21.425  0.032   0.356   0.065
271 2084.44 11.33   21.598  0.047   0.419   0.078
272 1020.11 12.15   23.389  0.086   0.762   0.139
273 3366.62 12.35   21.755  0.05    0.443   0.092
274 2573    12.5    22.781  0.047   0.723   0.085
275 3016.13 13.4    24.139  0.24    0.826   0.347
276 624.11  13.43   24.381  0.207   0.948   0.291
277 1163.44 14.05   23.245  0.084   0.829   0.124
278 3374.31 14.14   23.336  0.083   0.8 0.164
279 1724.06 14.14   25.338  0.459   1.134   0.609
280 1533.22 14.21   21.646  0.019   0.91    0.035
281 473.46  14.26   22.891  0.046   0.862   0.072
282 336.45  14.27   20.578  0.015   0.21    0.031
283 417.09  14.44   19.533  0.016   1.216   0.026
284 345.42  14.86   21.105  0.023   1.19    0.039
285 386.74  15.33   24.037  0.161   0.914   0.237
286 386.79  15.64   24.037  0.242   0.914   0.318
287 3084.77 15.86   24.969  0.473   0.888   0.62
288 2076.79 16.28   20.179  0.019   1.063   0.033
289 991.96  16.55   23.872  0.157   0.864   0.219
290 2052.87 17.44   24.109  0.214   0.893   0.284
291 2688.73 17.75   23.512  0.112   0.718   0.183
292 1660.43 17.76   22.275  0.041   0.629   0.062
293 3356.24 18.7    21.21   0.04    0.623   0.057
294 1127.01 19.43   18.825  0.012   1.112   0.026
295 1686.22 19.52   24.134  0.258   0.853   0.354
296 2238.54 20.37   24.109  0.203   0.827   0.28
297 3333.38 20.43   25.089  0.358   1.027   0.585
298 2709.65 21.4    24.819  0.392   1.04    0.564
299 666.68  21.83   24.516  0.183   0.984   0.288
300 2033.2  21.89   23.389  0.097   0.833   0.126
301 1712.7  21.95   22.915  0.064   0.828   0.119
302 293.8   22.25   24.953  0.289   1.233   0.395
303 833.94  22.59   23.54   0.099   0.875   0.201
304 485.2   22.75   23.719  0.112   0.79    0.175
305 2944.99 22.9    22.968  0.111   0.766   0.173
306 2886.4  24.93   22.243  0.062   0.678   0.115
307 3346.79 24.99   23.55   0.106   0.787   0.191
308 1069.67 25  24.579  0.326   0.967   0.428
309 875.49  26.06   21.294  0.027   0.551   0.047
310 608.49  26.18   22.769  0.055   0.85    0.093
311 3677.37 26.41   22.234  0.06    0.96    0.085
312 2119.32 27.17   23.797  0.133   0.939   0.187
313 1108.48 27.61   22.227  0.04    0.582   0.071
314 1732.86 27.64   24.374  0.203   1.084   0.286
315 593.47  27.83   23.539  0.103   0.946   0.148
316 1167.49 28.05   25.187  0.478   0.95    0.694
317 552.02  28.58   24.492  0.264   0.999   0.335
318 2297.84 28.76   23.922  0.141   0.909   0.194
319 1412.51 28.9    24.09   0.144   0.983   0.201
320 946.11  29.09   23.089  0.058   0.812   0.101
321 638.78  29.19   25.014  0.322   0.964   0.44
322 3023.55 30.03   23.248  0.156   0.761   0.225
323 2537.62 30.47   23.959  0.158   0.745   0.247
324 1287.63 30.49   24.761  0.257   1.006   0.36
325 1131.8  30.56   20.652  0.016   0.207   0.029
326 2495.16 31.41   21.917  0.029   0.566   0.086
327 2787.34 32.35   23.608  0.095   0.752   0.156
328 2597.73 32.4    24.083  0.147   0.918   0.211
329 168.76  32.59   24.539  0.242   0.984   0.32
330 1603.76 33.45   21.114  0.022   0.673   0.036
331 2415.84 33.63   22.651  0.045   0.691   0.095
332 2616.38 33.97   23.719  0.106   0.803   0.162
333 3587.46 34.6    23.148  0.09    0.866   0.236
334 428.94  34.85   21.621  0.041   0.536   0.066
335 1683.61 34.98   22.265  0.043   0.708   0.069
336 3140.61 35.79   18.915  0.016   0.102   0.027
337 1384.46 35.8    24.027  0.16    0.967   0.234
338 204.09  36.14   24.131  0.145   0.887   0.239
339 2201.65 36.17   22.506  0.055   0.801   0.081
340 1838.06 36.95   23.196  0.076   0.9 0.107
341 3495.82 37  24.436  0.221   0.947   0.342
342 986.01  37.32   21.806  0.03    0.483   0.062
343 1852.45 37.37   23.74   0.115   0.831   0.205
344 1082.33 37.46   22.846  0.054   0.828   0.083
345 2729.08 38.08   24.313  0.203   0.856   0.296
346 1750.93 38.51   24.074  0.156   0.911   0.248
347 1653    38.81   22.413  0.048   0.689   0.076
348 865.87  38.84   20.647  0.031   0.837   0.066
349 3445.17 39.04   22.378  0.067   0.683   0.16
350 580.81  39.06   23.849  0.195   0.881   0.267
351 1101.97 39.9    24.081  0.187   0.883   0.269
352 3896.23 40.25   23.206  0.106   0.785   0.161
353 2709.25 40.4    24.949  0.49    0.893   0.618
354 2592.57 40.61   24.788  0.351   0.936   0.481
355 960.57  40.68   22.623  0.055   0.829   0.087
356 2308.65 40.74   21.524  0.022   0.485   0.043
357 2592.66 40.98   24.788  0.431   0.936   0.561
358 3413.77 41.1    23.704  0.177   0.775   0.286
359 714.17  41.17   23.058  0.08    0.751   0.126
360 46.08   41.28   24.601  0.253   1.078   0.352
361 1346.67 41.54   24.302  0.186   0.952   0.283
362 1734.43 41.84   24.407  0.191   0.953   0.335
363 1141.49 41.93   22.63   0.049   0.699   0.079
364 3460.9  42.11   22.292  0.061   0.627   0.104
365 2007.45 42.81   23.882  0.121   0.825   0.178
366 1065.82 43.22   20.686  0.017   0.22    0.038
367 1385.52 44.05   23.916  0.145   0.904   0.22
368 488.99  44.06   24.054  0.147   0.867   0.227
369 220.59  44.19   22.017  0.031   0.728   0.053
370 157.17  44.85   22.596  0.051   0.662   0.09
371 1864.04 45.66   24.251  0.136   0.957   0.235
372 3212.96 45.86   23.087  0.097   0.775   0.16
373 3298.75 46.71   24.774  0.301   0.978   0.448
374 3780.62 47.22   23.913  0.183   0.898   0.285
375 2903.34 47.64   24.171  0.164   0.982   0.238
376 1851.73 47.74   23.267  0.068   0.799   0.117
377 1448.83 47.8    24.954  0.417   1.152   0.537
378 623.19  48.81   19.85   0.013   0.253   0.027
379 2539.7  49.16   23.169  0.101   0.799   0.149
380 3987.54 49.8    23.164  0.092   0.71    0.162
381 2158.74 50.41   24.125  0.142   1.076   0.204
382 2125.5  50.74   23.643  0.083   0.822   0.144
383 1495.49 51.28   24.944  0.473   1.106   0.571
384 532.36  51.48   24.566  0.357   0.986   0.45
385 548.72  51.53   20.857  0.021   0.222   0.041
386 1495.36 51.61   24.976  0.307   1.153   0.44
387 588.25  51.77   21.955  0.041   1.043   0.065
388 1427.96 51.88   22.459  0.043   0.653   0.075
389 3471.9  51.9    22.793  0.092   0.657   0.149
390 91.07   52.33   24.456  0.261   0.97    0.43
391 1380.73 52.34   23.668  0.109   0.839   0.159
392 1800.08 52.48   22.335  0.056   0.676   0.084
393 2586.1  52.71   20.541  0.013   0.142   0.04
394 2669.9  52.74   21.634  0.031   0.368   0.067
395 2193.77 53.15   23.356  0.08    0.925   0.149
396 355.4   53.26   23.807  0.199   0.879   0.294
397 2135.5  53.77   24.677  0.241   1.204   0.32
398 111.41  54.25   23.214  0.063   0.805   0.115
399 907.81  54.43   23.164  0.072   0.823   0.109
400 874.52  54.53   23.866  0.151   0.934   0.216
401 2433.9  54.69   22.521  0.037   0.65    0.064
402 3952.92 54.74   22.667  0.056   0.63    0.097
403 3155.18 55.19   21.319  0.02    0.383   0.039
404 3115.98 56.06   23.02   0.065   0.781   0.1
405 1276.91 56.25   25.07   0.438   1.03    0.569
406 1128.99 56.28   24.119  0.173   0.891   0.234
407 1040.96 56.58   20.309  0.013   0.475   0.027
408 2119.67 57.06   24.687  0.223   1.2 0.369
409 1983.69 57.35   24.255  0.247   1.021   0.317
410 70.42   57.37   22.551  0.068   0.705   0.096
411 2399    57.51   24.225  0.186   0.968   0.241
412 2274.89 57.58   25.208  0.462   1.322   0.595
413 1911.07 57.74   23.187  0.123   0.744   0.162
414 2770.91 57.85   23.767  0.093   0.884   0.171
415 2307.54 58.12   22.827  0.057   0.724   0.096
416 819.02  58.13   24.045  0.146   0.911   0.218
417 1463.9  60.52   23.547  0.117   0.943   0.164
418 4031.41 60.59   24.59   0.35    0.851   0.494
419 2792.29 60.76   22.827  0.066   0.727   0.113
420 1304.74 60.78   23  0.106   0.786   0.142
421 919.32  60.89   23.47   0.096   0.812   0.148
422 3926.3  60.93   18.61   0.012   0.042   0.024
423 737.88  60.95   23.871  0.191   0.945   0.243
424 2287.47 61.2    23.593  0.123   0.783   0.178
425 2628.55 61.37   23.578  0.094   0.873   0.15
426 1455.33 61.56   24.454  0.243   1.023   0.341
427 1477.89 61.7    24.322  0.188   1.022   0.358
428 1621.22 61.89   23.345  0.088   0.743   0.126
429 540.48  62.18   22.549  0.04    0.764   0.065
430 1621.24 62.2    23.372  0.071   0.77    0.109
431 3403.83 62.42   23.169  0.089   0.843   0.152
432 2227.56 62.63   21.548  0.025   0.44    0.046
433 2859.26 62.65   23.317  0.069   0.759   0.11
434 2859.57 62.67   23.317  0.089   0.759   0.13
435 3482.75 62.77   21.444  0.04    0.663   0.07
436 1013.66 62.78   23.588  0.186   0.826   0.224
437 2568.64 62.81   22.863  0.075   0.73    0.105
438 1564.85 62.99   23.464  0.105   0.817   0.155
439 270.59  63.29   24.289  0.308   0.996   0.4
440 3475.35 63.6    20.467  0.011   0.126   0.034
441 3011.49 63.74   25.034  0.469   1.099   0.577
442 3011.16 63.85   25.034  0.291   1.099   0.399
443 3018.94 63.87   24.187  0.208   0.876   0.288
444 3112.32 63.95   22.883  0.063   0.746   0.099
445 3296.79 64.23   22.245  0.045   0.612   0.073
446 2981.24 64.63   21.051  0.022   0.73    0.042
447 2602.87 64.9    21.117  0.035   0.558   0.103
448 911.21  65.15   23.197  0.067   0.805   0.11
449 1398.8  65.75   22.446  0.043   0.707   0.068
450 2719.91 66.69   24.406  0.17    0.92    0.257
451 230.15  67.1    22.732  0.086   1.132   0.109
452 1226.34 67.57   23.746  0.112   0.847   0.159
453 587.59  68  24.207  0.164   0.957   0.228
454 3757.57 68.27   21.883  0.036   0.599   0.074
455 399.68  68.5    23.935  0.137   0.821   0.201
456 2599.5  68.8    20.36   0.021   0.44    0.044
457 3719.71 69.32   21.84   0.043   0.694   0.07
458 694.77  69.4    23.882  0.127   0.986   0.199
459 2470.54 69.63   21.335  0.02    0.57    0.038
460 3959.25 70.57   24.381  0.311   0.866   0.421
461 351.52  70.75   23.463  0.141   0.888   0.218
462 1066.26 70.96   21.417  0.022   0.384   0.051
463 2843.5  71  24.602  0.233   1.02    0.363
464 561.58  71.7    25.23   0.376   1.056   0.504
465 2953.42 72.54   23.503  0.108   0.731   0.164
466 2937.75 72.94   19.945  0.019   1.154   0.027
467 974.95  72.96   21.095  0.023   0.506   0.037
468 1810.9  73.92   24.278  0.276   0.808   0.362
469 2547.14 74.88   20.35   0.026   0.365   0.057
470 3194.67 74.99   24.517  0.274   0.887   0.363
471 1928.03 75.31   24.91   0.276   1.068   0.377
472 3318.56 75.56   24.237  0.257   0.935   0.336
473 1854.01 75.59   24.556  0.243   0.911   0.342
474 2682.07 77.43   22.049  0.042   0.831   0.065
475 1295.58 77.59   22.008  0.039   1.052   0.062
476 1890.82 77.61   25.238  0.407   1.062   0.569
477 3479.74 77.76   21.986  0.058   1.028   0.077
478 3658.76 77.92   24.513  0.315   1.004   0.414
479 3179.29 78.1    20.103  0.01    0.111   0.021
480 3326.49 78.31   24.404  0.18    0.96    0.255
481 3003.03 79.42   22.122  0.037   0.696   0.065
482 514.03  79.68   22.493  0.07    0.816   0.101
483 2580.71 80.29   22.651  0.042   0.669   0.069
484 1163.09 80.35   22.492  0.057   0.698   0.102
485 230.98  80.37   25.23   0.49    0.986   0.679
486 2092.66 81.09   25.233  0.371   1.147   0.476
487 195.49  81.11   22.282  0.036   0.639   0.063
488 2890.48 81.25   24.2    0.194   0.815   0.442
489 4007.79 81.59   22.574  0.074   0.593   0.123
490 2982.38 81.82   23.836  0.151   0.835   0.216
491 2487.59 82.16   24.619  0.247   0.99    0.343
492 1901.59 82.32   23.434  0.096   0.792   0.154
493 2557.82 82.35   24.849  0.399   1.201   0.489
494 3380.08 82.4    23.458  0.094   0.823   0.148
495 3802.12 82.72   24.789  0.398   1.058   0.564
496 81.39   83.1    22.706  0.058   0.723   0.088
497 3016.53 83.65   22.12   0.04    0.561   0.068
498 3553.36 84.8    21.688  0.041   0.745   0.057
499 2613.21 85.39   19.472  0.016   1.086   0.024
500 2372.65 85.65   22.466  0.044   0.704   0.127
501 111.51  85.78   24.385  0.218   1.081   0.319
502 1465.18 86.01   20.592  0.015   0.406   0.028
503 3393.74 86.08   21.427  0.024   0.679   0.044
504 3142.01 86.15   24.766  0.228   1.023   0.343
505 2898.29 86.38   24.235  0.147   0.912   0.241
506 2380.37 86.64   24.305  0.172   1.026   0.255
507 3419.08 86.69   24.916  0.263   0.969   0.392
508 745.64  87.04   24.408  0.209   1.14    0.282
509 3808.05 87.17   21.681  0.042   0.868   0.066
510 1173.15 87.34   24.927  0.265   1.084   0.455
511 53.74   87.71   23.745  0.225   0.896   0.274
512 2571.99 89.11   24.668  0.196   0.996   0.289
513 4013.25 89.29   23.546  0.17    0.814   0.251
514 3715.54 89.31   22.204  0.041   0.543   0.069
515 2452.8  89.65   23.409  0.075   0.794   0.121
516 1403.15 89.65   24.258  0.133   0.959   0.234
