#
# Age1: log(age)_DB
# Age2: log(age)_asteca
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age      Mass1   e_mass    Mass2   e_mass  E_BV/VI  quality/class
#
H03   LMC     SL551   7.20   0.15   7.9    0.5     224.91       -1    400.0    200.0     -1.0        0
H03   SMC       L35   7.57   0.24   6.9    0.7     787.05       -1    600.0    300.0     -1.0        0
H03   LMC     SL579   7.57   0.54   7.0    0.3    1028.02       -1    600.0    200.0     -1.0        0
H03   LMC     SL218   7.22   0.15  8.85   0.05     487.53       -1   1000.0    300.0     -1.0        0
R05   SMC    H86-70   9.72   0.64  8.75   0.06      -1.00       -1   3000.0   1000.0     -1.0     -1.0
R05   SMC       L63   7.40   0.77   8.2    0.9      -1.00       -1    400.0    200.0     -1.0     -1.0
R05   SMC       L62   9.32   0.92   8.1   0.05      -1.00       -1   1200.0    200.0     -1.0     -1.0
R05   SMC       L50   7.94   2.28   7.9    0.2      -1.00       -1    600.0    200.0     -1.0     -1.0
R05   SMC      HW40   9.74   0.64   9.6    0.2      -1.00       -1   3800.0    800.0     -1.0     -1.0
R05   SMC       B39   9.07   1.48   8.9    0.9      -1.00       -1   1400.0    200.0     -1.0     -1.0
R05   SMC      HW55   9.15   0.84   9.2    0.7      -1.00       -1   1000.0    400.0     -1.0     -1.0
R05   SMC       L19   9.85   0.79  9.45   0.08      -1.00       -1   9000.0   1000.0     -1.0     -1.0
R05   SMC      HW67   9.10   1.10   9.3    0.7      -1.00       -1   1600.0    400.0     -1.0     -1.0
R05   SMC       L49   7.63   0.68   7.4    0.2      -1.00       -1    600.0    200.0     -1.0     -1.0
R05   SMC      HW22   9.64   0.76  9.85   0.09      -1.00       -1   2000.0   2000.0     -1.0     -1.0
R05   SMC      HW63   9.41   1.29  9.55   0.06      -1.00       -1   3000.0   1000.0     -1.0     -1.0
R05   SMC       L34   8.61   1.10  8.45   0.06      -1.00       -1   4200.0    900.0     -1.0     -1.0
R05   SMC       L30   8.12   0.70   8.0    1.0      -1.00       -1    800.0    300.0     -1.0     -1.0
R05   SMC       L58   9.02   0.86  9.05   0.07      -1.00       -1   5000.0   1000.0     -1.0     -1.0
R05   SMC       L45   7.35   0.76   8.0    0.3      -1.00       -1   1400.0    300.0     -1.0     -1.0
R05   SMC       L28   9.34   1.04   8.9   0.07      -1.00       -1   4000.0    800.0     -1.0     -1.0
R05   SMC      HW31   9.27   0.99   9.5   0.05      -1.00       -1   5400.0    700.0     -1.0     -1.0
R05   SMC       L72   7.72   3.13   7.8    0.3      -1.00       -1   3400.0    400.0     -1.0     -1.0
R05   SMC       L91   9.58   0.80   9.6   0.06      -1.00       -1  18000.0   3000.0     -1.0     -1.0
R05   SMC       L27   9.75   0.67  9.45   0.06      -1.00       -1  13000.0   4000.0     -1.0     -1.0
R05   SMC      HW41   9.55   0.87   9.6    0.2      -1.00       -1  13000.0   6000.0     -1.0     -1.0
R05   SMC      HW47   9.91   0.68   9.2    0.1      -1.00       -1   1400.0    700.0     -1.0     -1.0
R05   SMC       L35   7.85   1.24   6.9    0.7      -1.00       -1    600.0    300.0     -1.0     -1.0
C06   SMC       B47   8.40   0.50   8.9    0.8      -1.00       -1   1200.0    300.0     0.08        C
C06   SMC    H86-70   8.80   0.30  8.75   0.06      -1.00       -1   3000.0   1000.0      0.0        C
C06   SMC       L63   7.70   0.30   8.2    0.9      -1.00       -1    400.0    200.0     0.08        C
C06   SMC       L62   8.00   0.30   8.1   0.05      -1.00       -1   1200.0    200.0     0.08        C
C06   SMC       B39   8.60   0.30   8.9    0.9      -1.00       -1   1400.0    200.0     0.08        C
C06   SMC     BS121   7.90   0.50   9.6    0.2      -1.00       -1   3200.0    700.0     0.04        C
C06   SMC      BS88   8.90   0.30   9.1    0.1      -1.00       -1    400.0    400.0     0.08        C
C06   SMC    NGC294   8.60   0.30   8.8   0.06      -1.00       -1   8200.0    600.0     0.13        C
C06   SMC       L19   8.90   0.30  9.45   0.08      -1.00       -1   9000.0   1000.0     0.04        C
C06   SMC       L34   8.40   0.50  8.45   0.06      -1.00       -1   4200.0    900.0     0.08        C
C06   SMC       L30   8.00   0.30   8.0    1.0      -1.00       -1    800.0    300.0      0.2        C
C06   SMC       B34   8.80   0.30  9.05   0.07      -1.00       -1   3800.0    800.0      0.1        C
C06   SMC       L72   7.20   0.30   7.8    0.3      -1.00       -1   3400.0    400.0     0.08        C
C06   SMC    NGC419   8.60   0.50  8.95   0.05      -1.00       -1  28000.0   3000.0     0.08        C
C06   SMC      BS35   8.80   0.30   8.8    0.7      -1.00       -1    800.0    200.0     0.08        C
C06   SMC       L35   8.40   0.50   6.9    0.7      -1.00       -1    600.0    300.0     0.08        C
G10   LMC    BRHT4B   7.95   0.30  8.45   0.08      -1.00       -1     -1.0     -1.0     0.03       --
G10   LMC   BRHT45A   8.00   0.40   8.2    0.3      -1.00       -1     -1.0     -1.0     0.15       --
G10   SMC      B112   7.10   0.30   9.0    0.2      -1.00       -1     -1.0     -1.0     0.04       --
G10   SMC       L63   7.80   0.30   8.2    0.9      -1.00       -1     -1.0     -1.0     0.15       --
G10   LMC      HS38   8.40   0.40   8.8    0.5      -1.00       -1     -1.0     -1.0     0.05       --
G10   LMC   KMHK112   8.80   0.50   9.1   0.05      -1.00       -1     -1.0     -1.0      0.1       --
G10   SMC       L62   8.00   0.30   8.1   0.05      -1.00       -1     -1.0     -1.0     0.13       --
G10   SMC     BS265   8.80   0.30   9.1    0.9      -1.00       -1     -1.0     -1.0     0.05       --
G10   SMC       L50   7.70   0.30   7.9    0.2      -1.00       -1     -1.0     -1.0     0.04       --
G10   SMC      HW40   9.00   0.50   9.6    0.2      -1.00       -1     -1.0     -1.0     0.05       --
G10   SMC       B39   8.65   0.30   8.9    0.9      -1.00       -1     -1.0     -1.0     0.08       --
G10   SMC      HW55   9.00   0.50   9.2    0.7      -1.00       -1     -1.0     -1.0     0.08       --
G10   LMC   NGC1838   8.00   0.30   8.2    0.1      -1.00       -1     -1.0     -1.0     0.15       --
G10   SMC    NGC294   8.45   0.30   8.8   0.06      -1.00       -1     -1.0     -1.0      0.1       --
G10   LMC   KMHK229   8.10   0.50   9.1   0.09      -1.00       -1     -1.0     -1.0     0.15       --
G10   LMC     SL230   7.40   0.30   7.9   0.08      -1.00       -1     -1.0     -1.0     0.16       --
G10   SMC       L49   7.40   0.30   7.4    0.2      -1.00       -1     -1.0     -1.0      0.1       --
G10   SMC      HW22   8.85   0.50  9.85   0.09      -1.00       -1     -1.0     -1.0     0.08       --
G10   LMC   NGC1793   8.00   0.40   8.3    0.8      -1.00       -1     -1.0     -1.0      0.2       --
G10   LMC     SL505   8.80   0.50   8.9    0.1      -1.00       -1     -1.0     -1.0     0.15       --
G10   LMC   NGC1839   7.90   0.30   8.3    0.5      -1.00       -1     -1.0     -1.0      0.1       --
G10   LMC     SL678   8.80   0.50   9.1   0.07      -1.00       -1     -1.0     -1.0      0.1       --
G10   LMC      SL35   8.80   0.30   9.1   0.05      -1.00       -1     -1.0     -1.0     0.05       --
G10   LMC     SL555   8.80   0.50   9.3    0.2      -1.00       -1     -1.0     -1.0     0.02       --
G10   SMC      HW63   8.65   0.40  9.55   0.06      -1.00       -1     -1.0     -1.0      0.1       --
G10   LMC     SL674   8.80   0.50  9.45   0.05      -1.00       -1     -1.0     -1.0      0.1       --
G10   SMC       L34   8.35   0.40  8.45   0.06      -1.00       -1     -1.0     -1.0     0.09       --
G10   SMC      HW42   8.70   0.40   9.7    0.3      -1.00       -1     -1.0     -1.0      0.1       --
G10   SMC       L30   7.80   0.30   8.0    1.0      -1.00       -1     -1.0     -1.0      0.2       --
G10   LMC     SL397   7.80   0.30   8.0    0.6      -1.00       -1     -1.0     -1.0     0.15       --
G10   LMC      LW54   8.60   0.30  8.65   0.05      -1.00       -1     -1.0     -1.0     0.03       --
G10   LMC     SL290   8.30   0.40  8.95   0.08      -1.00       -1     -1.0     -1.0     0.08       --
G10   LMC    SL446A   8.80   0.50   9.5   0.05      -1.00       -1     -1.0     -1.0      0.1       --
G10   LMC     SL444   8.70   0.30   8.8   0.05      -1.00       -1     -1.0     -1.0     0.08       --
G10   LMC     SL132   8.60   0.40   9.1    0.8      -1.00       -1     -1.0     -1.0     0.03       --
G10   LMC      SL96   8.70   0.30  9.15   0.05      -1.00       -1     -1.0     -1.0     0.05       --
G10   LMC     SL162   8.60   0.30  9.15   0.07      -1.00       -1     -1.0     -1.0     0.15       --
