#
# http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J/AcA/50/337
#
#OGLE-CL    RAJ2000      DEJ2000      Rad l   logt   e   logt2   e  
#           "h:m:s"      "d:m:s"   arcsec     [yr]  [yr]  [yr]  [yr]
#
    113  05 06 54.55  -68 43 07.8     27     7.90  0.10  99.9 99.99
    114  05 06 55.72  -69 25 48.2     12     9.05  0.10  99.9 99.99
    115  05 06 57.14  -68 39 27.0     32     7.90  0.10  99.9 99.99
    116  05 06 58.34  -69 08 50.5     30     7.58  0.05  99.9 99.99
    117  05 06 59.17  -69 19 11.7     20     8.60  0.10  99.9 99.99
    118  05 07 08.54  -68 58 22.7     34     7.70  0.05  99.9 99.99
    119  05 07 10.92  -68 18 03.5     13     7.30  0.15  99.9 99.99
    120  05 07 11.38  -69 07 13.1     20     8.00  0.10  99.9 99.99
    121  05 07 18.75  -67 16 20.4     21     8.50  0.10  99.9 99.99
    123  05 07 20.75  -66 49 44.7      9     8.20  0.05  99.9 99.99
    124  05 07 28.07  -68 58 31.9     25     8.80  0.10  99.9 99.99
    125  05 07 29.76  -68 53 20.5     25     9.00  0.10  99.9 99.99
    126  05 07 30.27  -67 19 26.3     26     7.80  0.10  99.9 99.99
    127  05 07 31.93  -67 34 12.5     12     7.20  0.30  99.9 99.99
    128  05 07 35.25  -67 27 38.9     82 >   9.00 99.99  99.9 99.99
    129  05 07 38.63  -68 47 45.9     20     7.90  0.05  99.9 99.99
    132  05 07 51.03  -69 26 11.0     22     8.80  0.10  99.9 99.99
    133  05 07 55.46  -69 17 57.3     11     8.30  0.10  99.9 99.99
    134  05 07 55.81  -67 21 28.3     16     9.00  0.10  99.9 99.99
    136  05 08 06.57  -69 16 04.3     31     8.20  0.05  99.9 99.99
    137  05 08 11.34  -69 02 22.9     24     8.80  0.05  99.9 99.99
    139  05 08 27.66  -66 46 13.7     20     8.00  0.10  99.9 99.99
    140  05 08 34.99  -69 10 36.1     20     8.85  0.05  99.9 99.99
    141  05 08 43.59  -69 10 58.6     18     7.70  0.10   8.2 99.99
    142  05 08 45.79  -68 45 38.6     63     7.90  0.05  99.9 99.99
    143  05 08 45.90  -68 41 57.8     11     8.55  0.05  99.9 99.99
    144  05 08 53.74  -66 47 07.5      9 <   7.00 99.99  99.9 99.99
    145  05 08 54.55  -68 45 13.9     29     8.00  0.10  99.9 99.99
    146  05 08 56.85  -69 36 31.3     25     9.00  0.10  99.9 99.99
    149  05 09 12.95  -69 17 00.0     11     9.05  0.05  99.9 99.99
    150  05 09 13.36  -69 06 52.0     18     8.65  0.05  99.9 99.99
    152  05 09 14.74  -68 44 02.1     20     8.60  0.10  99.9 99.99
    153  05 09 14.75  -69 35 17.4     32 >   9.00 99.99  99.9 99.99
    154  05 09 20.10  -68 50 52.8     43     7.85  0.05  99.9 99.99
    155  05 09 24.99  -68 51 47.4     25     7.60  0.05  99.9 99.99
    156  05 09 28.43  -68 51 01.5     21     7.80  0.05  99.9 99.99
    157  05 09 30.39  -69 07 45.4     59     8.40  0.10  99.9 99.99
    158  05 09 40.19  -69 12 39.4     25     8.70  0.10  99.9 99.99
    159  05 09 42.27  -69 11 08.8     30     7.10  0.10  99.9 99.99
    160  05 09 42.92  -68 48 06.5     18     8.20  0.10  99.9 99.99
    161  05 09 45.66  -68 47 18.1     22     8.30  0.10  99.9 99.99
    162  05 09 49.23  -69 05 04.0     22     8.80  0.10  99.9 99.99
    163  05 09 55.81  -69 19 50.3      9     7.70  0.20  99.9 99.99
    164  05 09 56.09  -68 54 06.2    119 <   6.70 99.99  99.9 99.99
    165  05 09 57.09  -68 43 55.8     12     8.60  0.05  99.9 99.99
    167  05 09 59.75  -69 21 14.4     20     8.70  0.08  99.9 99.99
    168  05 10 02.77  -68 50 00.5     25     7.90  0.10   8.4 99.99
    170  05 10 11.15  -69 05 15.0     12     8.00  0.10  99.9 99.99
    171  05 10 13.42  -68 42 30.0     24     8.75  0.10  99.9 99.99
    172  05 10 16.22  -69 20 28.9     27     7.40  0.10  99.9 99.99
    173  05 10 18.54  -69 04 46.5     10     7.70  0.10  99.9 99.99
    174  05 10 18.79  -69 16 21.3      9     8.30  0.05  99.9 99.99
    176  05 10 20.23  -68 52 37.6     19     8.30  0.10  99.9 99.99
    177  05 10 22.56  -68 55 41.8     34     8.20  0.05  99.9 99.99
    178  05 10 27.87  -68 41 54.8     12     7.90  0.10  99.9 99.99
    179  05 10 29.73  -68 52 21.5     21     8.35  0.10  99.9 99.99
    180  05 10 30.90  -68 56 03.1     27     8.00  0.20  99.9 99.99
    182  05 10 32.11  -66 56 24.1     10     7.50  0.10  99.9 99.99
    183  05 10 32.91  -67 07 38.7     23     7.60  0.20  99.9 99.99
    184  05 10 35.82  -69 08 47.8     12     6.70  0.10  99.9 99.99
    185  05 10 39.07  -69 02 31.0     22     7.45  0.05  99.9 99.99
    186  05 10 39.29  -66 43 44.7      8     7.70  0.20  99.9 99.99
