#
# Glatt et al. (2010); http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J/A%2BA/517/A50
#
# l: limit uncertainty error flag
#
# q  : Class code as follows:
# 1 =	objects having Δ(log(age(yr)))<0.3
# 2 =	objects having 0.3 <Δ(Log(Age(yr)))<0.5
# 3 =	objects having Δ(Log(Age(yr)))>0.5
#
#
#Name    n  E(B-V)     R   l   Age  q   Age2   RAJ2000   DEJ2000    Vmag    e    SimbadName         Cross-ID                                      
#             mag   arcmin     [yr]     [yr]   "h:m:s"   "d:m:s"     mag   mag                                                                    
LMC0160 *   0.030   0.380     7.95 3  99.99  04 53 00  -69 37 25  12.640  0.10  KMHK207            KMHK207                                       
LMC0162     0.050   0.260     8.00 2  99.99  04 53 04  -66 13 36  15.060  0.12  KMHK195            KMHK195                                       
LMC0163     0.250   0.620     8.10 2  99.99  04 53 09  -68 12 41  11.790  0.10  [SL63] 76          SL76,KMHK206                                  
LMC0165 *   0.150   0.520     7.70 1  99.99  04 53 11  -68 39 01  12.050  0.12  NGC1732            NGC1732,SL77,ESO56SC17,KMHK209                
LMC0166     0.150   0.170     7.60 1  99.99  04 53 27  -68 57 15  14.890  0.12  H88 14             H88-14,H80F1-13                               
LMC0167 *   0.100   0.280     7.80 2  99.99  04 53 29  -68 45 53  14.270  0.12  BSDL169            BSDL169                                       
LMC0168 *   0.050   0.570     8.30 2  99.99  04 53 33  -68 46 05  12.910  0.12  NGC1734            NGC1734,SL83,ESO56SC18,KMHK221                
LMC0169 *   0.050   0.340     6.80 3  99.99  04 53 35  -66 55 25  12.290  0.12  KMHK212            KMHK212                                       
LMC0170     0.090   0.250     8.70 3  99.99  04 53 36  -67 38 19  14.940  0.12  BSDL167            BSDL167                                       
LMC0171     0.050   0.430     8.10 1  99.99  04 53 44  -66 36 50  13.710  0.11  KMHK215            KMHK215                                       
LMC0172     0.050   0.250     7.90 2  99.99  04 53 49  -66 49 20  14.530  0.12  KMHK222            KMHK222                                       
LMC0174     0.050   0.280     8.50 2  99.99  04 54 00  -68 37 57  15.410  0.12  KMHK230            H88-17,H80F1-14,KMHK230                       
LMC0175     0.050   0.380     7.20 3  99.99  04 54 01  -69 59 46  12.280  0.11  KMHK237            KMHK237                                       
LMC0181     0.050   0.250     7.60 2  99.99  04 54 12  -66 14 55  13.270  0.12  [HS66] 58          HS58,KMHK226                                  
LMC0183     0.009   0.820     7.70 1  99.99  04 54 20  -67 06 01  10.710  0.10  NGC1735            NGC1735,SL86,ESO85SC15,KMHK234                
LMC0186     0.130   0.430     7.90 2  99.99  04 54 26  -68 27 39  13.850  0.11  KMHK245            KMHK245                                       
LMC0187     0.150   0.280     7.80 1  99.99  04 54 27  -68 31 02  13.160  0.12  KMHK244            H88-20,H80F1-16,KMHK244                       
LMC0189     0.150   0.600     8.00 1  99.99  04 54 42  -71 15 30  13.270  0.11  [SL63] 95          SL95,KMHK269                                  
LMC0190     0.030   0.330     7.90 1  99.99  04 54 42  -69 03 34  12.640  0.12  KMHK251            KMHK251                                       
LMC0191 *   0.050   0.430     8.00 2  99.99  04 54 44  -68 58 56  14.620  0.12  [HS66] 60          HS60,BRHT43a,KMHK252                          
LMC0192     0.030   0.520     8.10 1  99.99  04 54 45  -70 22 53  14.360  0.12  [SL63] 100         SL100,BH27C1,KMHK265                          
LMC0193     0.050   0.280     8.10 2  99.99  04 54 45  -69 49 26  15.400  0.09  KMHK258            KMHK258                                       
LMC0196     0.120   0.500     8.10 1  99.99  04 54 54  -71 23 27  14.530  0.12  [SL63] 103         SL103,KMHK277                                 
LMC0198 *   0.050   0.410     7.50 1  99.99  04 54 56  -70 36 15  13.580  0.12  [SL63] 102         SL102,HS62,BRHT44a,KMHK275                    
LMC0200     0.200   0.700     8.10 1  99.99  04 54 56  -68 11 20  13.420  0.10  NGC1749            NGC1749,SL93,ESO56SC26,KMHK254                
LMC0202     0.050   0.410     8.70 1  99.99  04 55 01  -67 42 51  15.530  0.11  [SL63] 96          SL96,H88-25,KMHK256                           
LMC0203     0.080   0.330     7.50 2  99.99  04 55 04  -69 27 43  13.320  0.11  KMHK271            KMHK271                                       
LMC0204     0.080   0.250     7.50 1  99.99  04 55 05  -69 03 29  12.300  0.12  KMHK270            KMHK270                                       
LMC0205     0.050   0.800     7.70 1  99.99  04 55 06  -69 40 26  11.320  0.09  [SL63] 106         SL106,KMHK276                                 
LMC0207 *   0.030   0.250     8.55 1  99.99  04 55 07  -70 35 31  17.100  0.12  BRHT44b            BRHT44b                                       
LMC0209     0.030   0.310     8.30 1  99.99  04 55 09  -68 41 45  14.230  0.12  H88 28             H88-28,H80F1-22                               
LMC0210     0.030   0.430     7.80 2  99.99  04 55 09  -67 03 13  13.910  0.10  [SL63] 101         SL101,KMHK261                                 
LMC0211 *   0.050   0.380     8.30 2  99.99  04 55 11  -67 29 51  15.650  0.12  [HS66] 61          HS61,KMHK266                                  
LMC0212     0.050   0.490     8.40 1  99.99  04 55 14  -71 06 16  14.840  0.11  [SL63] 108         SL108,KMHK287                                 
LMC0213     0.300   1.020     7.40 1  99.99  04 55 14  -68 12 17   9.385  0.10  NGC1755            NGC1755,SL99,ESO56SC28,KMHK272                
LMC0215     0.080   0.380     7.70 3  99.99  04 55 17  -66 48 21  12.820  0.12  KMHK267            KMHK267                                       
LMC0218     0.100   0.700     8.00 1  99.99  04 55 24  -68 32 29  12.050  0.12  [SL63] 105         SL105,KMHK280                                 
LMC0219     0.100   0.310     7.70 1  99.99  04 55 24  -67 03 42  13.160  0.10  KMHK273            KMHK273                                       
LMC0220 *   0.150   0.200     8.20 2  99.99  04 55 26  -68 50 20  15.110  0.12  H88 30             H88-30,H80F1-24                               
LMC0222     0.100   0.300     8.00 2  99.99  04 55 27  -70 53 33  14.460  0.10  [HS66] 67          HS67,KMHK296                                  
LMC0224     0.150   0.440     8.10 1  99.99  04 55 30  -68 53 01  13.760  0.12  [HS66] 65          HS65,H88-31,H80F1-25,KMHK283                  
LMC0226 *   0.080   0.500     7.50 1  99.99  04 55 32  -69 29 45  12.580  0.11  [SL63] 109         SL109,KMHK290                                 
LMC0227 *   0.150   0.250     7.40 1  99.99  04 55 32  -69 30 38  12.320  0.11  KMHK289            KMHK289                                       
LMC0228     0.100   0.520     7.20 1  99.99  04 55 35  -69 26 53  10.720  0.11  KMHK292            KMHK292                                       
LMC0229     0.100   0.570     8.50 3  99.99  04 55 39  -70 32 48  13.670  0.12  KMHK300            KMHK300                                       
LMC0233 *   0.080   0.570     8.10 1  99.99  04 55 42  -71 25 01  12.810  0.12  [SL63] 111         SL111,BRHT25a,KMHK303                         
LMC0234     0.080   0.400     8.10 1  99.99  04 55 44  -69 09 24  13.470  0.12  [SL63] 110         SL110,KMHK294                                 
LMC0235     0.300   0.380     8.10 2  99.99  04 55 45  -68 16 52  14.230  0.10  [SL63] 107         SL107,KMHK291                                 
LMC0236     0.100   0.260     8.00 1  99.99  04 55 45  -68 33 03  15.630  0.12  KMHK293            H88-36,H80F1-28,KMHK293                       
LMC0239     0.100   0.260     7.50 1  99.99  04 55 52  -69 42 21  12.180  0.09  BSDL268            BSDL268                                       
LMC0241 *   0.100   0.330     8.10 1  99.99  04 55 55  -71 24 58  13.680  0.12  BRHT25b            BRHT25b,KMHK312                               
LMC0243     0.080   0.480     7.90 1  99.99  04 55 57  -70 13 32  12.220  0.12  NGC1766            NGC1766,SL113,ESO56SC29,:KMHK304              
LMC0244 *   0.150   0.380     7.30 1  99.99  04 56 07  -69 14 50  11.630  0.12  [SL63] 114         SL114,KMHK305                                 
LMC0247     0.100   0.850     8.10 2  99.99  04 56 22  -68 58 00  11.600  0.12  [SL63] 117         SL117,KMHK314                                 
LMC0248     0.100   0.670     7.80 1  99.99  04 56 24  -68 48 14  12.110  0.12  [SL63] 116         SL116,KMHK315                                 
LMC0249 *   0.130   0.300     7.60 2  99.99  04 56 25  -67 56 21  12.920  0.09  BRHT60b            BRHT60b,H88-41,KMHK309s                       
LMC0250 *   0.130   0.620     7.30 2  99.99  04 56 27  -69 24 12  10.090  0.12  NGC1767            NGC1767,SL120,ESO56SC31,KMHK318               
LMC0251 *   0.100   0.220     7.50 2  99.99  04 56 27  -67 55 57  12.510  0.09  BRHT60a            BRHT60a,KMHK309n                              
LMC0252     0.100   0.550     7.80 1  99.99  04 56 28  -67 41 41  12.490  0.11  NGC1764            NGC1764,SL115,ESO56SC30,:KMHK308              
LMC0256 *   0.080   0.570     7.80 2  99.99  04 56 33  -69 22 11  12.600  0.12  [SL63] 123         SL123,KMHK320                                 
LMC0257     0.080   0.290     8.10 3  99.99  04 56 33  -67 01 03  15.680  0.11  KMHK311            KMHK311                                       
LMC0258     0.060   0.480     7.30 1  99.99  04 56 34  -66 28 25  10.730  0.11  HD32228            HD32228,KMHK307                               
LMC0263     0.100   0.300     8.00 1  99.99  04 56 39  -68 38 05  14.240  0.13  KMHK319            H88-46,H80F1-31,KMHK319                       
LMC0264     0.100   0.290     8.00 1  99.99  04 56 39  -68 40 01  13.950  0.13  KMHK321            H88-45,H80F1-30,KMHK321                       
LMC0265     0.100   0.250     7.00 3  99.99  04 56 41  -69 27 55  12.580  0.11  BSDL295            BSDL295                                       
LMC0267     0.100   0.350     7.90 1  99.99  04 56 45  -69 26 21  13.800  0.12  H88 43             H88-43,H80F1-32                               
LMC0269     0.150   0.380     7.90 1  99.99  04 56 50  -71 24 53  14.240  0.12  [HS66] 75          HS75,KMHK347                                  
LMC0272 *   0.250   0.250     7.60 2  99.99  04 56 52  -68 00 20  13.370  0.09  BRHT45b            BRHT45b                                       
LMC0273     0.250   0.720     7.60 1  99.99  04 56 53  -69 33 22  10.740  0.10  NGC1772            NGC1772,SL128,ESO56SC33,KMHK334               
LMC0275 *   0.150   0.310     8.00 2  99.99  04 56 54  -68 00 08  13.050  0.09  [HS66] 72          HS72,BRHT45a,KMHK326                          
LMC0277 *   0.250   0.300     7.80 2  99.99  04 57 02  -68 14 56  13.250  0.10  NGC1768            NGC1768,SL127,ESO56SC32,KMHK331               
LMC0278 *   0.080   0.310     7.80 3  99.99  04 57 04  -66 42 35  15.890  0.12  KMHK325            KMHK325                                       
LMC0279     0.080   0.290     8.20 2  99.99  04 57 05  -67 24 50  14.180  0.11  [HS66] 73          HS73,KMHK330                                  
LMC0280     0.080   0.290     8.40 2  99.99  04 57 07  -67 49 48  15.650  0.10  KMHK333            H88-48,KMHK333                                
LMC0281     0.150   0.200     8.30 1  99.99  04 57 08  -70 06 42  14.990  0.12  BSDL320            BSDL320                                       
LMC0282 *   0.030   0.330     8.00 1   8.40  04 57 10  -66 41 48  13.980  0.12  KMHK329            KMHK329                                       
LMC0283     0.030   0.380     8.40 2  99.99  04 57 13  -66 53 05  15.020  0.12  KMHK332            KMHK332                                       
LMC0286     0.030   0.500     8.60 2  99.99  04 57 26  -67 41 07  17.650  0.11  [SL63] 132         SL132,KMHK348                                 
LMC0287     0.030   0.430     8.50 2  99.99  04 57 27  -65 49 30  13.820  0.11  [SL63] 131         SL131,KMHK336                                 
LMC0291     0.050   0.250     7.90 2  99.99  04 57 43  -66 24 30  14.480  0.12  BSDL322            BSDL322                                       
LMC0293     0.220   0.570     7.20 1  99.99  04 57 51  -69 23 35  10.200  0.13  NGC1782            NGC1782,SL140,ESO56SC36,KMHK363               
LMC0294     0.150   0.380     8.40 1  99.99  04 57 52  -65 28 29  14.660  0.14  LW102              LW102,KMHK350                                 
LMC0295     0.030   0.500     8.30 2  99.99  04 57 53  -66 43 35  14.610  0.12  [SL63] 138         SL138,KMHK354                                 
LMC0296     0.050   0.520     8.70 1  99.99  04 57 55  -65 48 56  15.000  0.11  LW103              LW103,KMHK353                                 
LMC0299     0.080   0.800     7.70 1  99.99  04 58 06  -67 14 32  10.350  0.09  NGC1774            NGC1774,SL141,ESO85SC26,KMHK360               
LMC0309 *   0.080   0.250     7.40 1  99.99  04 58 22  -69 48 11  12.050  0.10  KMHK378            KMHK378                                       
LMC0312     0.050   0.620     8.10 1  99.99  04 58 39  -66 25 46  12.940  0.12  NGC1776            NGC1776,SL145,ESO85SC28,KMHK374               
