#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/ApJ/751/122/table1
#
# Age1: log(age), Hunter et al. (2003). 10.00 --> No age determination
# Age2: log(age), Glatt et al. 2010 (CMD age)
# E(B-V): Glatt et al. 2010, E(B-V) CMD color excess 
# Age: log(age), MASSCLEAN
# E, e: upper and lower uncertainties.
#
#Name                VMag     e      U-B     e      B-V     e      V-R     e     Age1   Age2   e    E(B-V)   Age    E     e     Mass   E     e    G10  SimbadName      _RA        _DE   
#                     mag    mag     mag    mag     mag    mag     mag    mag    [yr]   [yr]  [yr]    mag    [yr]  [yr]  [yr]   Msun  Msun  Msun                       deg        deg   
KMHK930            -4.887  0.018  -0.817  0.006  -0.129  0.018   0.043  0.043   6.67   7.70  0.30   0.100   7.33  0.11  0.07   1000   300   800    1  KMHK930      082.05000  -67.12167
BCDSP7             -5.475  0.010  -0.853  0.003  -0.001  0.010   0.016  0.024   6.62   7.70  0.40   0.050   7.33  0.50  0.18   1700  1500  1500    1  BCDSP7       082.94167  -68.55833
BSDL104            -6.045  0.008  -0.834  0.003  -0.127  0.008  -0.025  0.016   6.49   8.10  0.40   0.050   7.33  0.19  0.26   2500  1000  2300    1  BSDL104      072.79167  -69.39500
KMK88-40.H88-211   -7.048  0.006  -0.674  0.003   0.150  0.006   0.287  0.010   7.01   7.20  0.50   0.130   7.34  0.10  0.06   3500  1500   500    1  KMK88 40     078.14346  -69.28714
BSDL2786           -4.960  0.016  -0.803  0.006  -0.046  0.016  -0.080  0.038   6.70   7.40  0.40   0.130   7.34  0.04  0.02   1200   100   100    1  BSDL2786     085.23750  -69.46500
BSDL1938           -6.728  0.005  -0.632  0.004   0.489  0.006   0.722  0.008  10.00   7.60  0.30   0.050   7.34  0.02  0.03   2000     0   400    1  BSDL1938     082.33931  -69.00561
NGC1772.SL128      -8.260  0.006  -0.698  0.004   0.031  0.007   0.269  0.010   7.00   7.60  0.30   0.250   7.34  0.10  0.29  12000  3000  7500    1  NGC1772      074.22083  -69.55667
BSDL1760           -4.351  0.020  -0.868  0.006  -0.246  0.020  -0.045  0.053  10.00   7.90  0.50   0.020   7.34  0.07  0.40    250   550    50    1  BSDL1760     081.77500  -67.46000
SL114.KMHK305      -7.268  0.004  -0.770  0.002  -0.084  0.004   0.078  0.009   7.32   7.30  0.30   0.130   7.35  0.13  0.07   6500  1500   500    1  [SL63] 114   074.02917  -69.24667
M-OB1.H88-301      -8.154  0.010  -0.563  0.004   0.186  0.010   0.245  0.014   6.98   7.40  0.30   0.130   7.35  0.10  0.10   9500  2500  2500    1  [M87] OB1    084.56667  -69.06667
KMHK378            -6.900  0.005  -0.204  0.002   0.319  0.005   0.155  0.010  10.00   7.40  0.30   0.130   7.37  0.12  0.14   1400   600   450    1  KMHK378      074.59167  -69.80333
KMK88-60           -5.102  0.020  -0.804  0.009  -0.188  0.021  -0.136  0.046   6.54   7.50  0.50   0.130   7.38  0.03  0.09    700   400   100    1  KMK88 60     082.47917  -69.01333
BSDL1818           -6.985  0.005  -0.829  0.003  -0.041  0.006  -0.002  0.010   6.63   7.50  0.30   0.050   7.38  0.03  0.19   5500   500  3000    1  BSDL1818     081.90833  -69.14167
KMHK493            -5.158  0.015  -0.801  0.005  -0.104  0.015  -0.007  0.034   6.59   7.80  0.50   0.050   7.38  0.15  0.11   1300   400  1100    1  KMHK493      075.93750  -70.35333
SL237              -7.106  0.008  -0.545  0.006   0.106  0.010   0.200  0.013   7.18   7.30  0.30   0.180   7.39  0.30  0.04   3000  5000   800    1  [SL63] 237   076.74308  -69.14736
KMHK1002           -5.242  0.012  -0.796  0.004  -0.280  0.012  -0.102  0.028   6.69   7.70  0.30   0.110   7.39  0.08  0.24    900   800   700    1  KMHK1002     082.78333  -67.48333
KMHK289            -6.647  0.005  -0.124  0.003   0.443  0.006   0.246  0.009  10.00   7.40  0.30   0.130   7.40  0.01  0.02    750   350    50    1  KMHK289      073.88333  -69.51000
HS41.KMHK158       -5.081  0.015  -0.811  0.004  -0.179  0.015   0.041  0.035   6.63   7.90  0.30   0.050   7.40  0.18  0.15    950   750   750    1  [HS66] 41    072.87500  -67.45500
KMHK376            -5.985  0.013  -0.821  0.004  -0.121  0.013   0.012  0.030   6.69   8.10  0.40   0.150   7.40  0.42  0.31   2500  2000  2200    1  KMHK376      074.53333  -70.40333
KMK88-75           -5.395  0.011  -0.787  0.004  -0.145  0.011  -0.090  0.028  10.00   8.00  0.50   0.050   7.40  0.18  0.17   1500   700  1300    1  KMK88 75     083.37917  -69.38000
SL109.KMHK290      -6.399  0.009  -0.791  0.004  -0.153  0.009  -0.015  0.022   6.53   7.50  0.30   0.080   7.41  0.14  0.41   3500  1500  3300    1  [SL63] 109   073.88333  -69.49667
BSDL256            -4.329  0.035  -0.811  0.012  -0.227  0.035  -0.170  0.087  10.00   7.30  0.40   0.150   7.41  0.09  0.23    250   500    50    1  BSDL256      073.90417  -69.75500
KMHK1251           -5.889  0.009  -0.794  0.003  -0.081  0.009  -0.048  0.022   6.69   7.80  0.30   0.080   7.42  0.12  0.24   2500   500  2150    1  KMHK1251     085.52500  -68.36333
NGC2091.SL653      -7.366  0.006  -0.645  0.003   0.270  0.006   0.475  0.010   7.15   7.70  0.40   0.150   7.43  0.20  0.31   5500  3000  4850    1  NGC2091      085.24167  -69.43667
NGC2021.SL570      -6.590  0.008  -0.767  0.003  -0.212  0.008  -0.038  0.019   6.69   7.70  0.40   0.060   7.43  0.12  0.36   4500  1000  3850    1  NGC2021      083.37500  -67.45333
BSDL2726           -5.924  0.009  -0.784  0.004  -0.104  0.009   0.014  0.017   6.57   7.60  0.30   0.050   7.44  0.16  0.34   2500  1000  2250    1  BSDL2726     084.97917  -69.40667
NGC1704.SL50       -7.258  0.007  -0.441  0.003   0.248  0.007   0.232  0.014   7.19   7.50  0.30   0.050   7.45  0.28  0.15   4000  4000  1500    1  NGC1704      072.47917  -69.75500
SL498.KMHK943      -7.147  0.007  -0.674  0.003  -0.087  0.007   0.222  0.015   7.28   7.60  0.30   0.100   7.45  0.18  0.07   6500  2000  2000    1  [SL63] 498   082.14167  -67.22500
NGC1863.SL299      -7.925  0.006  -0.572  0.003   0.069  0.006   0.129  0.012   7.76   7.80  0.40   0.150   7.45  0.15  0.25   9500  5500  5000    1  NGC1863      077.91725  -68.72664
BRHT63a            -4.818  0.016  -0.759  0.007  -0.117  0.017  -0.012  0.036   6.58   7.80  0.30   0.100   7.45  0.21  0.12   1100   400   900    1  BRHT63a      083.62083  -67.45333
BRHT63b            -4.954  0.016  -0.764  0.006  -0.237  0.016  -0.067  0.041   6.71   7.80  0.40   0.150   7.45  0.14  0.16    750   850   550    1  BRHT63b      083.60833  -67.44667
SL123.KMHK320      -6.022  0.011  -0.744  0.005  -0.194  0.011  -0.072  0.023   6.70   7.80  0.40   0.080   7.45  0.21  0.35   2700  1300  2500    1  [SL63] 123   074.13750  -69.37000
KMHK270            -6.259  0.007  -0.654  0.003   0.193  0.007   0.326  0.013   7.02   7.50  0.30   0.130   7.46  0.03  0.10   2200   300   200    1  KMHK270      073.77083  -69.05833
BSDL1837           -6.092  0.008  -0.791  0.003  -0.082  0.008   0.039  0.017   6.69   7.80  0.30   0.100   7.47  0.17  0.39   3000  1000  2800    1  BSDL1837     081.96250  -69.22167
BRHT14b.KMHK1040   -6.616  0.006  -0.702  0.004   0.185  0.007   0.509  0.010   7.04   7.50  0.30   0.130   7.48  0.03  0.01   3000   500   300    1  BRHT14b      083.08333  -67.52833
NGC2093.SL657      -7.224  0.010  -0.638  0.004   0.170  0.010   0.305  0.019   7.00   7.70  0.40   0.100   7.48  0.15  0.14   6500  2500  2800    1  NGC2093      085.45417  -68.92167
BRHT60a.KMHK309n   -6.392  0.006  -0.038  0.003   0.133  0.006   0.097  0.012   7.19   7.50  0.40   0.130   7.49  0.01  0.13    750   100    50    1  BRHT60a      074.11250  -67.93333
KMHK251            -5.858  0.009  -0.735  0.003  -0.107  0.009  -0.052  0.020   6.49   7.90  0.30   0.030   7.50  0.13  0.30   2700   500  2100    1  KMHK251      073.67500  -69.06000
NGC1698            -7.509  0.007  -0.380  0.004   0.210  0.008   0.311  0.014   7.19   8.00  0.30   0.100   7.50  0.26  0.27   5500  4500  4100    1  NGC1698      072.26667  -69.11500
BSDL268            -6.586  0.006  -0.264  0.003   0.058  0.006   0.019  0.012   6.81   7.50  0.30   0.130   7.51  0.17  0.14   1900   600   400    1  BSDL268      073.96667  -69.70667
KMHK1174           -4.501  0.019  -0.745  0.007  -0.103  0.019   0.006  0.049   6.70   8.00  0.30   0.100   7.51  0.54  0.16    850   950   650    1  KMHK1174     084.68333  -68.44500
SL56.KMHK142       -6.781  0.007  -0.461  0.003   0.105  0.007   0.117  0.015   7.62   7.50  0.30   0.130   7.52  0.19  0.16   3200  1800  1000    1  [SL63] 56    072.63333  -70.07500
