#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/ApJ/751/122/table1
#
# Age1: log(age), Hunter et al. (2003). 10.00 --> No age determination
# Age2: log(age), Glatt et al. 2010 (CMD age)
# E(B-V): Glatt et al. 2010, E(B-V) CMD color excess 
# Age: log(age), MASSCLEAN
# E, e: upper and lower uncertainties.
#
#Name                VMag     e      U-B     e      B-V     e      V-R     e     Age1   Age2   e    E(B-V)   Age    E     e     Mass   E     e    G10  SimbadName      _RA        _DE   
#                     mag    mag     mag    mag     mag    mag     mag    mag    [yr]   [yr]  [yr]    mag    [yr]  [yr]  [yr]   Msun  Msun  Msun                       deg        deg   
SL395.KMHK793      -4.738  0.027  -0.068  0.013   0.319  0.028   0.242  0.052   8.77   8.30  0.30   0.100   8.41  0.14  0.44   2000   700  1500    1  [SL63] 395   079.99829  -70.66517
SL146.KMHK377      -4.968  0.028  -0.112  0.017   0.249  0.031   0.359  0.049  10.00   8.30  0.30   0.200   8.42  0.12  0.21   2700   800  1300    1  [SL63] 146   074.57083  -70.08000
HS32.KMHK111       -4.201  0.035  -0.110  0.014   0.102  0.036   0.120  0.077   8.50   8.30  0.30   0.200   8.45  0.05  0.17   1600   200   650    1  [HS66] 32    072.17083  -69.23000
HS38.KMHK148       -4.141  0.026  -0.076  0.012   0.265  0.027   0.202  0.054   8.39   8.40  0.40   0.050   8.45  0.10  0.29   1300   400   850    1  [HS66] 38    072.79583  -67.53500
H88-48             -3.791  0.037  -0.066  0.017   0.106  0.039   0.225  0.084   7.81   8.40  0.40   0.130   8.46  0.07  0.10   1000   300   200    1  H88 48       074.27917  -67.83000
KMHK1147           -3.292  0.045   0.132  0.024   0.424  0.048   0.510  0.076   8.80   8.30  0.50   0.050   8.53  0.37  0.26    450   650   250    1  KMHK1147     084.34583  -67.34667
BSDL167            -3.717  0.041   0.028  0.020   0.276  0.043   0.389  0.075   8.64   8.70  0.50   0.130   8.57  0.16  0.08   1100   400   300    1  BSDL167      073.40000  -67.63833
KMHK382            -4.123  0.038   0.046  0.023   0.380  0.042   0.309  0.068   8.92   8.50  0.40   0.130   8.57  0.06  0.06   1400   200   200    1  KMHK382      074.65000  -69.81500
SL31.LW53          -3.541  0.102  -0.062  0.055   0.389  0.108  -0.024  0.253  10.00   8.70  0.30   0.050   8.59  0.13  0.25    850   550   450    1  [SL63] 31    071.41875  -70.99000
H88-17.H80F1-14    -3.042  0.063  -0.001  0.032   0.289  0.067  -0.125  0.182   8.53   8.50  0.40   0.050   8.63  0.19  0.24    750   350   350    1  H88 17       073.50000  -68.63167
KMHK170            -4.481  0.079   0.112  0.047   0.436  0.085   0.599  0.126   8.89   8.65  0.30   0.130   8.65  0.18  0.06   2000  1200   100    1  KMHK170      072.91250  -70.65500
SL290.KMHK628      -4.797  0.029   0.011  0.016   0.223  0.031   0.166  0.054   8.51   8.30  0.40   0.080   8.65  0.15  0.20   3700  1300  1500    1  [SL63] 290   077.65000  -70.48667
SL473.KMHK904      -4.571  0.040  -0.004  0.022   0.483  0.043   0.291  0.074   8.94   8.80  0.30   0.050   8.68  0.36  0.37   2700  3300  1600    1  [SL63] 473   081.62083  -68.37500
KMHK403            -3.679  0.052   0.079  0.025   0.149  0.054   0.138  0.111  10.00   8.50  0.30   0.150   8.70  0.16  0.30   1500   500   850    1  KMHK403      074.95000  -68.31500
KMHK1055           -4.511  0.034   0.066  0.019   0.375  0.037   0.454  0.058   8.92   8.80  0.30   0.130   8.75  0.08  0.20   3000   700  1300    1  KMHK1055     083.25417  -67.84833
SL132.KMHK348      -4.089  0.029   0.371  0.016   0.578  0.031   0.593  0.051  10.00   8.60  0.40   0.030   8.83  0.62  0.10   1600  1400   600    1  [SL63] 132   074.35833  -67.68500
SL96.H88-25        -4.301  0.039   0.328  0.024   0.433  0.043   0.387  0.078  10.00   8.70  0.30   0.130   8.85  0.02  0.04   2500   200   800    1  [SL63] 96    073.75417  -67.71500
LW46.KMHK63        -3.872  0.037   0.104  0.013   0.330  0.037   0.233  0.076   8.60   8.90  0.30   0.050   8.85  0.05  0.11   2200   300   600    1  LW46         071.19167  -69.64167
SL291.KMHK626      -5.431  0.018   0.146  0.010   0.415  0.020   0.250  0.035   8.87   8.20  0.40   0.080   8.90  0.07  0.16  10000  1000  3500    1  [SL63] 291   077.62083  -70.91000
HS35.KMHK124       -4.870  0.017   0.102  0.011   0.546  0.019   0.399  0.031  10.00   7.90  0.30   0.080   9.03  0.47  0.16   7000  5000  2500    1  [HS66] 35    072.38750  -69.72833
KMHK229            -5.044  0.017   0.088  0.012   0.557  0.020   0.444  0.031   9.30   8.10  0.50   0.150   9.05  0.45  0.16   8500  6500  3000    1  KMHK229      073.46250  -69.57167
KMHK300            -4.684  0.024   0.011  0.016   0.569  0.027   0.251  0.048   9.00   8.50  0.50   0.100   9.06  0.29  0.26   6500  7500  3000    1  KMHK300      073.91250  -70.54667
KMHK945            -5.269  0.013   0.109  0.007   0.585  0.014   0.431  0.022   9.00   7.80  0.30   0.100   9.08  0.42  0.08  11000  9000  2500    1  KMHK945      082.11667  -68.65000
KMHK87             -3.083  0.079   0.112  0.055   0.569  0.088   0.367  0.164   9.00   8.60  0.30   0.050   9.20  0.16  0.20   2200  1300  1200    1  KMHK87       071.69167  -69.74333
HS37.KMHK139       -4.651  0.028   0.086  0.019   0.614  0.032   0.494  0.056   9.00   8.60  0.30   0.100   9.25  0.22  0.23  10000  2000  5000    1  [HS66] 37    072.61667  -68.71000
BSDL320            -2.948  0.107   0.172  0.102   0.684  0.130   0.633  0.170   9.48   8.30  0.30   0.150   9.43  0.07  0.19   3200   800  1600    1  BSDL320      074.28333  -70.11167
