#
# Age1: log(age)_DB
# Age2: log(age)_asteca
# Age3: log(age)_literature
#
# E_BV1: E_BV_DB
# E_BV2: E_BV_asteca
# E_BV3: E_BV_lit
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age   Age3  e_age      Mass1   e_mass    Mass2   e_mass    E_BV1    E_BV2   e_E_BV    E_BV3   e_E_BV
H03   LMC   NGC1836   8.27   0.15   8.6   -1.0   8.60   0.25    6668.07       -1     1209     -1.0    -1.00      0.1     -1.0     0.06     0.02
H03   LMC   NGC1917   9.48   0.09     9   -1.0   9.11   0.15   59156.16       -1     1478     -1.0    -1.00     0.04     -1.0    -1.00    -1.00
H03   LMC   NGC1751   9.48   0.09  9.05   -1.0   9.11   0.15   97274.72       -1     1496     -1.0    -1.00     0.18     -1.0    -1.00    -1.00
H03   SMC       K38   8.84   0.12  9.45   -1.0   9.49   0.35   26302.68       -1     1489     -1.0    -1.00     0.08     -1.0     0.02    -1.00
H03   SMC       L35   7.57   0.24  7.85   -1.0   8.34   0.23     787.05       -1     1419     -1.0    -1.00     0.06     -1.0     0.02     0.02
H03   LMC  KMHK1023   9.48   0.09   9.2   -1.0   9.23   0.06    2051.16       -1     1491     -1.0    -1.00     0.32     -1.0    -1.00    -1.00
H03   LMC     SL290   8.06   0.54  9.05   -1.0   9.08   0.08    1215.26      491     1498     -1.0    -1.00     0.06     -1.0    -1.00    -1.00
H03   LMC   NGC1860   7.24   0.15   8.8   -1.0   8.40   0.20     610.71      162     1474     -1.0    -1.00        0     -1.0     0.08     0.02
H03   SMC       L91   9.11   0.12   9.5   -1.0   9.63   0.23    9120.11       -1     1498     -1.0    -1.00        0     -1.0     0.04     0.01
H03   LMC     SL244   9.48   0.09   9.1   -1.0   9.08   0.25   28575.91       -1     1411     -1.0    -1.00     0.04     -1.0     0.06     0.02
H03   LMC   KMHK229   9.30   0.09  8.95   -1.0   9.00   0.10    7046.93       -1     1187     -1.0    -1.00      0.2     -1.0     0.10    -1.00
H03   LMC     SL154   8.56   0.09  8.85   -1.0   8.70   0.20    1458.81       -1     1114     -1.0    -1.00     0.02     -1.0     0.06    -1.00
H03   SMC    NGC294   8.55   0.12  8.65   -1.0   8.51   0.47   17701.09       -1     1489     -1.0    -1.00        0     -1.0     0.06     0.02
H03   LMC     SL588   8.66   0.12  8.85   -1.0   8.60   0.25    3539.71      629     1475     -1.0    -1.00     0.02     -1.0     0.06    -1.00
H03   SMC       L30   7.60   0.24   8.1   -1.0   8.20   0.44    3280.95       -1     1471     -1.0    -1.00     0.02     -1.0     0.05     0.02
H03   LMC     SL162   9.00   0.09  8.95   -1.0   9.18   0.07    3133.29       -1     1234     -1.0    -1.00     0.15     -1.0    -1.00    -1.00
H03   SMC       L34   8.26   0.15   8.5   -1.0   8.40   0.48   11694.99       -1     1467     -1.0    -1.00     0.02     -1.0     0.05     0.02
H03   LMC     SL151   9.42   0.09  9.15   -1.0   9.18   0.07   15182.83     1371     1361     -1.0    -1.00     0.02     -1.0    -1.00    -1.00
H03   LMC      SL96   8.95   0.09   9.1   -1.0   9.20   0.06    2147.83       -1     1423     -1.0    -1.00     0.15     -1.0    -1.00    -1.00
